	1ste/num	2de/num	3de/num	Aalsterse/adj	Australisch/adj	Engelstalig/adj	Euro2000/name	Istanboel/name	Nederlandstalig/adj	PROV/name	Romein/noun	aantal/noun	accent/noun	advertentie/noun	affiche/noun	alle/det	ander/adj	auto_wrak/noun	begin/verb	ben_uit/verb	beperkt/adj	bijtend/adj	blijf_achter/verb	buis/noun	centraal/adj	combineer/verb	de/det	dergelijk/adj	detective/noun	die/det	die/pron	discriminatie/noun	door/prep	drama/noun	drijf/verb	een/det	eentje/pron	eenzaam/adj	en/vg	enig/det	ere_plaats/noun	ernst/noun	fel/adj	flankeer/verb	flyers/noun	gebruik/verb	geest/noun	gehard/adj	gekleurd/adj	geluid_effect/noun	geplaatst/adj	geweigerd/adj	goedmoedig/adj	groot_macht/noun	halfnaakt/adj	hang/adj	hang/verb	hang_op/verb	heb_op/verb	helder/adj	honderden/noun	hoon/noun	hoor/verb	humor/noun	in/prep	industrieel/adj	ingebouwd/adj	ingehouden/adj	introduceer/verb	ironie/noun	jazz/noun	kaars/noun	kijk_terug/verb	kinderachtig/adj	kom_over/verb	laat_los/verb	lawaaierig/adj	letter_DIM/noun	licht/adj	licht/noun	licht/prefix	lijk/verb	loop/verb	loper/noun	maak/verb	macho/noun	met/prep	mikpunt/noun	mild/adj	minachting/noun	moet_in/verb	niet_commercieel/adj	nostalgie/noun	omgeving/noun	ondanks/prep	onder/prep	onderwerp/noun	ontlok/verb	oog/noun	op/prep	plaats/noun	plafond/noun	politicus/noun	pose/noun	precies/adv	priem/verb	productie_huis/noun	prognose/noun	publiek/adj	radio/noun	ragfijn/adj	reeks/noun	richt/verb	rood/adj	samenleving/noun	schemer_door/verb	schrijven/noun	sla_gade/verb	slechts/adv	sta/verb	stem/noun	storend/adj	studio/noun	surrealistisch/adj	symboliek/noun	tafel/noun	tafereel/noun	terloops/adj	tv/noun	van/prep	varieer/verb	verander/verb	verblind/adj	verdwijn/verb	verholen/adj	verwondering/noun	vleugel/noun	voeg_toe/verb	voer_op/verb	vol/adj	vol/prep	voor/prep	vooroordeel/noun	voorwerp/noun	vrolijk/adj	waarmee/pp	waarschuw/verb	waarvoor/pp	wapen/noun	wat/det	weiger/verb	welk/det	wereld_pers/noun	wereld_top/noun	word/verb	zelf/adv	zend_uit/verb	zie/verb	zijn/det	zulk/det	zweem/noun	één/pron
1ste/num	0.0	0.42451274	0.46625054	0.9562249	0.90814984	0.9487662	0.94963133	0.9626774	0.95476234	0.8844564	0.9798336	0.95995116	0.96532345	0.9766797	0.947119	0.9476216	0.9620433	0.9734894	0.94896513	0.958507	0.9578495	0.9769338	0.96616733	0.9693673	0.95950663	0.91884404	0.8807539	0.97940814	0.9734122	0.94238126	0.94526076	0.96861345	0.9350121	0.9574232	0.97713596	0.923791	0.93281716	0.96713877	0.9301035	0.9691816	0.8732286	0.9660492	0.9498681	0.971575	0.97342557	0.9557015	0.9664482	0.9603062	0.95800555	0.97812015	0.8935104	0.98920333	0.98700076	0.9603626	0.9954103	0.9775461	0.9471418	0.96280277	0.95229256	0.96640223	0.95633274	0.9710549	0.97679263	0.9736669	0.8851309	0.9482193	0.9739678	0.98269254	0.93460095	0.9843435	0.96436995	0.97362274	0.9512566	0.98144525	0.9761492	0.9503938	0.9573231	0.9697775	0.92582065	0.9805762	0.9918205	0.9692395	0.9291638	0.9304585	0.9704171	0.9728246	0.9260074	0.96214736	0.970196	0.9831494	0.95561	0.98309386	0.974399	0.96294606	0.93669003	0.9434496	0.96859854	0.97855157	0.9811859	0.90826905	0.85785425	0.97720355	0.9783882	0.9918585	0.9529102	0.98339635	0.9917393	0.96144164	0.9828661	0.9753148	0.9565099	0.8858615	0.95376927	0.944517	0.96751946	0.95578796	0.9645669	0.9487563	0.9091296	0.9265553	0.9684752	0.9869189	0.97645235	0.9627111	0.98344713	0.9757318	0.9572539	0.9857889	0.9621398	0.9255563	0.95499426	0.986497	0.9735434	0.9622079	0.988172	0.9804577	0.94753516	0.9271102	0.94538254	0.95967466	0.95314074	0.9224067	0.94936925	0.9538888	0.95949084	0.9542911	0.97140956	0.94602907	0.95409566	0.9712317	0.9709216	0.9670291	0.990048	0.93538415	0.96248406	0.9639725	0.95536065	0.97792363	0.9531677	0.9760274	0.9874186	0.9277323
2de/num	0.42451274	0.0	0.40454757	0.95281804	0.9224521	0.9349372	0.9543842	0.97395974	0.9411569	0.85932153	0.9394753	0.95812005	0.92952377	0.95589626	0.9500953	0.9414404	0.94930667	0.98631054	0.944381	0.95440024	0.9526813	0.9907328	0.9486373	0.95338213	0.9588223	0.9074043	0.87063515	0.9704	0.97413075	0.94218165	0.94017553	0.96539325	0.9366896	0.9640108	0.9741554	0.9295371	0.9211048	0.97176963	0.9252662	0.9571872	0.8748983	0.980448	0.9496654	0.9665878	0.98406386	0.9624075	0.96491086	0.93600357	0.9266303	0.99751157	0.906548	0.9920247	0.9853616	0.93775654	0.987462	0.9761636	0.97175634	0.970134	0.9522249	0.97943705	0.94865185	0.9594963	0.9762249	0.9816678	0.8714708	0.9427328	0.9738377	0.9737754	0.93025047	0.9802065	0.96139944	0.98336375	0.94513696	0.97619665	0.9664684	0.9591382	0.9605019	0.99535775	0.9359518	0.97525436	0.99159926	0.9684853	0.94826734	0.92462784	0.9621412	0.9785877	0.92786896	0.94843054	0.9625684	0.98345137	0.9338578	0.98570883	0.9758283	0.984251	0.93552345	0.9393709	0.96426463	0.9657365	0.9851967	0.9099976	0.8439058	0.9739861	0.9684006	0.99179673	0.93564606	0.9745875	0.9723355	0.94704455	0.97593796	0.9732777	0.9716527	0.85680264	0.95190215	0.9376002	0.97387254	0.9678229	0.944069	0.96457404	0.8925922	0.9345684	0.98214775	0.9832335	0.97291607	0.97697484	0.9687374	0.97323895	0.9793819	0.9768725	0.96775043	0.91285765	0.9619266	0.9856254	0.97444427	0.9653384	0.9997574	0.9751706	0.957704	0.946849	0.92939496	0.96499485	0.9551671	0.9200849	0.9661654	0.9623075	0.970954	0.9558621	0.9694872	0.93991876	0.9650557	0.9693444	0.9651592	0.9653908	0.9851978	0.9420082	0.95063424	0.95557296	0.9549818	0.97453606	0.94999486	0.9745916	0.98392427	0.9422609
3de/num	0.46625054	0.40454757	0.0	0.93493295	0.92145973	0.9334249	0.9384128	0.95362127	0.954942	0.8169939	0.9671259	0.93634343	0.93629813	0.96450186	0.9417697	0.9431071	0.9550918	0.97433674	0.9328237	0.9731546	0.9601675	0.9700901	0.95019084	0.96617055	0.9627887	0.9283426	0.88088715	0.9748045	0.96592784	0.9351532	0.9425794	0.98469985	0.9405924	0.96366507	0.9595924	0.92034024	0.9459233	0.9495165	0.92465395	0.9548642	0.8562667	0.973237	0.94775915	0.9703511	0.9925177	0.9707667	0.9781325	0.96594673	0.9378015	0.9861507	0.88983154	0.9889168	0.9978448	0.93001866	0.99096334	0.97575885	0.9418838	0.9779772	0.95506084	0.97700477	0.9565532	0.9695062	0.95361656	0.96158206	0.88617116	0.96306777	0.978013	0.9794813	0.9363501	0.9677934	0.95955116	0.975053	0.9462671	0.96305877	0.9665467	0.95751554	0.966516	0.97590184	0.93891734	0.98217565	0.9830721	0.95761883	0.94400764	0.9355647	0.9689144	0.98498166	0.9289739	0.95768464	0.9546541	0.98305696	0.9475277	0.9746031	0.96396106	0.9788358	0.9240564	0.9428509	0.9634592	0.97409254	0.9607555	0.9128502	0.808838	0.9671775	0.96662647	0.98053384	0.9461185	0.9902566	0.97861964	0.9439506	0.9772495	0.9679639	0.9874689	0.86097807	0.95940423	0.94463825	0.971185	0.9620373	0.9563396	0.98059666	0.873095	0.9327369	0.9654832	0.95686877	0.9613933	0.9528337	0.9890992	0.98064923	0.964318	0.98244935	0.96865916	0.90985924	0.95649207	0.9911528	0.97529334	0.9613774	0.99616414	0.9815273	0.9398812	0.9441583	0.9365539	0.95565844	0.94638234	0.9219955	0.9502545	0.9358015	0.968187	0.96463156	0.9654107	0.95744157	0.98015153	0.9582047	0.96560985	0.9660914	0.98309475	0.90216905	0.9628731	0.95420545	0.9562272	0.96187854	0.94211733	0.96516937	0.97979903	0.9422682
Aalsterse/adj	0.9562249	0.95281804	0.93493295	0.0	0.9033495	0.9077844	0.9165453	0.90568084	0.8884688	0.96880955	0.94610333	0.902802	0.9118447	0.9394437	0.8931346	0.8742978	0.9042908	0.9135831	0.89844424	0.92631865	0.91111237	0.9188396	0.9179133	0.9283495	0.90729505	0.8955646	0.79156905	0.88111776	0.9133518	0.86767244	0.84923846	0.9477128	0.851255	0.9063255	0.8938782	0.84204143	0.9376417	0.91741425	0.84159505	0.88319963	0.95125693	0.9084265	0.87694335	0.931019	0.94213253	0.9050163	0.91342115	0.95679295	0.9044361	0.9371984	0.9353519	0.9214861	0.9386264	0.9253394	0.9464566	0.95174706	0.90609896	0.8927397	0.9142044	0.917101	0.87751204	0.90942127	0.90854895	0.8898094	0.87933177	0.9229387	0.9675497	0.9326513	0.9106663	0.9244835	0.9096948	0.9172009	0.9428181	0.9409417	0.9002413	0.91602147	0.9186618	0.95771676	0.9006387	0.9256938	0.93266445	0.8959308	0.8987599	0.9133357	0.9303783	0.94653183	0.86313516	0.91365516	0.9051383	0.9484073	0.89498395	0.94360137	0.9040663	0.9144884	0.86694384	0.895218	0.9017309	0.91817605	0.93498635	0.8835648	0.9487053	0.93056047	0.8984715	0.9181317	0.90850496	0.9582504	0.92376137	0.9455776	0.9073372	0.9278994	0.9608239	0.89720094	0.9330182	0.906374	0.9289389	0.91982067	0.9122346	0.8997812	0.9002421	0.9113261	0.9439019	0.91525906	0.8838884	0.9306221	0.9269917	0.9192771	0.89785063	0.92330915	0.9245459	0.8359589	0.92853296	0.95251375	0.93020993	0.91728187	0.95935977	0.9238857	0.90006125	0.94558924	0.88981277	0.894817	0.8699461	0.87507296	0.90349984	0.9014191	0.8591452	0.885947	0.88234055	0.8878887	0.91549945	0.85862994	0.8874292	0.91944355	0.9467897	0.91393584	0.8468852	0.89511985	0.9487718	0.90818083	0.86753976	0.8915843	0.9283491	0.9000757
Australisch/adj	0.90814984	0.9224521	0.92145973	0.9033495	0.0	0.86199754	0.9038007	0.8752307	0.8802063	0.99125916	0.88898766	0.83231014	0.8530762	0.8846792	0.88751465	0.8204057	0.80506396	0.95340514	0.89285576	0.874192	0.89891875	0.91752857	0.88210493	0.9075473	0.8433616	0.8842149	0.7296279	0.8671914	0.8956849	0.8813686	0.7173538	0.9150282	0.7513245	0.8634878	0.8329519	0.77350396	0.90601516	0.8783252	0.7761842	0.87929976	0.9253207	0.9199678	0.8250866	0.91823995	0.965885	0.8651047	0.8812956	0.92621195	0.87894356	0.967476	0.88171774	0.94731456	0.941197	0.9058609	0.9303055	0.92863846	0.9101524	0.89721894	0.89349604	0.8882326	0.7781316	0.93145216	0.90769964	0.8822359	0.81803465	0.87064993	0.95637244	0.91978043	0.8572725	0.9059296	0.8755496	0.9231114	0.88786286	0.9296149	0.8683927	0.857682	0.94595045	0.9744924	0.86388177	0.8897015	0.9635316	0.8816346	0.87898666	0.8715568	0.9006959	0.92302436	0.832704	0.9264667	0.8874672	0.90815675	0.9204251	0.94326377	0.9171018	0.8743603	0.8630121	0.8132435	0.8948894	0.91628075	0.8947757	0.85441554	0.89451534	0.9005747	0.83743984	0.9148734	0.86991614	0.95240855	0.8959624	0.9308424	0.8624187	0.8777337	0.954122	0.8489045	0.8678969	0.8847885	0.873903	0.9007741	0.92092514	0.87770504	0.87644655	0.9117529	0.8726239	0.942051	0.87173474	0.90542126	0.9276911	0.89539564	0.88028365	0.9025393	0.881752	0.7523995	0.8794479	0.88961357	0.95159024	0.8778951	0.92793465	0.93186647	0.88402665	0.8795615	0.84515613	0.8916545	0.82482505	0.84844863	0.901517	0.882146	0.8636422	0.8019743	0.81034863	0.8220931	0.8566026	0.8884381	0.7765277	0.8565378	0.94348645	0.9073935	0.83444697	0.8642833	0.86063623	0.89773834	0.79836345	0.8478446	0.95735836	0.7754684
Engelstalig/adj	0.9487662	0.9349372	0.9334249	0.9077844	0.86199754	0.0	0.9451667	0.940175	0.62926716	0.9695095	0.91574055	0.89840394	0.8580787	0.82344943	0.81156397	0.8415796	0.87302923	0.9723823	0.93341184	0.89524275	0.887951	0.90411097	0.9364948	0.93967867	0.8869853	0.8867701	0.83662564	0.8586323	0.83913326	0.86690617	0.8046459	0.9152393	0.85227644	0.8484347	0.89626163	0.810152	0.9195938	0.9208889	0.82851297	0.91355616	0.94403154	0.9378365	0.9240234	0.93886405	0.91138	0.90392894	0.91140044	0.93834734	0.8786754	0.9180467	0.93518806	0.94888896	0.92864484	0.91716695	0.9649466	0.9363885	0.9317244	0.8880598	0.9212822	0.8550433	0.8538834	0.93604785	0.88446975	0.8408809	0.8660324	0.88247097	0.9303821	0.91728956	0.8505001	0.87883294	0.79546255	0.9448143	0.8942215	0.90940744	0.8839284	0.9118451	0.937365	0.9266445	0.94385517	0.9397806	0.95828974	0.9052314	0.95532686	0.9139359	0.89008677	0.9043748	0.84928036	0.9173229	0.90736014	0.90865403	0.929493	0.89505804	0.89217865	0.92199755	0.90498364	0.89033	0.84318316	0.9058921	0.9419752	0.8993119	0.93414694	0.9463748	0.8704921	0.9187864	0.91393274	0.9546658	0.89272046	0.9106103	0.8891794	0.83450294	0.94021165	0.820733	0.89344746	0.947743	0.8789065	0.90779245	0.84226835	0.9335194	0.89722383	0.88131315	0.9039961	0.9113997	0.86774147	0.8744626	0.91073585	0.9400775	0.8972257	0.89258254	0.85133404	0.8282043	0.87914336	0.9324652	0.9679989	0.9314594	0.9330597	0.89809513	0.9224084	0.91011	0.87170327	0.9324428	0.82798177	0.8814354	0.8713557	0.88203114	0.8613595	0.8635636	0.8982247	0.8508817	0.91672754	0.9146253	0.9215848	0.8614751	0.9384633	0.9223489	0.88106793	0.8846416	0.86730826	0.9153856	0.87399447	0.85592073	0.95317227	0.8377279
Euro2000/name	0.94963133	0.9543842	0.9384128	0.9165453	0.9038007	0.9451667	0.0	0.89518416	0.93591547	0.9702175	0.9338163	0.9156749	0.93410665	0.9374495	0.92524254	0.85857594	0.9071376	0.92772436	0.91160035	0.91614616	0.9208781	0.9446011	0.9344208	0.9389299	0.9245576	0.9475887	0.83995664	0.85249037	0.93669057	0.8670746	0.889637	0.9176916	0.89505255	0.9216678	0.92534566	0.85964894	0.9222481	0.9460445	0.902347	0.9071105	0.92591786	0.9139017	0.9116934	0.93647695	0.9370544	0.9383414	0.9338842	0.94602436	0.92488295	0.9756348	0.91006863	0.92279583	0.9777189	0.8752866	0.953928	0.9324803	0.9331657	0.9335248	0.93102664	0.94876504	0.91468424	0.94870263	0.9427117	0.91645443	0.88594335	0.92786777	0.95146155	0.9478142	0.93828535	0.9260426	0.9567593	0.941084	0.91494024	0.9309494	0.94331414	0.92137676	0.92757297	0.934525	0.93494165	0.9426875	0.9446949	0.89634115	0.96033317	0.9184422	0.93564516	0.91456354	0.89678377	0.9496836	0.9447348	0.9547486	0.91724694	0.9303327	0.9208118	0.93912524	0.86575913	0.9299217	0.9219177	0.93252754	0.9358555	0.88870645	0.9015087	0.9423687	0.9221256	0.9470813	0.9300127	0.9500009	0.93183416	0.9339958	0.89349765	0.9648975	0.97315186	0.8991121	0.94631606	0.94904333	0.91728175	0.9120862	0.9238187	0.9017428	0.91245294	0.9230628	0.9595018	0.9201944	0.9518964	0.9231988	0.93072414	0.9147329	0.9218443	0.9184624	0.932318	0.85316026	0.94635326	0.9675583	0.94127136	0.94595736	0.94283646	0.93839884	0.929176	0.95318425	0.92972267	0.9329497	0.9192149	0.8477815	0.93221974	0.9258172	0.9170104	0.8972455	0.9228718	0.9130871	0.91210437	0.8943734	0.9079051	0.9120373	0.910467	0.9024343	0.8749267	0.9047117	0.9377673	0.9476449	0.8651024	0.87723243	0.95893955	0.9279403
Istanboel/name	0.9626774	0.97395974	0.95362127	0.90568084	0.8752307	0.940175	0.89518416	0.0	0.95119894	0.9981107	0.9022444	0.9132334	0.9557437	0.9657947	0.95518404	0.9128779	0.9152823	0.9437865	0.91277313	0.9586883	0.9578362	0.9321706	0.9317394	0.933035	0.9390758	0.9645261	0.8400162	0.92174	0.93936914	0.923974	0.8749105	0.9678335	0.8826262	0.943817	0.93302804	0.86259604	0.94800586	0.9296401	0.9027595	0.9331045	0.9245274	0.9414508	0.9337476	0.95108086	0.9614608	0.9467203	0.9329564	0.9506476	0.9482049	0.9707673	0.9255327	0.9725109	0.97170424	0.9178749	0.9582013	0.9679689	0.941151	0.9018228	0.9316139	0.964808	0.8439466	0.9594415	0.95225364	0.9550097	0.8174387	0.93565226	0.9646267	0.9272556	0.954054	0.96930754	0.9679141	0.9441672	0.9389075	0.9689663	0.95691884	0.9166392	0.9282203	0.97119844	0.9411757	0.9407522	0.94188344	0.9269165	0.93519855	0.9310273	0.95729315	0.93325984	0.9237858	0.90195286	0.950452	0.9429522	0.88114315	0.9561564	0.9361323	0.8966056	0.91909164	0.8905204	0.9277115	0.9367459	0.93926454	0.9058198	0.9260669	0.9212688	0.93601257	0.9313877	0.9422226	0.97122	0.94835883	0.9757776	0.9313308	0.9649213	0.9545404	0.9075186	0.9455905	0.96696824	0.9448854	0.91965675	0.9559488	0.87750924	0.92533845	0.94114715	0.9535483	0.96112823	0.9183509	0.932872	0.952559	0.9549152	0.9015544	0.93721163	0.9206917	0.8779119	0.947683	0.9317661	0.96684366	0.942896	0.9608672	0.9398265	0.9205309	0.9670462	0.9504138	0.937802	0.90603614	0.9271268	0.9363769	0.9285097	0.923213	0.9356004	0.91609955	0.9198094	0.903919	0.9518377	0.8948244	0.9239351	0.8935584	0.93880916	0.8880424	0.9251685	0.9205639	0.93087167	0.91480494	0.92776096	0.98360467	0.9081119
Nederlandstalig/adj	0.95476234	0.9411569	0.954942	0.8884688	0.8802063	0.62926716	0.93591547	0.95119894	0.0	0.9825131	0.94394976	0.84552276	0.86191505	0.8193409	0.81026965	0.7969355	0.85281146	0.96576816	0.91111517	0.8591825	0.8593649	0.9382736	0.9167399	0.90212655	0.8477714	0.8598651	0.8016304	0.8380686	0.88025403	0.84227693	0.7840859	0.8831844	0.84592646	0.84363866	0.88922143	0.7841209	0.9071119	0.8991208	0.7837409	0.8741578	0.9282249	0.9139471	0.8990102	0.94448054	0.8954058	0.8962292	0.8772191	0.96427995	0.87800634	0.91224205	0.9413552	0.92407703	0.94501936	0.9186873	0.95400697	0.955737	0.93339276	0.8988509	0.9023333	0.8542067	0.88172346	0.9334762	0.86989987	0.8197837	0.85321796	0.86731994	0.903334	0.91813	0.8434297	0.8839108	0.76952344	0.9413016	0.92672414	0.92665136	0.9016314	0.88785267	0.9242594	0.9049723	0.9143551	0.9173348	0.939266	0.88904274	0.94306517	0.91037214	0.85935146	0.939288	0.8391634	0.93515533	0.8875864	0.91376215	0.937349	0.87036085	0.8778639	0.8881052	0.8997666	0.8945204	0.8257264	0.92449427	0.93984765	0.8927602	0.88967925	0.9417174	0.8684786	0.9199895	0.88491654	0.9787425	0.83540386	0.92761564	0.855848	0.8060595	0.9333708	0.82113826	0.8330274	0.9194693	0.85046273	0.9088402	0.8194812	0.93242264	0.87966853	0.87023664	0.8585085	0.90584683	0.8695321	0.86681354	0.90037704	0.9102582	0.89849305	0.87158114	0.833411	0.7896813	0.85241365	0.9106305	0.94165534	0.9116101	0.9515663	0.9130993	0.8955472	0.88496315	0.8653181	0.91575074	0.8392651	0.82174206	0.8822117	0.89023125	0.8581295	0.8157361	0.8888666	0.8193804	0.9287192	0.8788826	0.8906491	0.8450065	0.95663047	0.92085063	0.8668667	0.86738235	0.830822	0.92181957	0.8531214	0.83118355	0.9454399	0.7974454
PROV/name	0.8844564	0.85932153	0.8169939	0.96880955	0.99125916	0.9695095	0.9702175	0.9981107	0.9825131	0.0	0.9944556	0.9931006	0.9460131	0.9859841	0.99339235	0.9958713	0.995242	1.0	0.99495244	0.99553394	0.9986856	0.9904778	0.98346233	0.99002206	1.0	0.97194844	0.99455357	0.9949685	0.98912305	0.9881954	0.9975767	0.98806596	0.9949056	0.99757534	0.99311286	0.9860781	0.99028087	0.9981606	0.9884107	0.9999949	0.9973986	0.9962484	0.9953775	1.0	0.98674434	0.9998525	1.0	0.9624622	0.97967625	1.0	0.98767155	0.9883696	0.9994094	0.966015	0.99307746	1.0	0.99397236	0.99132127	0.97844034	0.99446183	0.9908795	0.97971636	0.9939059	0.97532105	0.977589	0.99965763	0.9928158	0.9885688	0.9851032	0.9973374	0.9748833	0.9946911	0.9475711	0.9174523	0.9789571	0.9941387	0.98994476	0.99525917	0.9982808	0.9919337	1.0	0.9901959	0.99794495	0.9964644	0.95518196	0.9830467	0.9806194	0.97553027	0.9655577	0.9857741	0.97381186	1.0	0.9853538	0.9998087	0.98878187	0.9971926	0.98333955	0.96289116	0.99805325	0.9950631	0.99322623	1.0	0.9955614	0.99976975	0.9999573	0.9878911	1.0	1.0	0.99798805	0.9996859	0.9924117	0.95481884	0.99549246	0.9842241	0.99495393	0.973138	0.96196556	0.9652448	0.97771126	0.99059045	0.99991757	0.97241044	0.98398113	0.99410576	1.0	0.9995984	0.9914359	0.98706156	0.99325067	0.9926372	0.98701406	1.0	0.97830373	0.9999401	1.0	0.98298854	0.991037	0.9817023	0.98988503	0.989698	0.9891263	0.988211	0.97719014	1.0	0.9983581	0.99568814	0.994706	0.99492526	1.0	0.9882313	0.9975861	0.9845485	1.0	0.9655528	0.9998035	0.99930525	0.9894119	0.99139935	0.9803721	0.9763509	0.985454	0.9965928
Romein/noun	0.9798336	0.9394753	0.9671259	0.94610333	0.88898766	0.91574055	0.9338163	0.9022444	0.94394976	0.9944556	0.0	0.92147416	0.8882564	0.93411326	0.8993434	0.8878897	0.8729323	0.96440566	0.9309974	0.918476	0.9377852	0.95809346	0.91462123	0.9315817	0.89365125	0.89795846	0.86285985	0.908324	0.9106114	0.87219864	0.8027254	0.922336	0.82809997	0.88391733	0.9060087	0.84563535	0.9085082	0.88133323	0.80204505	0.9049201	0.9072131	0.9082636	0.89551055	0.88081455	0.9644814	0.8986142	0.8293482	0.94542813	0.8801649	0.94799614	0.92509747	0.9700643	0.93466073	0.8874989	0.90674853	0.9360025	0.90410733	0.9074303	0.9091014	0.88758844	0.8453956	0.95545435	0.9414126	0.90031874	0.86183727	0.90032613	0.9508273	0.9126283	0.8768117	0.90937203	0.8977923	0.8998307	0.9083376	0.9175863	0.8909687	0.8907769	0.9421342	0.96475255	0.9061108	0.908282	0.9573097	0.8871285	0.9474623	0.9053277	0.9191294	0.89447325	0.8747147	0.9553413	0.91830206	0.9113071	0.9325867	0.9742053	0.88123596	0.8868536	0.90741694	0.89776003	0.9039474	0.94975746	0.88994086	0.8943947	0.89827716	0.9157347	0.8919521	0.8844173	0.8856706	0.9434179	0.9483807	0.9592407	0.91185254	0.9400467	0.92358226	0.89020604	0.9263286	0.8742908	0.8720466	0.948707	0.91863924	0.92896664	0.8932433	0.9112577	0.8981461	0.9341537	0.8914795	0.9270793	0.8726659	0.9115034	0.82368654	0.90860367	0.9135221	0.86287034	0.9127892	0.8996832	0.9525395	0.8884019	0.9640706	0.9217286	0.8955636	0.91588205	0.90890086	0.90426403	0.8284539	0.9135422	0.8782837	0.8281431	0.8704874	0.87081397	0.9233322	0.8840095	0.87131	0.9073597	0.8994988	0.8920023	0.9247217	0.949117	0.83941346	0.8685783	0.942073	0.92611384	0.85409576	0.8512651	0.9434177	0.8675311
aantal/noun	0.95995116	0.95812005	0.93634343	0.902802	0.83231014	0.89840394	0.9156749	0.9132334	0.84552276	0.9931006	0.92147416	0.0	0.9052064	0.8399849	0.89857316	0.6378548	0.6791541	0.92980087	0.89235353	0.87391704	0.7511442	0.9449588	0.7979173	0.8927038	0.8610711	0.8695151	0.75442845	0.73898846	0.9092636	0.7883058	0.682132	0.829854	0.75077957	0.9009874	0.8544211	0.72650087	0.88707435	0.8894899	0.7543449	0.85316443	0.923544	0.8607732	0.8734679	0.94631755	0.93573165	0.81020665	0.90880424	0.9220765	0.91288275	0.9597371	0.87919587	0.8644333	0.96463114	0.93730813	0.95134604	0.9545205	0.8922214	0.89303076	0.88397646	0.9007581	0.66908	0.9564787	0.9024752	0.9153053	0.83311486	0.8399439	0.90803564	0.9362463	0.84562755	0.933085	0.924824	0.9311791	0.9332309	0.94411385	0.8932322	0.8755128	0.93706703	0.9118849	0.82618076	0.9036999	0.9496306	0.8751841	0.87542313	0.9067766	0.8750277	0.9446069	0.7958212	0.91261524	0.8682456	0.92756	0.88471526	0.8911133	0.9334689	0.82647616	0.7707007	0.7693897	0.8466618	0.94203675	0.9334967	0.84743977	0.860136	0.91681653	0.8623964	0.9549172	0.8373041	0.9765201	0.90697193	0.8290468	0.86043596	0.90252507	0.9674842	0.75239336	0.8288764	0.91090214	0.87481934	0.9116261	0.9060379	0.90784657	0.6994742	0.8849706	0.8805556	0.8851774	0.8955089	0.94473517	0.92568463	0.8990758	0.9135713	0.9168992	0.90386	0.73399055	0.7985859	0.867806	0.96613604	0.8376398	0.96728987	0.9272483	0.89716166	0.8591161	0.79456586	0.903314	0.8545016	0.7514702	0.8922139	0.86170006	0.9017151	0.7759099	0.7932978	0.75556594	0.8462156	0.8381827	0.78062046	0.74328005	0.96519256	0.92567414	0.7446551	0.8424896	0.85256577	0.86791587	0.88251054	0.7707927	0.96681696	0.7510465
accent/noun	0.96532345	0.92952377	0.93629813	0.9118447	0.8530762	0.8580787	0.93410665	0.9557437	0.86191505	0.9460131	0.8882564	0.9052064	0.0	0.8860564	0.8461993	0.87053967	0.8499621	0.9518812	0.89035654	0.8987415	0.8716521	0.8785044	0.9013569	0.9010303	0.84547716	0.7078911	0.8026103	0.865765	0.8797686	0.84223294	0.78694046	0.8979819	0.829191	0.7829585	0.8449249	0.77381504	0.90092546	0.8576053	0.668661	0.8584162	0.939161	0.87870204	0.82002085	0.8853089	0.91878927	0.84755236	0.83297795	0.93001974	0.7613589	0.893961	0.85151774	0.96011555	0.90148854	0.863011	0.91753167	0.8943273	0.8519233	0.8821525	0.86867076	0.79582924	0.86170745	0.91715837	0.86412984	0.78035635	0.8601439	0.84654844	0.90952384	0.855361	0.8005023	0.85488594	0.74367034	0.88115716	0.9037983	0.8984487	0.8240537	0.86827195	0.93830556	0.9241034	0.79689497	0.8254534	0.90283316	0.82758677	0.93186885	0.90556806	0.85192144	0.890748	0.7741693	0.93660784	0.8642271	0.89311826	0.9249919	0.9038843	0.84819627	0.8465237	0.84834754	0.8892896	0.8386676	0.88667107	0.8471471	0.8822386	0.935038	0.86233866	0.83665794	0.8309059	0.85024554	0.9185645	0.91579247	0.9188107	0.8763409	0.84297955	0.8836564	0.8686304	0.8344808	0.8070555	0.83486015	0.880393	0.84744763	0.8843409	0.89120245	0.90723854	0.7988478	0.9036687	0.84748006	0.8292722	0.8008926	0.86475575	0.79197204	0.87347245	0.8681892	0.8170209	0.82662916	0.8715959	0.8890244	0.8915292	0.93568885	0.8707664	0.83353126	0.8224023	0.8257069	0.84785914	0.76035446	0.86166847	0.82918715	0.8308667	0.7766899	0.80075824	0.88392353	0.836893	0.8896807	0.8403629	0.88476294	0.87247187	0.95688206	0.91055524	0.90171957	0.9132859	0.88495713	0.89760125	0.82522225	0.82153386	0.85348195	0.8538126
