	aardappel/noun	abnormaal/adj	adem/noun	album/noun	as/noun	atmosfeer/noun	auto/noun	bad/noun	beetje/noun	behoorlijk/adj	bord/noun	boter/noun	brandend/adj	brij/noun	brok/noun	bron/noun	buis/noun	chocolademelk/noun	dag/noun	die/det	dossier/noun	drift/noun	drukkend/adj	erg/adj	fusie_ploeg/noun	gas/noun	genoeg/adv	gesteente/noun	glas/noun	gloeiend/adj	grill/noun	grond/noun	hang_ijzer/noun	hap/noun	herfst/noun	het/det	hoe/adj	kachel/noun	kastanje/noun	klimaat/noun	koekepan/noun	koffie/noun	kom/noun	kool/noun	kop/noun	kus/noun	kwestie/noun	latin/noun	lucht/noun	marathon/noun	matig/adj	melk/noun	mes/noun	middag/noun	middaguur/noun	min/adj	mineraalwater/noun	mix/noun	motor/noun	niet/adv	nieuw_feit/noun	nog/adv	olie/noun	olijfolie/noun	omstandigheid/noun	onderwerp/noun	ontzettend/adj	oven/noun	pan/noun	passage/noun	pasta/noun	patat/noun	peper/noun	plaat/noun	rem/noun	sector/noun	slotminuut/noun	smelt/adj	soep/noun	spotje/noun	stand_DIM/noun	stoom/adj	stoom/noun	strand/noun	strijkijzer/noun	te/adv	thee/noun	traan/noun	trend/noun	vakantie/noun	verlangen/noun	verschrikkelijk/adj	verslag/noun	vet/noun	vlam/adj	vlek/noun	voorwerp/noun	vuur/noun	warm/adj	wat/adv	water/noun	weer/noun	wind/noun	woensdag_middag/noun	ze/pron	zo/adj	zo/adv	zomer/noun	zomer_dag/noun	zomermaand/noun	zon/noun
aardappel/noun	0.0	0.90094244	0.8769357	0.943819	0.6856688	0.86157197	0.93821985	0.70806444	0.43370467	0.80358005	0.30099684	0.14145786	0.6851938	0.41746044	0.4714408	0.8467939	0.8170209	0.49371618	0.7550804	0.85637236	0.9755227	0.966713	0.81692	0.9256397	0.9649498	0.64807963	0.8588547	0.756755	0.4350881	0.49943835	0.43608826	0.5869684	0.8641777	0.44502264	0.82311434	0.8135219	0.951107	0.59570134	0.46604323	0.90164346	0.34984428	0.45245665	0.18403041	0.2965058	0.610131	0.9587953	0.97011757	0.93367684	0.6985378	0.91948766	0.58855224	0.24123609	0.47924334	0.75021863	0.8361478	0.7907349	0.7052386	0.7810143	0.87015676	0.97287387	0.8979113	0.8855406	0.24721938	0.2144388	0.92306477	0.9413582	0.7924733	0.25168484	0.21529043	0.98143184	0.20561022	0.21533269	0.155334	0.77282155	0.90110683	0.8695692	0.99999595	0.74488986	0.1992166	0.85469145	0.65030026	0.7545561	0.5593041	0.8152109	0.6707943	0.77854615	0.4556101	0.9148222	0.9717502	0.93333775	0.98594993	0.95130765	0.9984554	0.17898178	0.9288973	0.69143033	0.7615535	0.34995997	0.4368704	0.74547285	0.35767764	0.85773385	0.8348232	0.9003423	0.5987952	0.947847	0.8929756	0.9076397	0.90485585	0.89333105	0.7565883
abnormaal/adj	0.90094244	0.0	0.8037051	0.87836003	0.96738464	0.78600895	0.9756145	0.87776524	0.9204633	0.7758148	0.85779774	0.92981064	0.88392484	0.9076221	0.92629534	0.943949	0.95673317	0.8396553	0.6617078	0.7449037	0.9676727	0.88903284	0.7297659	0.74661034	0.94035226	0.94519746	0.77882034	0.9152101	0.8570658	0.8943481	0.9645461	0.94373226	0.9283893	0.6355159	0.6065328	0.8345783	0.91313964	0.9041174	0.85135597	0.5770227	0.96059734	0.8982723	0.9398031	0.9672778	0.9475499	0.9131814	0.981407	0.92466265	0.7389587	0.8415024	0.84809494	0.90957534	0.9611056	0.7419798	0.85862833	0.8336056	0.949489	0.94219214	0.8878073	0.5791715	0.9570691	0.83638334	0.9671124	0.9504074	0.4785214	0.8323959	0.8338608	0.93559164	0.9223538	0.9577323	0.8892184	0.86503494	0.93313944	0.9271171	0.94704247	0.6253966	0.99910694	0.86138594	0.8826545	0.9235097	0.8316949	0.86290824	0.96030575	0.7615686	0.91081274	0.7731372	0.91973853	0.94100904	0.89085716	0.7003231	0.9947532	0.7288164	0.8589939	0.93269235	0.83119076	0.8978706	0.95651925	0.9838248	0.675197	0.81845284	0.8685846	0.6169442	0.7640302	0.69254464	0.8151499	0.72700614	0.7219935	0.5836408	0.7628741	0.5162205	0.70201564
adem/noun	0.8769357	0.8037051	0.0	0.9378779	0.9054497	0.77007306	0.90098	0.9216703	0.8052506	0.7607566	0.8261279	0.88106394	0.70118773	0.9325643	0.83647335	0.8350848	0.9159207	0.9081506	0.86985475	0.8066738	0.96054107	0.8320421	0.69216925	0.84279156	0.8747589	0.8580307	0.81422615	0.88246256	0.79725635	0.86441815	0.949042	0.84799516	0.79097533	0.6199291	0.7978688	0.90004325	0.8498594	0.8437607	0.96891207	0.8643403	0.9398505	0.8807893	0.9528054	0.9383165	0.8987656	0.68117476	0.66735953	0.8619033	0.6331403	0.9862522	0.9224147	0.88947296	0.9613233	0.72181356	0.88228226	0.8166642	0.9129844	0.9394354	0.7688143	0.911324	0.999522	0.7134509	0.9188644	0.9144965	0.9507215	0.88258743	0.9166945	0.9250481	0.91400814	0.8876462	0.8859315	0.8339945	0.8617943	0.90236604	0.9063846	0.83197266	0.71450746	0.6871915	0.8547412	0.92911416	0.86626667	0.80508834	0.875366	0.83395886	0.9384394	0.7241473	0.9442425	0.73279715	0.9360531	0.93112046	0.8135281	0.9186439	0.95259833	0.83956915	0.8008449	0.9035798	0.86802757	0.8814588	0.74475616	0.75234497	0.83145624	0.7719434	0.7721018	0.8993693	0.81201833	0.9591967	0.9715572	0.8921523	0.8250635	0.8759723	0.6829581
album/noun	0.943819	0.87836003	0.9378779	0.0	0.8931457	0.73836607	0.99353766	0.9453038	0.9776048	0.7907913	0.91646326	0.9268826	0.9683939	0.9821227	0.93734324	0.97556394	0.8858006	0.93868357	0.8170637	0.7643345	0.9407206	0.9287348	0.81720525	0.6895422	0.7126063	0.96767795	0.9088639	0.9083964	0.90315104	0.8493988	0.9552661	0.9849692	0.9895508	0.96724683	0.6185786	0.8281155	0.96079916	0.8794547	0.91101295	0.6920693	0.96027166	0.92667866	0.96013796	0.89123774	0.935287	0.90846175	0.9122834	0.73197937	0.82770216	0.9117837	0.8500187	0.94787425	0.9732665	0.7570245	0.70412266	0.8843074	0.8667693	0.7750213	0.95136166	0.9667094	0.99165285	0.87319154	0.8888581	0.9153086	0.8643177	0.8786713	0.93494165	0.91723776	0.94643784	0.8929465	0.97547096	0.961401	0.94876736	0.54858834	0.94462985	0.9336546	0.9187287	0.90372396	0.95439965	0.93922573	0.9725762	0.8449582	0.9595622	0.8098713	0.98434013	0.83696556	0.8899428	0.76634383	0.9145208	0.8513735	0.8235247	0.9014487	0.960706	0.95582515	0.84230167	0.7888111	0.9837842	0.91006386	0.74829996	0.88853484	0.91298425	0.70788574	0.77639645	0.8818658	0.9179704	0.85008335	0.95627075	0.6217216	0.9247385	0.8110246	0.8390825
as/noun	0.6856688	0.96738464	0.9054497	0.8931457	0.0	0.61461633	0.6485344	0.6891731	0.7395245	0.73427033	0.7662662	0.7372698	0.52001953	0.79682934	0.5798683	0.9257572	0.7530524	0.9525884	0.90902233	0.9052362	0.9782764	0.87178105	0.84956074	0.96617174	0.9951379	0.31374055	0.9385849	0.46541405	0.73655295	0.41488284	0.5707029	0.6543199	0.7033988	0.7869805	0.865989	0.8369687	0.8904337	0.47993916	0.7508465	0.92735267	0.6677606	0.7815932	0.8504237	0.45836467	0.8093097	0.82594943	0.8115662	0.99404675	0.48453802	0.9865789	0.75085086	0.8004622	0.66702664	0.7733831	0.86230814	0.9304319	0.9607917	0.913182	0.4901656	0.99003506	0.79056275	0.9565568	0.51574135	0.82756025	0.8623565	0.95789105	0.93321764	0.5439049	0.63088226	0.96125644	0.7391964	0.720402	0.7666422	0.6320096	0.5358885	0.9037847	1.0	0.65243685	0.71376795	0.9283693	0.91480047	0.87671727	0.43078774	0.87529564	0.48714948	0.8856955	0.75334126	0.9261418	0.9997825	0.9199627	0.91559386	0.9368044	0.9363456	0.71883297	0.8393386	0.75961965	0.6915794	0.5661669	0.6892157	0.7953044	0.52669406	0.8452281	0.65421426	0.8254465	0.8514722	0.91540354	0.96073866	0.89843255	0.90233856	0.8815882	0.67659867
atmosfeer/noun	0.86157197	0.78600895	0.77007306	0.73836607	0.61461633	0.0	0.85000765	0.683094	0.74104315	0.62120634	0.7848427	0.917455	0.62272656	0.86267024	0.87141633	0.81008434	0.75246865	0.83005464	0.5811312	0.6998189	0.9421013	0.7402002	0.5012697	0.5889604	0.57703835	0.5728642	0.8392044	0.54508317	0.8065973	0.67065907	0.76767933	0.70771194	0.7999904	0.7200701	0.74824995	0.70075274	0.83830714	0.6396881	0.88278925	0.3418141	0.86331826	0.8399348	0.92538035	0.63698626	0.85588795	0.8242396	0.7415345	0.9234457	0.38367826	0.95060766	0.7685503	0.88390243	0.8285594	0.44628948	0.45220757	0.6717235	0.91419286	0.94073606	0.67243516	0.9209951	0.84004366	0.82008636	0.707664	0.94068134	0.6913364	0.9242731	0.7656867	0.75220054	0.82529265	0.76949525	0.83806217	0.89141256	0.9306079	0.6175538	0.76086354	0.8180983	0.9899914	0.5670811	0.8496409	0.9087694	0.7785471	0.8590961	0.60102296	0.57732034	0.64332753	0.6125506	0.80572003	0.910674	0.963017	0.86958015	0.64476204	0.8464571	0.86923385	0.84092426	0.78265774	0.7148894	0.7236251	0.750582	0.5216395	0.58524084	0.56885946	0.42377567	0.3943445	0.7606997	0.8744864	0.7198251	0.89521694	0.59690225	0.6903001	0.6473256	0.40996408
auto/noun	0.93821985	0.9756145	0.90098	0.99353766	0.6485344	0.85000765	0.0	0.87456	0.9033368	0.771002	0.8414633	0.8857583	0.56286395	0.9393536	0.82356364	0.9102348	0.8641759	0.9127952	0.90226173	0.93967617	0.98530257	0.91496587	0.9678314	0.96567035	0.9915004	0.7118768	0.9488125	0.83050954	0.84423286	0.66325355	0.7175889	0.8206486	0.89453995	0.9567231	0.93294674	0.8651403	0.90103966	0.71441865	0.8738909	0.91910636	0.8752763	0.80631566	0.87734914	0.7178834	0.8656795	0.87462914	0.65502644	0.981638	0.76519734	0.99935496	0.8843262	0.892817	0.7517204	0.77577865	0.77243364	0.9393978	0.8893154	0.9300009	0.3687197	0.989097	0.918952	0.97324544	0.6976886	0.8213241	0.9250323	0.82172155	0.9942021	0.69668925	0.72419655	0.9552839	0.9178219	0.9550824	0.89284617	0.87243944	0.47964406	0.9432744	1.0	0.82486016	0.85973847	0.9943021	0.9659471	0.81997836	0.60538507	0.8410846	0.7793647	0.90266377	0.8784513	0.9894036	0.97206557	0.7948236	0.7595747	0.9563546	0.8027189	0.8342909	0.69775975	0.9482414	0.66882145	0.6765679	0.83355314	0.90844154	0.77352655	0.894582	0.8145276	0.7897332	0.80288434	0.9731242	0.96100694	0.8974861	0.8488357	0.78358996	0.73446685
bad/noun	0.70806444	0.87776524	0.9216703	0.9453038	0.6891731	0.683094	0.87456	0.0	0.7745691	0.767938	0.6561253	0.7439887	0.67368245	0.7271203	0.70172715	0.6653602	0.5940281	0.6069077	0.6878922	0.89398384	0.9412543	0.96940106	0.7988567	0.80611384	0.9763549	0.5682125	0.72300017	0.67386013	0.44378287	0.612184	0.6401126	0.7119459	0.73131776	0.61708164	0.8831561	0.78962153	0.8486812	0.47322685	0.7574268	0.7849467	0.72189295	0.4327973	0.67881316	0.65257657	0.48644203	0.8747104	0.9271216	0.63532424	0.56912935	0.94866276	0.867326	0.5599625	0.7061322	0.7269075	0.7757601	0.88968587	0.59703004	0.6509848	0.65980995	0.97893894	0.7908828	0.94043815	0.67425597	0.77297354	0.9077816	0.9349382	0.8002567	0.55632365	0.51304436	0.7818032	0.5312932	0.7974139	0.76747376	0.53966665	0.8827815	0.8898469	1.0	0.691507	0.52236223	0.7141458	0.7612897	0.6537502	0.5381982	0.7927412	0.49437928	0.7647842	0.44665265	0.8775851	0.99499905	0.83707696	0.9356066	0.7856577	0.92194587	0.7274382	0.8872341	0.82933325	0.72954684	0.696509	0.5223003	0.7933774	0.36196685	0.668055	0.76909053	0.853582	0.7721308	0.9082922	0.7917596	0.6554538	0.6625065	0.7763953	0.5976712
beetje/noun	0.43370467	0.9204633	0.8052506	0.9776048	0.7395245	0.74104315	0.9033368	0.7745691	0.0	0.7025669	0.6359449	0.4013465	0.72409064	0.4798522	0.6369454	0.77109635	0.7543355	0.66119385	0.70656735	0.88446975	0.99049276	0.90691876	0.804941	0.88603127	0.9213675	0.66382706	0.78012	0.80631745	0.6307914	0.70025826	0.59181523	0.8155094	0.98912734	0.6380806	0.8122374	0.8893812	0.8526058	0.84255517	0.7552098	0.84186983	0.5496038	0.7001426	0.4118502	0.59068644	0.7398079	0.8900099	0.8846608	0.9117301	0.66442466	0.951372	0.6350173	0.41185594	0.74157166	0.79152215	0.8067159	0.7926284	0.8451475	0.6171342	0.8059981	0.9118295	0.99005175	0.8698008	0.4350809	0.38110417	0.9180833	0.92294455	0.8746197	0.51389253	0.4604923	0.94833326	0.45796102	0.54235154	0.3363356	0.9011649	0.74664026	0.888613	0.977763	0.709278	0.5205294	0.84504986	0.8257885	0.7688464	0.60667515	0.71301746	0.8391636	0.6270285	0.6697308	0.96745515	0.97685844	0.782978	0.9479777	0.91316354	0.9287661	0.45410597	0.87727255	0.8072356	0.9781888	0.598004	0.51388824	0.5232245	0.43217856	0.72443163	0.7133132	0.8404096	0.6812439	0.9218683	0.90106237	0.8136022	0.75165325	0.8014316	0.7079859
behoorlijk/adj	0.80358005	0.7758148	0.7607566	0.7907913	0.73427033	0.62120634	0.771002	0.767938	0.7025669	0.0	0.8055133	0.77975583	0.5977854	0.81869674	0.72467613	0.83448404	0.7260394	0.8364523	0.7449113	0.70948505	0.96261376	0.7295724	0.71909684	0.6615929	0.6365271	0.68504953	0.8476211	0.8734585	0.8020057	0.59085035	0.8714917	0.8756623	0.93566173	0.7719185	0.7869504	0.7958989	0.8039533	0.7825788	0.88376975	0.61497414	0.86453426	0.82896864	0.87244797	0.7405687	0.8527583	0.82583046	0.89093935	0.9242039	0.5032146	0.9774551	0.72107404	0.7935198	0.7989965	0.55386543	0.73426425	0.7333925	0.9760953	0.78018755	0.72796094	0.9318048	0.9921176	0.7060684	0.70790565	0.8931787	0.66789144	0.88966	0.89491063	0.6825663	0.74581444	0.8665291	0.8478242	0.8485928	0.8312843	0.7958832	0.6764141	0.78450733	0.8569089	0.80991167	0.7338593	0.85795	0.84458894	0.8570472	0.69001126	0.7731185	0.78146094	0.54411644	0.88467026	0.8349031	0.88911355	0.9257058	0.7354948	0.6977173	0.941845	0.83827126	0.6718952	0.8174321	0.88760537	0.7493123	0.57170665	0.53983545	0.65654725	0.50632167	0.5853511	0.8899591	0.86763597	0.81349385	0.9295505	0.73809236	0.8515182	0.8332563	0.6282417
bord/noun	0.30099684	0.85779774	0.8261279	0.91646326	0.7662662	0.7848427	0.8414633	0.6561253	0.6359449	0.8055133	0.0	0.41625124	0.7117159	0.4779451	0.5576011	0.9494522	0.7918643	0.47084063	0.68895984	0.8585613	0.9578772	0.9796145	0.8110834	0.8777946	0.85095036	0.7759914	0.8498955	0.8227929	0.49627656	0.5513423	0.48921084	0.7084221	0.8934321	0.43021894	0.88739717	0.8394762	0.95663387	0.6803271	0.60860205	0.76650053	0.6293626	0.46243203	0.29891545	0.42985803	0.60531694	0.9196356	0.9285352	0.9518501	0.67767966	0.89988023	0.8322549	0.41393983	0.6005253	0.61167556	0.65893984	0.819264	0.7280957	0.89556086	0.8630688	0.9531515	0.8936241	0.91152287	0.5044688	0.40367615	0.90291965	0.94998795	0.77407455	0.37486184	0.34371102	0.99701524	0.24797553	0.34625655	0.33792657	0.71800643	0.90370995	0.881008	0.93744165	0.8277861	0.2532522	0.9110208	0.6317941	0.7714001	0.533567	0.74215317	0.66453457	0.71366686	0.46672243	0.9136027	0.9800197	0.89266664	0.940439	0.9526639	0.9707618	0.43328577	0.87908006	0.8245777	0.7331232	0.6142072	0.448725	0.7667166	0.44817364	0.7635887	0.80529356	0.8655046	0.69312584	0.9225545	0.8148799	0.83804977	0.8819596	0.8183576	0.69429886
boter/noun	0.14145786	0.92981064	0.88106394	0.9268826	0.7372698	0.917455	0.8857583	0.7439887	0.4013465	0.77975583	0.41625124	0.0	0.6319872	0.47525334	0.5672066	0.80191076	0.84106326	0.5475601	0.76079285	0.88430005	0.9920998	0.9726373	0.85549206	0.9119728	0.98839706	0.69769573	0.8813114	0.7962611	0.49818265	0.4922436	0.453048	0.6850696	0.9047978	0.5612829	0.8337314	0.8110529	0.94098526	0.6573601	0.54554856	0.9162055	0.31041938	0.5385951	0.20256507	0.3236497	0.6489861	0.9426304	0.9832659	0.897984	0.67710626	0.9533805	0.49730676	0.23044074	0.53884244	0.69876087	0.8419132	0.8164834	0.70098615	0.68348527	0.85300636	0.9892562	0.9458024	0.9069009	0.21726674	0.13244009	0.9303433	0.92585063	0.8277089	0.25394917	0.22422016	0.9779932	0.29728746	0.34370494	0.16825902	0.81660867	0.8753426	0.85192525	0.9947086	0.772941	0.3047306	0.79481053	0.7238195	0.79947877	0.59222984	0.8291528	0.732406	0.7652674	0.51348734	0.932718	0.9748581	0.94805294	0.9767174	0.96791613	0.98562205	0.20449626	0.7990536	0.742319	0.81881195	0.32961816	0.48636192	0.76575506	0.34795654	0.80206823	0.74517894	0.8873587	0.5275312	0.9348261	0.92934537	0.88243544	0.8955343	0.8690263	0.76662016
brandend/adj	0.6851938	0.88392484	0.70118773	0.9683939	0.52001953	0.62272656	0.56286395	0.67368245	0.72409064	0.5977854	0.7117159	0.6319872	0.0	0.75502485	0.7029306	0.7369404	0.6355516	0.8419701	0.7579348	0.82438767	0.9536191	0.7571666	0.65541553	0.93115747	0.9602922	0.44833183	0.7984093	0.657558	0.65119696	0.33885008	0.5143796	0.6610763	0.7023028	0.7802726	0.8130274	0.65056753	0.69444966	0.41544598	0.74309856	0.81241786	0.61934793	0.7912043	0.7299371	0.4663341	0.8128341	0.7760434	0.75824475	0.9851941	0.49102426	0.9481746	0.7064907	0.7663893	0.59927577	0.6286007	0.72560525	0.8720494	0.8656023	0.77922744	0.5715604	0.9751733	0.86581504	0.8960246	0.51297057	0.7219673	0.87855065	0.8136671	0.8833149	0.4883077	0.51666534	0.8926072	0.7151333	0.7219192	0.7000524	0.6803	0.7111089	0.89937097	0.9961659	0.6165805	0.68759954	0.89413327	0.7505634	0.7774503	0.45444763	0.55362105	0.56453586	0.787991	0.70898724	0.9038857	0.98479855	0.815917	0.7184393	0.8562469	0.7943431	0.6688578	0.55510557	0.74381995	0.54309666	0.46937197	0.52793705	0.6986012	0.47351474	0.7121674	0.6126816	0.6994753	0.7211344	0.87656593	0.9522421	0.74282247	0.66116375	0.80840826	0.50867784
brij/noun	0.41746044	0.9076221	0.9325643	0.9821227	0.79682934	0.86267024	0.9393536	0.7271203	0.4798522	0.81869674	0.4779451	0.47525334	0.75502485	0.0	0.5516389	0.8548813	0.8572062	0.56244415	0.73783624	0.9030631	1.0	0.89855206	0.79332626	0.9374915	0.9679688	0.6682271	0.9054078	0.75654256	0.4770221	0.6852747	0.62580144	0.70668006	0.97165465	0.63583696	0.94108117	0.88824296	0.95660466	0.6800934	0.43540347	0.8776607	0.5839925	0.53231966	0.29668814	0.4633659	0.62896484	0.92174363	0.9742527	0.92562884	0.73349965	0.9802181	0.80333894	0.3127035	0.71068716	0.82321966	0.75650704	0.8143909	0.8344865	0.8261893	0.87308645	0.9733578	0.98046935	0.8714065	0.5306653	0.5287937	0.9277797	0.8883815	0.94381213	0.52191615	0.4427439	0.97876334	0.43423766	0.54684925	0.38054258	0.90051293	0.835533	0.8525758	0.97362703	0.77895445	0.40359294	0.80685484	0.6304357	0.7914825	0.67856026	0.84793127	0.89684254	0.7556312	0.4782539	0.9434915	0.9810726	0.9101184	0.9887943	0.9649594	1.0	0.51284385	0.9114664	0.7764813	0.92604595	0.67647994	0.5082898	0.7407434	0.500191	0.82416373	0.8159965	0.8957284	0.83052206	0.9740956	0.87319064	0.8983667	0.85916924	0.87201387	0.7758236
brok/noun	0.4714408	0.92629534	0.83647335	0.93734324	0.5798683	0.87141633	0.82356364	0.70172715	0.6369454	0.72467613	0.5576011	0.5672066	0.7029306	0.5516389	0.0	0.85548395	0.88034797	0.7274306	0.8691081	0.8244655	0.97395027	0.78324145	0.8744256	0.9722588	0.98437405	0.49270064	0.8851418	0.6604735	0.5720451	0.52330625	0.69236225	0.6343299	0.85815024	0.47686327	0.86363316	0.82320935	0.8225986	0.6642544	0.7973254	0.8730687	0.6211161	0.6729209	0.57588017	0.54635656	0.655909	0.8278055	0.7555881	0.75218797	0.6583253	0.96526194	0.88097596	0.5847733	0.66592604	0.7788514	0.81020695	0.8026489	0.84444845	0.73782724	0.7008709	0.96662384	0.87740034	0.9013509	0.50910485	0.65218884	0.8374717	0.8648203	0.93798447	0.55051726	0.526468	0.7638235	0.57809174	0.567719	0.57325333	0.71298885	0.91249824	0.8779451	0.9642196	0.76447326	0.4853937	0.9136736	0.86278105	0.6648159	0.72050685	0.8461383	0.7638935	0.75830936	0.738696	0.91308594	0.91912556	0.8767202	0.78550637	0.92034316	0.9297877	0.46792066	0.87453425	0.65782034	0.7272277	0.6530973	0.6650572	0.8089011	0.4987967	0.87846404	0.80171335	0.92997897	0.8337028	0.9074068	0.8532252	0.89483035	0.9090991	0.96325284	0.67854667
bron/noun	0.8467939	0.943949	0.8350848	0.97556394	0.9257572	0.81008434	0.9102348	0.6653602	0.77109635	0.83448404	0.9494522	0.80191076	0.7369404	0.8548813	0.85548395	0.0	0.73416555	0.9121157	0.7303702	0.8925077	0.61356103	0.79387766	0.8172244	0.86336434	0.98580116	0.6850175	0.88857913	0.7536941	0.7023829	0.7386656	0.90777946	0.69414353	0.9039	0.8943619	0.84244424	0.69494	0.8443697	0.85106015	0.9169217	0.8954915	0.7545556	0.8051835	0.8257179	0.8104704	0.7652329	0.89248955	0.923608	0.9804634	0.7026155	0.9910692	0.8493211	0.7442685	0.86328024	0.9216253	0.8876611	0.7323432	0.6214282	0.77740365	0.84620154	0.9740469	0.5894487	0.87204975	0.6916074	0.8137379	0.93550134	0.77031904	0.86327493	0.896345	0.7743514	0.8437272	0.76317686	0.8424047	0.83366627	0.9458011	0.8620522	0.77443206	1.0	0.72041965	0.84597313	0.7829574	0.9541789	0.85217106	0.80883205	0.74794143	0.97422373	0.8256036	0.81748533	0.93740433	0.9254644	0.96266305	0.8126633	0.9028528	0.8623582	0.72652423	0.89246565	0.8097116	0.92515194	0.7699941	0.7886298	0.8638741	0.6360436	0.8825256	0.7605022	0.9158711	0.92699903	0.8916511	0.9457659	0.8665878	0.911538	0.89813006	0.82622516
buis/noun	0.8170209	0.95673317	0.9159207	0.8858006	0.7530524	0.75246865	0.8641759	0.5940281	0.7543355	0.7260394	0.7918643	0.84106326	0.6355516	0.8572062	0.88034797	0.73416555	0.0	0.79846394	0.8185856	0.70810497	0.99796534	0.9463454	0.8491759	0.9154905	0.9690602	0.5864792	0.8228632	0.7602703	0.64223385	0.6362091	0.82229817	0.5713334	0.9980589	0.8396961	0.9265924	0.76453966	0.7002582	0.5797829	0.90693784	0.88077074	0.8898717	0.7703048	0.85793424	0.7220502	0.8394419	0.84422565	0.9195863	0.9367991	0.54192024	0.95023566	0.9138384	0.7564983	0.8060863	0.8862272	0.8786321	0.95023227	0.7557768	0.90399045	0.82710356	0.9737985	0.96803415	0.94864416	0.7260983	0.8525001	0.9679584	0.90920186	0.87658674	0.7196402	0.7293707	0.90717447	0.77840114	0.85382867	0.856413	0.78158844	0.7955192	0.9036143	0.929015	0.8599317	0.8010681	0.39898765	0.8828407	0.8212735	0.5947914	0.70433664	0.76982075	0.78949034	0.7022896	0.6855546	0.9724632	0.9149871	0.96131396	0.8079163	0.75395495	0.85117495	0.8817859	0.80997944	0.8527676	0.76923317	0.6133215	0.8092836	0.55700386	0.8432539	0.78850687	0.87170464	0.86726624	0.86788875	0.95741385	0.82246554	0.6154447	0.86401016	0.74142236
chocolademelk/noun	0.49371618	0.8396553	0.9081506	0.93868357	0.9525884	0.83005464	0.9127952	0.6069077	0.66119385	0.8364523	0.47084063	0.5475601	0.8419701	0.56244415	0.7274306	0.9121157	0.79846394	0.0	0.56743276	0.9105284	1.0	0.9735234	0.78384304	0.834257	0.938906	0.8875007	0.7678745	0.88086146	0.42384416	0.69215703	0.85991323	0.87825644	0.99563396	0.61632276	0.760232	0.8010353	0.9518479	0.6554119	0.6571692	0.7571535	0.81089056	0.37413174	0.37777615	0.70516264	0.4706704	0.8521861	0.9919027	0.8940681	0.76962245	0.91343087	0.8633198	0.40024203	0.87354696	0.645456	0.69730663	0.79772884	0.52830684	0.9321247	0.8935725	0.9704899	0.9553604	0.9218974	0.69909453	0.60946155	0.883494	0.9371168	0.8392937	0.62250304	0.6593553	0.98936385	0.52274275	0.5593281	0.5462975	0.91629565	0.9423659	0.9129695	1.0	0.85644025	0.37033957	0.79633415	0.5586997	0.7298778	0.73575485	0.8097943	0.8836194	0.7257805	0.34006292	0.8935214	1.0	0.89194715	0.99998844	0.87425375	1.0	0.6463164	0.83248895	0.66481125	0.9093585	0.70010227	0.4944169	0.7905321	0.43520725	0.7817607	0.7196324	0.7263413	0.80600923	0.9704304	0.83776504	0.7823744	0.6657597	0.7498646	0.7229293
dag/noun	0.7550804	0.6617078	0.86985475	0.8170637	0.90902233	0.5811312	0.90226173	0.6878922	0.70656735	0.7449113	0.68895984	0.76079285	0.7579348	0.73783624	0.8691081	0.7303702	0.8185856	0.56743276	0.0	0.8000661	0.81277955	0.9177381	0.60697925	0.6687128	0.70901364	0.82865524	0.803586	0.8543109	0.6946751	0.73491824	0.92287207	0.78867066	0.9147076	0.66483855	0.71449155	0.6885774	0.8146994	0.72996175	0.799028	0.48866653	0.84355307	0.6299298	0.74881923	0.76790506	0.68156445	0.841211	0.84875405	0.8795567	0.57110214	0.76725066	0.81028235	0.66048336	0.93962383	0.48105562	0.46598452	0.6585766	0.72571325	0.85034317	0.8264842	0.8529064	0.8101999	0.789567	0.75661653	0.77790356	0.6546104	0.81437653	0.7598516	0.7936015	0.7764048	0.8671803	0.66639864	0.6060213	0.7708016	0.83440423	0.9069285	0.7519882	0.9786189	0.73732877	0.6879466	0.7724883	0.67276275	0.79838836	0.8358072	0.44844502	0.93575466	0.6275258	0.6140408	0.8922316	0.890931	0.53430283	0.8751335	0.7091665	0.8533044	0.72461563	0.7673367	0.67560613	0.84773207	0.81023157	0.53618455	0.6070142	0.59622765	0.40804237	0.57034695	0.5528723	0.783089	0.7629079	0.74763227	0.39503866	0.54307663	0.4734522	0.57008934
