	Habibie/name	aanbesteding/noun	aanbieding/noun	abonnement/noun	accoord/noun	adres/noun	advies/noun	algemeen/adj	alibi/noun	alleen/adj	alternatief/noun	altijd/adv	arbeid_vergunning/noun	argument/noun	arrangement/noun	bekentenis/noun	besluit/noun	betaal_middel/noun	biljet/noun	bod/noun	bon/noun	boord_document/noun	bouw_aanvraag/noun	conventie/noun	dagvaarding/noun	die/det	diploma/noun	dit/det	document/noun	doelpunt/noun	door/adj	eind_uitslag/noun	en/vg	enkel/adj	enquête/noun	euro/noun	excuus/noun	exploitatie_vergunning/noun	frank/noun	gemeente/noun	gewoon/adj	gezien/adj	goal/noun	goedkeuring/noun	handtekening/noun	huur_contract/noun	huwelijk/noun	identiteitsbewijs/noun	jaar/noun	juridisch/adj	kaart/noun	kandidatuur/noun	lang/adj	licentie/noun	lid_kaart/noun	niet/adv	nog/adv	offerte/noun	onbeperkt/adj	onverminderd/adj	overeenkomst/noun	papier/noun	paspoort/noun	patent/noun	poging/noun	principe/noun	rechtbank/noun	rede/noun	reden/noun	referendum/noun	regel/noun	reis_pas/noun	reservatie/noun	rijbewijs/noun	slechts/adv	status/noun	stem/noun	stem_biljet/noun	strip_kaart/noun	tarief/noun	ten/adv	ticket/noun	toelating/noun	toestemming/noun	treffer/noun	trein_kaart_DIM/noun	typering/noun	uitkomst/noun	uitslag/noun	universeel/adj	verblijf_status/noun	verblijfsvergunning/noun	vergunning/noun	verklaring/noun	vervoer_bewijs/noun	verzekering/noun	verzoek/noun	visum/noun	vonnis/noun	voorwaarde/noun	wagen/noun	wereldwijd/adj	werk_vergunning/noun	wet/noun	wijze/noun	wil_beschikking/noun	ze/pron
Habibie/name	0.0	0.9625354	0.9913533	0.9895422	0.8123117	0.94100225	0.86820966	0.799403	0.9417933	0.9221644	0.6890733	0.9910327	0.9907155	0.80106133	0.98652667	0.93574893	0.5663696	0.963161	0.9367235	0.97144455	0.9675356	0.99849224	0.94721454	0.7066084	0.93003774	0.84569156	0.97879857	0.7911401	0.9172048	0.79117584	0.99675775	0.55294174	0.96369946	0.8791485	0.71825325	0.98224944	0.9448053	0.9202429	0.9971167	0.8386993	0.9819775	0.9775492	0.99289715	0.75397664	0.6500063	0.87374616	0.8837714	0.91692734	0.98227775	0.85678095	0.9326915	0.39639086	0.99775964	0.7835764	0.9963611	0.94536424	0.87714165	0.9066376	0.947209	0.9756407	0.9076621	0.96067977	0.9696635	0.9575795	0.72866076	0.91881746	0.8520895	0.6460767	0.7724608	0.40763468	0.9178362	0.999524	0.9936442	0.9743004	0.85332954	0.82343566	0.45937598	0.730296	0.95528215	0.95787555	0.9199247	0.98850316	0.9013019	0.71057296	0.7892815	0.98241556	0.96404386	0.6861689	0.51377225	0.93622696	0.9140868	0.89952403	0.91050255	0.90217406	0.9637296	0.9775711	0.7015277	0.90662277	0.9517525	0.81297165	0.98420733	0.9883894	0.9576709	0.82176256	0.94092155	0.78531176	0.9535277
aanbesteding/noun	0.9625354	0.0	0.7108269	0.965202	0.7289847	0.9888181	0.5467726	0.6122664	0.981735	0.8020664	0.65776503	0.8651924	0.97851074	0.83948267	0.97801733	0.9703758	0.7404349	0.9571573	0.9608191	0.638752	0.9501246	0.9940053	0.52136326	0.85193104	0.95099354	0.72014904	0.9643041	0.8236909	0.91086155	0.95854783	0.9834893	0.94474924	0.9603079	0.7802043	0.96409416	0.869699	0.99283415	0.69627285	0.84777087	0.47282165	0.95834064	0.8150052	0.9706848	0.45733333	0.8437185	0.7643729	0.86938894	0.9792569	0.90349615	0.769211	0.9572667	0.93784434	0.8997696	0.77945644	0.90476114	0.8924198	0.86315155	0.36916488	0.8561739	0.95247835	0.58241165	0.9226204	0.9712806	0.72298723	0.95341736	0.6012211	0.93481815	0.960533	0.8687404	0.85424274	0.5585555	0.8469951	0.9146198	0.9635701	0.7812891	0.93317217	0.9784992	0.9377237	0.9755512	0.8862106	0.881107	0.95235133	0.64891016	0.8311347	0.93120843	0.9632601	0.99219054	0.83844113	0.9663675	0.83326554	0.87751114	0.9039429	0.63521445	0.9668595	0.9957308	0.7947508	0.76538366	0.92263806	0.90482134	0.5305306	0.9852726	0.81583667	0.9065991	0.6009288	0.56675065	0.9199545	0.97103935
aanbieding/noun	0.9913533	0.7108269	0.0	0.5754504	0.9399821	0.9807724	0.91868055	0.8321135	0.87559736	0.8929722	0.8368822	0.8457058	0.85401857	0.9858064	0.3930928	0.9818835	0.9808519	0.9860576	0.8223921	0.94155514	0.67369986	0.9555183	0.97959083	0.9520588	0.99257946	0.85943395	0.9832936	0.8585349	0.9648049	0.9992376	0.87956786	0.99349385	0.7737788	0.85293436	0.97522664	0.73839676	0.9888029	0.93861765	0.7365545	0.9151122	0.86891556	0.9495913	0.97974443	0.87355655	0.97492945	0.9027066	1.0	0.9949808	0.91135615	0.94854105	0.79471934	0.96974057	0.9151085	0.88457197	0.82517236	0.8760443	0.8683906	0.536363	0.72826445	0.8825018	0.8474047	0.9150641	0.93703616	0.9166077	0.92135394	0.8331959	0.9803701	0.92200696	0.94935244	0.9863669	0.9608473	0.92955905	0.9156553	0.9168852	0.7984545	0.8891855	0.8906427	0.9692131	0.7898108	0.6261741	0.9018239	0.6442118	0.8649819	0.8916602	0.98487365	0.62857753	0.94812304	0.89336914	0.9975009	0.9241165	1.0	0.9017045	0.8904001	0.9891323	0.93308115	0.7060504	0.84647036	0.9524183	0.95564085	0.80131114	0.910011	0.8549259	0.95708317	0.9182516	0.9420874	0.97174215	0.95392233
abonnement/noun	0.9895422	0.965202	0.5754504	0.0	0.94540477	0.8296433	0.89712554	0.8493907	0.85124886	0.86206985	0.6130368	0.8781557	0.79129726	0.9866628	0.43846118	0.97745043	0.9755525	0.65136564	0.5603375	0.8762476	0.7665485	0.9399211	0.98674667	0.9422333	0.79472303	0.8965713	0.8108584	0.9158288	0.9556397	0.95234466	0.91201633	0.9686036	0.7651963	0.6591863	0.9670082	0.39604825	0.9789648	0.97651845	0.39948428	0.89500105	0.47101313	0.9402832	0.9681258	0.9784961	0.85975796	0.9308463	0.89663655	0.8248876	0.81965	0.9814374	0.36688536	0.9498544	0.90495116	0.8835314	0.69508684	0.856866	0.82015204	0.87679636	0.42184418	0.94276375	0.9304844	0.89148545	0.79577494	0.8898136	0.94448507	0.8476655	0.98717374	0.91634995	0.9937096	0.964647	0.92523164	0.95615697	0.6486124	0.9437592	0.6938013	0.94915324	0.9230237	0.89561534	0.32649857	0.20737189	0.81235874	0.46448708	0.8170536	0.85936004	0.9826921	0.36542076	0.9974735	0.997697	0.9933695	0.9336849	0.96555436	0.85052955	0.8787123	0.9921501	0.58200026	0.7857673	0.94429696	0.92559457	0.9901366	0.89529824	0.9035151	0.8692986	0.9375847	0.8967819	0.97501653	0.9611877	0.79855216
accoord/noun	0.8123117	0.7289847	0.9399821	0.94540477	0.0	0.7798228	0.8067583	0.58152944	0.9363467	0.7872117	0.93909633	0.87639487	0.9453779	0.71079105	0.96919644	0.886323	0.58547866	0.9457331	0.9116255	0.80294883	0.83344567	0.975354	0.70902574	0.78285396	0.7579642	0.7311373	0.95653486	0.7728255	0.65972805	0.9980184	0.97688645	0.9774465	0.95100653	0.6883464	0.82567126	0.9614663	0.9683643	0.7307639	0.9758864	0.57941437	0.9428248	0.80500317	0.9939725	0.36397153	0.46997344	0.5097109	0.74644786	0.85184115	0.84299517	0.6819453	0.9460703	0.7119235	0.882338	0.76299834	0.9681288	0.9023621	0.7280905	0.75523037	0.83804226	0.9003868	0.2385816	0.75077647	0.91319025	0.8856654	0.7747258	0.6455891	0.78083456	0.9360016	0.85370266	0.50144035	0.7642745	0.954056	0.9463799	0.9261766	0.84605134	0.7425766	0.908098	0.728884	0.8960357	0.79652244	0.7180054	0.9679742	0.5634042	0.68417656	0.98815304	0.9263469	0.98482364	0.7479883	0.8380431	0.8456093	0.8260025	0.8102796	0.6588411	0.7911165	0.8482836	0.8325632	0.6117971	0.86249745	0.62558675	0.57054657	0.9628991	0.95825905	0.8811619	0.50093114	0.9592776	0.6957092	0.8559433
adres/noun	0.94100225	0.9888181	0.9807724	0.8296433	0.7798228	0.0	0.97346807	0.9179774	0.89488447	0.84205544	0.8762683	0.83475506	0.97738653	0.81181645	0.7853342	0.81892973	0.78690803	0.9843259	0.7799009	0.9855532	0.718945	0.7516974	0.9610692	0.9454026	0.41573763	0.938398	0.60499585	0.89836097	0.48552918	0.97222006	0.97515345	0.9809638	0.7494291	0.61930466	0.92548686	0.955128	0.8915928	0.9855972	0.92754555	0.8050387	0.7862964	0.94296885	0.97051555	0.86256886	0.55684733	0.60073507	0.89518476	0.6975833	0.8335328	0.79339707	0.8564894	0.92497015	0.92065436	0.95310384	0.7449283	0.88693833	0.875237	0.97477674	0.85317785	0.9768046	0.7700341	0.5940469	0.5880364	0.9571422	0.8891433	0.8458242	0.7580723	0.9856405	0.8771914	0.823411	0.917056	0.8797174	0.94717383	0.7599216	0.82149374	0.9013317	0.8665504	0.7253897	0.7953607	0.84431547	0.80043805	0.85365665	0.91294694	0.7420585	0.98273635	0.72830516	0.9862732	0.93114877	0.9350465	0.98144287	0.95782804	0.78000766	0.8922603	0.8439064	0.82487386	0.8924025	0.76438534	0.7479992	0.7194443	0.91849196	0.9378035	0.98073894	0.74274206	0.8860727	0.9845817	0.7583281	0.7331319
advies/noun	0.86820966	0.5467726	0.91868055	0.89712554	0.8067583	0.97346807	0.0	0.8160478	0.9235257	0.7767787	0.8193419	0.93824404	0.93709	0.51810396	0.98619545	0.9630659	0.4842065	0.8677449	0.98179466	0.7542628	0.96430594	0.9728592	0.52251416	0.81908244	0.841539	0.84623706	0.94207555	0.7896617	0.830536	0.9911277	0.9887687	0.97699964	0.89349973	0.7797578	0.9202666	0.9402676	0.9601755	0.56137276	0.95526326	0.3871181	0.90351564	0.41635078	0.99034846	0.5542443	0.7441757	0.7492803	0.88493985	0.95082283	0.87359464	0.6446978	0.9312293	0.8499629	0.7889049	0.82292473	0.9576446	0.87392277	0.7758923	0.82254803	0.85117865	0.8978879	0.7712768	0.9322956	0.9565434	0.81540895	0.86735356	0.55834585	0.8169198	0.82649124	0.57812154	0.8224498	0.79145306	0.77316403	0.973266	0.9403564	0.87612885	0.7011096	0.9478652	0.83355653	0.8835862	0.8246007	0.8714256	0.9803585	0.7667404	0.824741	0.98902076	0.8777016	0.9890286	0.81266433	0.91283804	0.91904324	0.9056626	0.8794979	0.55350304	0.9582058	0.88822126	0.8386019	0.72306263	0.8937656	0.7937606	0.56187654	0.97753936	0.9512449	0.9279168	0.7576987	0.7553358	0.7751962	0.91484624
algemeen/adj	0.799403	0.6122664	0.8321135	0.8493907	0.58152944	0.9179774	0.8160478	0.0	0.7736957	0.6472229	0.90960145	0.717412	0.8391104	0.86196494	0.9637166	0.9262767	0.64058316	0.71043813	0.71007705	0.7996042	0.9552012	0.84830093	0.72199035	0.6023412	0.9427672	0.6297113	0.8181063	0.7383412	0.84039366	0.9241383	0.9251647	0.86090654	0.82914656	0.64643747	0.83878654	0.75978065	0.9264801	0.60667396	0.7933027	0.6999212	0.8256438	0.7891563	0.9949321	0.5985693	0.78542507	0.52997684	0.8009718	0.8473137	0.98777	0.63232255	0.8104963	0.7910802	0.95949966	0.72449064	0.78133315	0.74699175	0.7825834	0.6406138	0.7439559	0.9630099	0.6446868	0.8460901	0.87701625	0.88046247	0.9225857	0.59490645	0.8137123	0.757307	0.8619498	0.6859404	0.5399909	0.998901	0.9228447	0.8024407	0.6995518	0.7229556	0.8124024	0.7818444	0.814963	0.77133787	0.7374493	0.9511898	0.5721201	0.6999033	0.927473	0.891145	0.8674038	0.8459046	0.8134039	0.50386715	0.77761877	0.7035947	0.5848415	0.7667716	0.7717663	0.76121986	0.7758096	0.804708	0.86303383	0.6737383	0.9234499	0.795985	0.75684464	0.42522717	0.8363448	0.8442467	0.8368386
alibi/noun	0.9417933	0.981735	0.87559736	0.85124886	0.9363467	0.89488447	0.9235257	0.7736957	0.0	0.8450563	0.9497361	0.7526009	0.93513346	0.6387502	0.8591919	0.7612423	0.9051527	0.86512125	0.9543951	0.984879	0.57902837	0.9381956	0.9759918	0.9084548	0.8263186	0.7762686	0.9532166	0.7752112	0.7583623	0.96543163	0.971072	0.9757856	0.89859855	0.7798651	0.9315419	0.87552583	0.256432	0.9333441	0.8664789	0.8883997	0.77528346	0.8738743	0.9346351	0.9041859	0.84716195	0.75842285	0.99797463	0.92682993	0.9614718	0.7778593	0.946034	0.9363253	0.97023255	0.911868	0.96586746	0.7382338	0.88543344	0.8744186	0.8650927	0.9983499	0.9458602	0.8806964	0.9171934	0.9875386	0.89597404	0.7934546	0.76416504	0.7280488	0.8746309	0.92575	0.9006762	0.9432128	0.9252689	0.90345603	0.7155355	0.91013134	0.93416387	0.8623291	0.93150425	0.7463332	0.8227356	0.8341731	0.79964375	0.87745905	0.9449857	0.90678716	0.8553684	0.9827574	0.9989045	0.6134664	0.97184366	0.8693393	0.8676813	0.4860521	0.86709815	0.81139886	0.773978	0.84784716	0.90844357	0.91616607	0.89568937	0.8368507	0.89049315	0.81529695	0.89019185	0.70586485	0.8191413
alleen/adj	0.9221644	0.8020664	0.8929722	0.86206985	0.7872117	0.84205544	0.7767787	0.6472229	0.8450563	0.0	0.97309744	0.74587655	0.8183248	0.76008093	0.9567341	0.9225599	0.69372785	0.8862256	0.7231127	0.827517	0.91375196	0.7653947	0.867576	0.8022734	0.8094663	0.70306927	0.6848586	0.80279267	0.7765555	0.96304727	0.74041176	0.96072763	0.64408773	0.6161941	0.9596384	0.85612535	0.8777374	0.7918646	0.8764941	0.7352339	0.69746363	0.6162921	0.9541413	0.8055205	0.7705344	0.6585212	0.7812141	0.7775987	0.8074583	0.7095815	0.7320802	0.8354435	0.7649383	0.5925661	0.71861887	0.6537975	0.7712617	0.86815995	0.6108514	0.9236868	0.7653583	0.6902759	0.7696885	0.8223897	0.7476345	0.5828701	0.8766706	0.8227469	0.83265215	0.8199948	0.73162115	0.8958717	0.7709588	0.78127354	0.64400864	0.8289503	0.8836658	0.77767587	0.9097322	0.8118693	0.8898487	0.80912346	0.698103	0.706591	0.9451675	0.84806347	0.83819765	0.90972817	0.8990606	0.77927446	0.84111303	0.6401496	0.5530338	0.86570925	0.8810177	0.72981524	0.7798258	0.6744257	0.87761855	0.60962415	0.9052884	0.8247716	0.7711431	0.6642636	0.8935846	0.7916609	0.57175684
alternatief/noun	0.6890733	0.65776503	0.8368822	0.6130368	0.93909633	0.8762683	0.8193419	0.90960145	0.9497361	0.97309744	0.0	0.9057444	0.982732	0.9231903	0.82248837	0.98407614	0.78969073	0.74188817	0.9855647	0.8844572	0.90473104	0.96811074	0.8882885	0.91600627	0.8365242	0.9140354	0.8682355	0.88784266	0.9701582	0.99979067	0.9942247	0.71216434	0.9011333	0.8822564	0.97041583	0.90897614	0.983173	0.9545998	0.90652144	0.8588628	0.5788223	0.9617091	0.9985396	0.8604555	0.7737431	0.94110054	0.9214061	0.99682695	0.8579503	0.9220787	0.8077712	0.74181867	0.97279567	0.98807395	0.98852295	0.9184127	0.9072262	0.62555504	0.73437464	0.9613079	0.84554577	0.9692857	0.9225911	0.92108524	0.80797136	0.8869804	0.98196805	0.82554084	0.97666353	0.79836553	0.85777503	0.95793086	0.9977608	0.9728962	0.8944057	0.90786564	0.8794208	0.9337073	0.49337792	0.5931958	0.894191	0.9312481	0.91379654	0.84974	0.9986933	0.60960853	0.96323603	0.7618921	0.7895759	0.95300937	0.9707426	0.9854964	0.9174969	0.9421554	0.6495078	0.9119584	0.83089626	0.98542166	0.965353	0.8571354	0.93614143	0.93386024	0.99337626	0.85519177	0.82718325	0.96071184	0.8305698
altijd/adv	0.9910327	0.8651924	0.8457058	0.8781557	0.87639487	0.83475506	0.93824404	0.717412	0.7526009	0.74587655	0.9057444	0.0	0.9859534	0.80608356	0.97262627	0.93542206	0.86142373	0.91040397	0.86047333	0.98112965	0.87852526	0.72293484	0.9126299	0.9506145	0.91648495	0.8162099	0.8095168	0.800614	0.7894628	0.99273556	0.9634262	0.8979264	0.86237127	0.6636424	0.97888774	0.932141	0.725883	0.8047284	0.9206276	0.8962046	0.7773196	0.8787184	0.92309463	0.8526988	0.79138947	0.69562423	0.988407	0.8203511	0.8912343	0.7648803	0.8732549	0.9543169	0.6383376	0.92045796	0.66319036	0.59728265	0.856925	0.89879584	0.8914815	0.91709256	0.87006235	0.7651234	0.82966286	0.9834716	0.9564611	0.89424694	0.9570529	0.8667431	0.79334664	0.94404405	0.8217639	0.9623713	0.9837329	0.81431675	0.7627541	0.9772782	0.95909333	0.922157	0.9348643	0.89676553	0.8897649	0.9503164	0.8974377	0.7662587	0.94419515	0.94908863	0.9693801	0.944159	0.9032713	0.8654815	0.9458351	0.8412651	0.874051	0.70701694	0.9347561	0.86245203	0.8272304	0.85773754	0.93867046	0.91145706	0.8232956	0.9432014	0.8383442	0.86596674	0.9542245	0.98449486	0.6904119
arbeid_vergunning/noun	0.9907155	0.97851074	0.85401857	0.79129726	0.9453779	0.97738653	0.93709	0.8391104	0.93513346	0.8183248	0.982732	0.9859534	0.0	0.9911424	0.98656684	0.88535595	0.85837734	0.9676638	0.8364167	0.82380444	0.97935957	0.90025264	0.97341037	0.99160975	0.99926704	0.8516091	0.9534456	0.9899937	0.7843782	0.9591644	0.88402796	0.9728147	0.8388988	0.73101246	0.963193	0.89357954	0.95822775	0.9098315	0.9052888	0.9387983	0.9325455	0.8798517	0.97820354	0.8992778	0.92838216	0.88304025	0.7521091	0.7477773	0.9294912	0.8982019	0.847726	0.7516076	0.6551816	0.60571253	0.9457944	0.7791525	0.9466415	0.8868369	0.57127196	0.999362	0.8737072	0.6629381	0.6014012	0.66065603	0.6738107	0.71326566	0.96235394	0.6940713	0.73150975	0.97519934	0.82141304	0.6939021	0.9275455	0.67649126	0.8549992	0.90501565	0.9910981	0.9839975	0.8604636	0.7376065	0.8908653	0.8729794	0.4419523	0.6958178	0.994447	0.8679017	0.988626	0.9618557	0.9734708	0.8470485	0.92347324	0.65820765	0.62937546	0.972189	0.96383774	0.7123343	0.5639174	0.6706326	0.99143964	0.60758054	0.8532704	0.6871882	0.5975472	0.8499305	0.9731957	0.99523026	0.6633474
argument/noun	0.80106133	0.83948267	0.9858064	0.9866628	0.71079105	0.81181645	0.51810396	0.86196494	0.6387502	0.76008093	0.9231903	0.80608356	0.9911424	0.0	0.98352194	0.7795333	0.5353811	0.9063374	0.9112785	0.9598273	0.8017284	0.9774341	0.91372395	0.7674029	0.5746453	0.80626786	0.88934326	0.6659769	0.67763823	0.990005	0.988676	0.9902898	0.9001473	0.69987935	0.8786395	0.97503805	0.6176518	0.6601157	0.99224013	0.62358946	0.8634411	0.537498	0.98895866	0.679268	0.687858	0.7341727	0.9291844	0.8941055	0.82615054	0.54763377	0.98008907	0.82232213	0.75522125	0.8549592	0.9613134	0.7465216	0.81557524	0.97059804	0.8871836	0.8526146	0.7908243	0.88416034	0.9392611	0.80204064	0.7997964	0.61557746	0.54036427	0.67098325	0.5532681	0.70824695	0.70076	0.9634765	0.972389	0.9442857	0.74880385	0.5996149	0.7872008	0.67748827	0.98444337	0.894397	0.7967051	0.96074665	0.75147825	0.73072284	0.96043324	0.9162245	0.8697095	0.63361645	0.7722859	0.6862789	0.88339716	0.8868994	0.65530133	0.70248413	0.9806935	0.7940602	0.5612491	0.8916917	0.4126671	0.7306521	0.9631187	0.90504324	0.96016467	0.6257882	0.9062934	0.7720003	0.8775966
arrangement/noun	0.98652667	0.97801733	0.3930928	0.43846118	0.96919644	0.7853342	0.98619545	0.9637166	0.8591919	0.9567341	0.82248837	0.97262627	0.98656684	0.98352194	0.0	0.9934341	0.97373253	0.96151304	0.8691339	0.9401371	0.49723494	0.9874028	0.9955245	0.9247472	0.791095	0.9114632	0.8168541	0.87157094	0.95298785	0.9869498	0.97315204	0.95481086	0.81963277	0.82904816	0.9952299	0.71447575	0.9878506	0.99802077	0.68458986	0.95488715	0.7619572	0.9767781	0.9926571	0.9973048	0.9718469	0.92229486	0.89513487	0.99692	0.8269588	0.9900169	0.7868499	0.9869339	0.9824578	0.9774863	0.8647652	0.98694116	0.9205092	0.87465566	0.75667775	0.9082444	0.9813906	0.97767967	0.8506542	0.99419194	1.0	0.9579729	1.0	0.9566731	0.9886059	0.96937317	0.996056	0.9909109	0.7888583	0.98160976	0.8133956	0.9972455	0.82623947	0.96054214	0.6702577	0.536362	0.8526703	0.5276128	0.93708503	0.972613	0.9930606	0.68061	0.9854388	0.9879893	0.9781798	0.98962665	0.9998456	0.98692626	1.0	1.0	0.90296876	0.89604133	0.9795866	0.96030694	0.9817002	0.97473836	0.9491338	0.9889863	0.9676822	0.96674573	0.9251974	1.0	0.9150554
bekentenis/noun	0.93574893	0.9703758	0.9818835	0.97745043	0.886323	0.81892973	0.9630659	0.9262767	0.7612423	0.9225599	0.98407614	0.93542206	0.88535595	0.7795333	0.9934341	0.0	0.86040413	0.90773624	0.9788798	0.9231827	0.9586998	0.94064945	0.9705843	0.93647665	0.5549674	0.622362	0.82231045	0.9123608	0.74088323	0.99588805	0.8931239	1.0	0.87858564	0.7831085	0.99583995	0.9929701	0.58880746	0.9820521	0.99610704	0.9425799	0.9327116	0.9240142	0.9741843	0.88260424	0.81096095	0.9428256	0.92009777	0.9023374	0.9811618	0.86406815	0.9654087	0.78132415	0.9811751	0.7697049	0.9917608	0.9199081	0.9194991	0.9837152	0.9360575	0.9258102	0.9092249	0.78782713	0.90545356	0.86670935	0.7870744	0.8774906	0.57836163	0.797696	0.8722722	0.95264655	0.9214773	0.92492706	0.9816191	0.9086833	0.86379945	0.8324107	0.96771646	0.9642858	0.99466646	0.989745	0.80744916	0.99465436	0.8576974	0.8747574	0.95582366	0.89949393	0.5965737	0.96805453	0.9399714	0.5661562	0.8798086	0.894379	0.8871487	0.5109205	0.9640306	0.9167066	0.816813	0.9200432	0.7012738	0.8706621	0.96055454	0.8463948	0.9294698	0.89301354	0.7466934	0.7699662	0.85747415
besluit/noun	0.5663696	0.7404349	0.9808519	0.9755525	0.58547866	0.78690803	0.4842065	0.64058316	0.9051527	0.69372785	0.78969073	0.86142373	0.85837734	0.5353811	0.97373253	0.86040413	0.0	0.8079432	0.78048617	0.8100399	0.932314	0.9299017	0.6852077	0.57228494	0.7291001	0.72654164	0.8943075	0.70475554	0.69054806	0.96792305	0.9905663	0.68144995	0.90179616	0.7090298	0.8513486	0.8874293	0.8706106	0.7708703	0.9314719	0.5567683	0.87223727	0.62363493	0.9755575	0.59611714	0.5568325	0.66879237	0.6904752	0.87103635	0.8099982	0.53621244	0.93955904	0.48226	0.82511675	0.8073694	0.87286925	0.8027756	0.7210193	0.87911916	0.8334162	0.9403623	0.6698458	0.7225176	0.8043637	0.7865711	0.65100795	0.6150373	0.6544598	0.6436256	0.6068222	0.46805406	0.66402745	0.83504677	0.99532425	0.8604591	0.7803215	0.58908457	0.7482991	0.72382665	0.8742099	0.877641	0.78017914	0.9691416	0.69261986	0.6274121	0.96302843	0.9305308	0.97856164	0.6299987	0.62005997	0.7384374	0.8749118	0.80951273	0.63580793	0.7856468	0.82177806	0.89885	0.4689052	0.80149204	0.63496685	0.52964675	0.99499696	0.84286976	0.69156975	0.57807255	0.8488102	0.7388711	0.73489416
betaal_middel/noun	0.963161	0.9571573	0.9860576	0.65136564	0.9457331	0.9843259	0.8677449	0.71043813	0.86512125	0.8862256	0.74188817	0.91040397	0.9676638	0.9063374	0.96151304	0.90773624	0.8079432	0.0	0.5112233	0.88275707	0.9182306	0.99285877	0.9574005	0.63332963	0.97152466	0.81551754	0.9649592	0.8869591	0.8706988	0.9641284	0.97383296	0.940211	0.8473569	0.84084743	0.96181095	0.522555	0.95927143	0.8888538	0.6098064	0.93807954	0.5667973	0.8209173	0.9655712	0.91115505	0.7168979	0.96373177	0.9551853	0.88696593	0.8967511	0.8041119	0.5471113	0.9208324	0.98462486	0.9644664	0.825134	0.8364047	0.8478565	0.9432678	0.6519852	0.9120748	0.9304855	0.92579424	0.8998545	0.96584165	0.9199093	0.73904955	0.9182916	0.7311574	0.93862695	0.85555255	0.7989448	0.96367973	0.79944396	0.99808997	0.77133363	0.63655376	0.86229265	0.80680424	0.5123526	0.56300306	0.80528384	0.7364001	0.9667073	0.97491586	0.97862494	0.7390901	0.8408129	0.9446717	0.96690565	0.64176214	0.9556601	0.97370946	0.97111744	0.7465304	0.53170633	0.9271249	0.94268876	0.9633973	0.976938	0.9372432	0.99702173	0.80508834	0.99239546	0.7737337	0.8873576	0.97030175	0.8226863
biljet/noun	0.9367235	0.9608191	0.8223921	0.5603375	0.9116255	0.7799009	0.98179466	0.71007705	0.9543951	0.7231127	0.9855647	0.86047333	0.8364167	0.9112785	0.8691339	0.9788798	0.78048617	0.5112233	0.0	0.84553623	0.8770452	0.8210085	0.977649	0.7636115	0.94374967	0.9091872	0.77269673	0.930049	0.844277	0.97316194	0.9038862	0.9568321	0.7891202	0.76191676	0.87466866	0.33931214	0.97508645	0.98784846	0.44064838	0.90987515	0.7233811	0.8425933	0.97341514	0.94685906	0.78266627	0.8109654	0.9922449	0.8666524	0.9047245	0.9291936	0.4825065	0.93611795	0.9043295	0.9201848	0.48361224	0.7995118	0.87230176	0.95058095	0.6557741	0.97062236	0.9181995	0.7545969	0.7602767	0.89137197	0.8587861	0.7260028	0.99275655	0.8722218	0.97222614	0.7719616	0.9414543	0.9517162	0.68072855	0.87800896	0.63191164	0.6653491	0.6765926	0.7188467	0.632151	0.6748054	0.81705534	0.62964827	0.83827734	0.7627963	0.9811157	0.7455975	0.9899291	0.95505285	0.8531201	0.73012644	0.9656321	0.7642219	0.9010564	0.8512393	0.6861129	0.85401917	0.8710998	0.8806443	0.9235981	0.9410842	0.9285227	0.8825999	0.87477505	0.89309853	0.98382026	0.9263685	0.8652989
bod/noun	0.97144455	0.638752	0.94155514	0.8762476	0.80294883	0.9855532	0.7542628	0.7996042	0.984879	0.827517	0.8844572	0.98112965	0.82380444	0.9598273	0.9401371	0.9231827	0.8100399	0.88275707	0.84553623	0.0	0.92195636	1.0	0.7334906	0.98080873	0.97251284	0.8712324	0.9750588	0.85081255	0.9198926	0.999803	0.99248576	0.9982977	0.976801	0.8891898	0.96575207	0.7239632	0.99951774	0.6487095	0.72719455	0.6638553	0.99274844	0.7595061	0.99862576	0.713834	0.944469	0.86162513	0.88145727	0.9871692	0.868294	0.7732156	0.86459076	0.7852092	0.9774042	0.70631075	0.864527	0.95960885	0.8103922	0.6041228	0.9354225	0.9757126	0.7334886	0.9814471	0.9544565	0.785053	0.9430421	0.7194141	0.9667845	0.98015314	0.97520316	0.8727983	0.8404621	0.95943654	0.78064585	0.93740976	0.8101996	0.96373403	0.99990904	0.9788978	0.9746064	0.8674509	0.80705917	0.83635163	0.73264974	0.8681228	0.99713504	0.98061556	0.9985614	0.96144843	0.995262	0.9912146	0.8703005	0.8921141	0.5864519	0.9614278	0.98180526	0.8635912	0.89846855	0.95622784	0.934239	0.57931805	0.9990313	0.9081062	0.9355797	0.80312294	0.80150574	0.9574519	0.9454921
