	1-1_gelijkspel/noun	Ambiorix/name	Amerika/name	Amerikaan/noun	C2/name	Europa/name	IBA/name	Kosovo/name	Rineke/name	Sparta/name	aan/prep	aanschaf/noun	af/adv	al/comp	alleen/adj	allochtoon/noun	als/comp	amateur_club/noun	beetje/noun	bij/prep	boer/noun	bouw/noun	bovendien/adv	bovenop/prep	broer/noun	buitenlander/noun	buur/noun	carrière/noun	chauffeur/noun	computer/noun	creativiteit/noun	cursist/noun	daaraan/pp	daarbij/pp	daarmee/pp	dame/noun	dan/adv	dat/det	democratie/noun	dokter/noun	door/comp	door/prep	drugsverslaafd/adj	dus/adv	echt/adj	elkaar/pron	en/comp	ervaring/noun	even/adj	familie/noun	familie_lid/noun	fiets/noun	gehandicapt/adj	gelukkig/adj	gemeente/noun	gemeente_bestuur/noun	ginds/adj	god/noun	graag/adj	haar/pron	handjevol/noun	hem/pron	hen/pron	het/det	het/noun	hij/pron	honderdduizenden/noun	huis_bezitter/noun	hulp/noun	iemand/noun	ik/pron	imago/noun	index/noun	je/pron	jongen/noun	juist/adj	klant/noun	kopman/noun	lezer/noun	maar/adv	maatregel/noun	markt_economie/noun	me/pron	mede/adv	mee/adv	mens/noun	met/prep	mezelf/pron	mij/pron	misschien/adv	natuurlijk/adj	niemand/pron	niet/adv	niets/noun	niks/noun	of/comp	of/vg	om/comp	ons/noun	ons/pron	oog_arts/noun	ook/adv	op/adj	opticien/noun	ouder/noun	overeind/adv	partner/noun	persoon/noun	president/noun	probleem/noun	regeringstroepen/noun	snel/adj	soms/adv	stage/noun	systeem/noun	te/comp	tegen/prep	tekort/noun	therapeut/noun	tijdelijk/adj	toch/adv	trouwens/adv	tussenstap/noun	u/pron	uit/prep	uitstekend/adj	vader/noun	vakantieganger/noun	valk/noun	veel/adj	ver/adj	vooruit/adv	vriend/noun	vrouw/noun	we/pron	weduwe/noun	weer/adv	weg/noun	weinig/det	wel/adv	wereld/noun	werkloos/adj	wijze/noun	ze/pron	zeker/adj	zelfs/adv	zichzelf/pron	zij/pron	zo/adv	zogezegd/adj	zoon/noun
1-1_gelijkspel/noun	0.0	0.9666801	0.99213344	0.9671189	0.939014	0.98152083	0.9514183	0.9672606	0.9755158	0.8632806	0.9845048	0.9870307	0.97361064	0.91135764	0.9663887	0.98145103	0.9659285	0.95034635	0.96286744	0.92911625	0.9762301	0.9857712	0.97322017	0.9765296	0.9844986	0.95646816	0.9410214	0.9619936	0.96081364	0.98042154	0.97953737	0.9691591	0.9823759	0.9723969	0.9279084	0.9802967	0.9394258	0.95083445	0.9598244	0.9790646	0.9549493	0.97077733	0.96506405	0.93162984	0.9582995	0.97487664	0.959152	0.98227686	0.9582386	0.96976316	0.9544723	0.97031975	0.98454875	0.9479405	0.9775562	0.9541742	0.9531458	0.9726271	0.9714271	0.97716284	0.9665445	0.97593313	0.9617884	0.9494615	0.9411142	0.96356034	0.9672057	0.9881839	0.9859427	0.96783227	0.9550549	0.96144706	0.95364606	0.9636591	0.97745997	0.95142335	0.9610626	0.9446797	0.96987313	0.9515933	0.9858334	0.97918797	0.951387	0.96159196	0.95693445	0.9763182	0.95348465	0.96137863	0.95928526	0.9446707	0.9746418	0.94266975	0.95362455	0.92163885	0.9361936	0.9674747	0.985553	0.970415	0.95553404	0.9470569	0.9750575	0.9561656	0.9803022	0.9404988	0.9825719	0.9658993	0.97403616	0.9753752	0.9869455	0.98676735	0.954187	0.9524178	0.9709508	0.96551627	0.9725805	0.94170284	0.9309137	0.99056506	0.988179	0.974508	0.89869535	0.94975185	0.98366827	0.97231674	0.9527696	0.9593408	0.9882175	0.9748725	0.99117285	0.9609675	0.94558346	0.96589893	0.9608008	0.9748543	0.91556144	0.98829305	0.9479306	0.9783361	0.95642203	0.943902	0.99137586	0.96495163	0.96589077	0.9498526	0.95539546	0.9548549	0.9805643	0.9645731	0.95410126	0.9695642	0.98774225
Ambiorix/name	0.9666801	0.0	0.95498115	0.9611289	0.9790958	0.9615608	0.96551126	0.9520564	0.95258456	0.9648123	0.96162474	0.9660977	0.9779551	0.97437316	0.959495	0.9581288	0.9677348	0.94574744	0.98040354	0.9650783	0.956845	0.9810332	0.9521625	0.980582	0.97545666	0.9570097	0.9612612	0.9765541	0.98578393	0.9579462	0.94253695	0.9633585	0.95556426	0.96450293	0.95644766	0.96898854	0.9473122	0.97205824	0.98205096	0.9856339	0.9599003	0.9568803	0.9641543	0.9588886	0.9587706	0.942715	0.9616051	0.97045106	0.97843003	0.9564417	0.9564437	0.93898916	0.9556834	0.9619382	0.95758224	0.9631299	0.97186303	0.9560457	0.9523479	0.9863928	0.9620574	0.97865045	0.9785769	0.9382078	0.97052103	0.9786532	0.9539041	0.9826061	0.98409635	0.97226995	0.9700081	0.9453243	0.9885206	0.9702468	0.98869795	0.94363624	0.94502664	0.9683328	0.9752755	0.94173306	0.9741911	0.99019164	0.9791225	0.96413034	0.967369	0.9840897	0.9496081	0.97859913	0.97513896	0.96585065	0.9646447	0.9588716	0.97373694	0.9525608	0.9530151	0.98293823	0.96144265	0.96216816	0.95974123	0.970294	0.9896024	0.9386334	0.95804065	0.9543204	0.9726009	0.9816807	0.9516963	0.9610439	0.9799923	0.98636943	0.9504962	0.9629691	0.96983355	0.9622977	0.9705851	0.96266127	0.9773257	0.98397034	0.958417	0.9601286	0.95976156	0.9508229	0.9848958	0.96115565	0.9134784	0.94911104	0.9729903	0.913773	0.94773054	0.9485065	0.9778336	0.96968645	0.9683909	0.98227066	0.965194	0.9685343	0.96676934	0.97760886	0.9600183	0.9567063	0.9690158	0.9829419	0.98228186	0.96733594	0.9683363	0.9583913	0.98112994	0.9611336	0.9697702	0.9614456	0.9767966
Amerika/name	0.99213344	0.95498115	0.0	0.5861217	0.9650428	0.58001125	0.9345014	0.7526354	0.9517171	0.9058071	0.86925876	0.9258548	0.84923154	0.80708474	0.7894416	0.80703616	0.80588424	0.96287626	0.8212093	0.85903823	0.7922323	0.9040583	0.7632518	0.8768432	0.80379975	0.762879	0.8283099	0.8367587	0.9063463	0.88143015	0.8508159	0.91181433	0.8514741	0.812278	0.74993956	0.8337081	0.86125416	0.8653993	0.7166568	0.86183906	0.75351006	0.70510787	0.928971	0.8320826	0.78444993	0.84007424	0.7909	0.8545779	0.85789317	0.7911762	0.8185885	0.9038174	0.8835969	0.85515195	0.8924597	0.8818774	0.8751856	0.78280306	0.82194734	0.7995426	0.8527319	0.7885954	0.7788644	0.8133064	0.90444946	0.7982551	0.80591047	0.9421246	0.8273446	0.8212453	0.86747897	0.77172875	0.8586618	0.84619045	0.8303483	0.81732064	0.85519093	0.91950667	0.7930711	0.8387674	0.8701473	0.8655227	0.8699868	0.77273464	0.8336282	0.8157574	0.8200191	0.8522752	0.8428266	0.79009277	0.8031085	0.8512379	0.8722414	0.8805427	0.8538867	0.8678388	0.77415514	0.8016951	0.7726019	0.8200391	0.9406667	0.8256821	0.8654928	0.943956	0.8135418	0.87539357	0.8156018	0.82067657	0.7722429	0.87549216	0.8806143	0.8464339	0.8089588	0.93571866	0.8313361	0.8055146	0.7897907	0.8791726	0.9192921	0.8455186	0.8379082	0.80032027	0.95432997	0.8532643	0.8133383	0.84722424	0.774546	0.8897846	0.95344573	0.82414937	0.8399335	0.8815785	0.8025062	0.8112843	0.88027364	0.87288684	0.82392216	0.867543	0.8192346	0.886847	0.64012206	0.86689556	0.79250073	0.7894881	0.8513591	0.7378559	0.78418607	0.72854215	0.8019656	0.8738199	0.8133197
Amerikaan/noun	0.9671189	0.9611289	0.5861217	0.0	0.95810336	0.75137186	0.9507324	0.71055734	0.940117	0.8990334	0.85852957	0.91771096	0.8469307	0.7945568	0.80907553	0.83347297	0.7965226	0.948112	0.8252189	0.8624149	0.76358175	0.910768	0.78334916	0.88505465	0.7552439	0.6453443	0.82676667	0.8653368	0.84544516	0.88009095	0.8884398	0.91488355	0.83807355	0.7454259	0.7877685	0.81090206	0.84583354	0.863263	0.7894432	0.82919276	0.7714039	0.66664404	0.9178712	0.82030636	0.8110246	0.84328437	0.8031714	0.86928684	0.84142834	0.7627473	0.75143766	0.9038522	0.8752223	0.8470704	0.8977383	0.8730624	0.89530605	0.7949733	0.8323634	0.7715886	0.8292289	0.72960293	0.6856916	0.83358425	0.89437884	0.72793514	0.7419027	0.9257843	0.7831633	0.78171074	0.82453626	0.83732927	0.91500854	0.8369262	0.7755999	0.83497363	0.82856035	0.848892	0.80253917	0.8250676	0.8862585	0.9008731	0.8252537	0.8038849	0.8339975	0.7543416	0.8270327	0.846968	0.8145506	0.80628073	0.82528955	0.76537764	0.84308946	0.87561816	0.86130553	0.8516228	0.79793453	0.7702279	0.7673044	0.7945883	0.94413865	0.81458926	0.84324	0.94032353	0.7985321	0.85962147	0.825982	0.789865	0.7025633	0.90558636	0.7945032	0.83981526	0.804899	0.91915196	0.8670829	0.76171243	0.75470734	0.8949459	0.9038551	0.85592544	0.8198739	0.8142623	0.9804238	0.8405261	0.8365565	0.86172825	0.7552716	0.84646827	0.941546	0.82540226	0.8692102	0.8992474	0.8028794	0.7524345	0.86392057	0.82000047	0.8634721	0.8808846	0.8109728	0.8523443	0.78016067	0.8523187	0.80015516	0.72948337	0.81572807	0.7487432	0.7661357	0.65962744	0.7929421	0.8664722	0.75189984
C2/name	0.939014	0.9790958	0.9650428	0.95810336	0.0	0.9611767	0.93811697	0.98859507	0.9779122	0.96769994	0.95462966	0.9774053	0.9800764	0.96374196	0.92964494	0.96639234	0.9699336	0.9643705	0.9552127	0.9544972	0.9699635	0.9783065	0.93037856	0.93955785	0.9639022	0.97557646	0.97888803	0.9605848	0.9484982	0.9413879	0.9616041	0.9743149	0.9755672	0.9550855	0.94458985	0.9628384	0.9609695	0.9636836	0.9694143	0.9829147	0.9349369	0.9513843	0.9658791	0.93347985	0.9536821	0.93381095	0.9594529	0.9510768	0.9603423	0.9734451	0.9812387	0.9403296	0.9774886	0.9739264	0.97695804	0.98832256	0.94497573	0.96063983	0.96811265	0.9677087	0.9658952	0.9780371	0.96670663	0.96818775	0.971696	0.9686579	0.97161096	0.9562293	0.97738785	0.9602716	0.96989614	0.9595114	0.9705056	0.9393306	0.9373019	0.9383457	0.9594404	0.9489092	0.9649617	0.9419397	0.98620486	0.9105667	0.9679756	0.95774674	0.9498423	0.972125	0.8986188	0.964746	0.98154676	0.96225154	0.9654919	0.9572483	0.95442075	0.9698587	0.9758418	0.979381	0.9441132	0.9546026	0.96913385	0.96926093	0.97359127	0.93303305	0.9582772	0.97903633	0.98063725	0.9765048	0.96385384	0.94507796	0.98686653	0.98491186	0.9842759	0.9618324	0.96513045	0.98372716	0.9118319	0.95130426	0.95726305	0.9729991	0.97305584	0.97893506	0.9415096	0.9557089	0.98535144	0.94669634	0.9430392	0.93893135	0.974778	0.9651406	0.9765308	0.9242816	0.9540864	0.9631459	0.98539525	0.9681897	0.94850314	0.9695184	0.9214538	0.9679316	0.9512611	0.95618814	0.96530956	0.96010196	0.96020645	0.9597785	0.9835464	0.9458927	0.9754868	0.96301275	0.9444175	0.9691689	0.9732777
Europa/name	0.98152083	0.9615608	0.58001125	0.75137186	0.9611767	0.0	0.88120985	0.76303804	0.9647194	0.89711875	0.8728926	0.88240576	0.90013194	0.83845943	0.8008617	0.81235224	0.84263796	0.93909276	0.88508314	0.87026757	0.80004674	0.8529044	0.7127547	0.87122625	0.8936388	0.78652865	0.8639372	0.8837611	0.9189628	0.8822407	0.8770142	0.9333478	0.8341573	0.7930508	0.6924963	0.90310186	0.8876727	0.86345786	0.7022065	0.9291547	0.75337267	0.7709893	0.9302573	0.7937146	0.8461025	0.8762378	0.85020465	0.8709338	0.90897053	0.8401598	0.8731176	0.9172007	0.9252509	0.8981525	0.85010755	0.8833882	0.9045535	0.8695903	0.8854258	0.91371834	0.89716136	0.91593605	0.8602372	0.7763616	0.9208591	0.9090268	0.8207725	0.91768295	0.8684077	0.9163006	0.9436577	0.80469155	0.8142667	0.9214781	0.9246101	0.8311071	0.8202052	0.9353106	0.8819494	0.8874029	0.7879468	0.84539545	0.94025934	0.73385274	0.8569778	0.87139785	0.8431637	0.9210483	0.920287	0.86556125	0.84259367	0.89732987	0.8990714	0.9289321	0.9151678	0.89308226	0.8431083	0.7842637	0.8494166	0.8755774	0.95394725	0.7990094	0.8867074	0.9573426	0.8956038	0.87990284	0.76620126	0.8865799	0.858131	0.8344797	0.9310552	0.79653037	0.89017856	0.93411416	0.75245774	0.7948689	0.8169631	0.8352941	0.9479325	0.81638825	0.86701155	0.8318787	0.9350152	0.9236994	0.84654295	0.8538145	0.89581704	0.8839678	0.96843594	0.840114	0.76449007	0.89282674	0.9128254	0.9148976	0.8763668	0.9336705	0.839625	0.86119056	0.8340693	0.9023859	0.61733806	0.86094064	0.80479455	0.889227	0.8591529	0.79893845	0.8563392	0.8004947	0.84799474	0.8804705	0.90020204
IBA/name	0.9514183	0.96551126	0.9345014	0.9507324	0.93811697	0.88120985	0.0	0.9525924	0.9758473	0.9306907	0.9318606	0.9128509	0.954175	0.9298279	0.918594	0.9295394	0.9464066	0.94507647	0.9623451	0.91212595	0.9510545	0.9402083	0.8778005	0.9353444	0.9781707	0.94046044	0.96775216	0.9083823	0.93033224	0.9129515	0.95358247	0.93865216	0.9248241	0.92653555	0.85561633	0.95633996	0.9367211	0.9144839	0.95620656	0.9488442	0.8876433	0.9026848	0.9552698	0.89937145	0.9462869	0.9304352	0.9486809	0.9249399	0.93671596	0.96514773	0.96098304	0.9407863	0.94341886	0.93067694	0.92306167	0.9161464	0.9493703	0.957385	0.9443026	0.95197934	0.9400614	0.94839156	0.94742477	0.920161	0.9765593	0.92321384	0.9539138	0.9234873	0.93988097	0.9642359	0.94148535	0.9144688	0.78595537	0.9448932	0.9741691	0.89062154	0.89016944	0.94773895	0.94848126	0.9403621	0.90504366	0.95152766	0.95739365	0.9058659	0.94942856	0.9630143	0.914692	0.96734077	0.94971704	0.9618591	0.9285412	0.9574869	0.9279036	0.96826655	0.9563785	0.94344276	0.942912	0.8862264	0.9498983	0.9424331	0.9393291	0.90879214	0.9785515	0.9153603	0.96299493	0.973819	0.90332013	0.91697365	0.9587399	0.90722096	0.9413022	0.91465354	0.9546413	0.9566988	0.8962532	0.8861494	0.9466109	0.9078951	0.93240404	0.93867946	0.91673243	0.9137295	0.9349055	0.9459466	0.94361717	0.90686	0.9796115	0.9418217	0.9656211	0.9012735	0.9074996	0.909278	0.9634836	0.9686488	0.8830641	0.9508964	0.9287553	0.96495575	0.8975451	0.9364449	0.9324356	0.9412829	0.9560224	0.9275928	0.95002663	0.93224156	0.95230156	0.90951395	0.92507267	0.89991736	0.9883686
Kosovo/name	0.9672606	0.9520564	0.7526354	0.71055734	0.98859507	0.76303804	0.9525924	0.0	0.9796593	0.92049533	0.8708215	0.93347836	0.9226806	0.8866489	0.8646896	0.88829166	0.8637028	0.96501476	0.92649037	0.8671911	0.8057048	0.9060697	0.8506602	0.905895	0.88303536	0.79311323	0.8470563	0.9250326	0.87738276	0.9248412	0.91069686	0.9379612	0.864789	0.7956993	0.8272363	0.93180305	0.9041905	0.9035969	0.7830736	0.9168109	0.8180146	0.7378387	0.9091512	0.88179195	0.90380716	0.902217	0.89705575	0.89308447	0.89784944	0.8271097	0.8087981	0.92717934	0.90813285	0.9141859	0.8599378	0.88483906	0.88631356	0.8793225	0.93935406	0.8960315	0.8902406	0.8841946	0.7934353	0.8313377	0.9554441	0.89029616	0.7388092	0.953436	0.77337337	0.90630317	0.9480549	0.905301	0.94013596	0.93247616	0.90663975	0.88452643	0.9136057	0.9436696	0.9117806	0.9167979	0.8739495	0.89917755	0.93798745	0.8292764	0.8915905	0.8804753	0.8724665	0.9203836	0.931139	0.9168961	0.9082023	0.86933035	0.91413105	0.92030615	0.92043966	0.9135745	0.882042	0.7895688	0.8390355	0.88522243	0.9677773	0.90125847	0.8894982	0.9635006	0.89291185	0.8969369	0.8728936	0.8795287	0.74608576	0.9129438	0.6893046	0.8751403	0.8848162	0.9547314	0.87911475	0.7841102	0.79946995	0.911092	0.93131137	0.81263125	0.9077657	0.8956044	0.957395	0.94875807	0.8321706	0.9148681	0.89657176	0.9062081	0.96845126	0.9081326	0.85486156	0.941926	0.8898918	0.8956693	0.9172727	0.9068248	0.88592947	0.85190284	0.878159	0.9295371	0.8323426	0.9020675	0.8410177	0.8666564	0.888727	0.8663152	0.87376285	0.78175485	0.8782316	0.87753767	0.8902602
Rineke/name	0.9755158	0.95258456	0.9517171	0.940117	0.9779122	0.9647194	0.9758473	0.9796593	0.0	0.96534777	0.9502811	0.9662187	0.94591284	0.9619137	0.9504871	0.9579618	0.9593965	0.93737125	0.959334	0.96428514	0.9444523	0.9846112	0.9667906	0.95792764	0.9527854	0.9526872	0.97429913	0.9512372	0.968413	0.95469904	0.96691555	0.9784247	0.9479475	0.97865075	0.9570536	0.8857574	0.9706182	0.97163904	0.98180544	0.9531618	0.9485127	0.9261732	0.98718345	0.9799962	0.9422592	0.96201825	0.9411517	0.95320475	0.942123	0.946986	0.9541534	0.9631573	0.95686567	0.9562558	0.9710535	0.96941155	0.9637226	0.9428958	0.9543194	0.91460836	0.9284403	0.9409437	0.9449105	0.9591095	0.9726073	0.9321273	0.95565236	0.9876828	0.9718473	0.9476043	0.9430994	0.964976	0.9661991	0.94475895	0.9166263	0.9693272	0.96320426	0.9612231	0.9456507	0.94515866	0.98319805	0.97359025	0.9482049	0.97058755	0.95625126	0.94078	0.9321863	0.94581306	0.9509137	0.9629939	0.9511856	0.969547	0.97508615	0.97096705	0.9682174	0.97270304	0.94802946	0.9622079	0.96031356	0.9642008	0.96165276	0.9536675	0.9594433	0.95113045	0.96711814	0.96738833	0.9714712	0.9486001	0.9430157	0.97726524	0.96595633	0.97929823	0.9396939	0.9513546	0.9801253	0.9349957	0.9696992	0.98742384	0.96729374	0.9746679	0.958193	0.9501636	0.9587681	0.96088225	0.94652504	0.9597036	0.9324358	0.96575433	0.9712834	0.9566961	0.9824561	0.9628564	0.9449716	0.912262	0.9608973	0.9299717	0.9578663	0.9784388	0.94840914	0.972624	0.90949863	0.9582872	0.9559147	0.9245816	0.979269	0.9323018	0.9045637	0.9276832	0.94172776	0.9763689	0.94245386
Sparta/name	0.8632806	0.9648123	0.9058071	0.8990334	0.96769994	0.89711875	0.9306907	0.92049533	0.96534777	0.0	0.914182	0.94621474	0.88097423	0.8272727	0.90100455	0.92174363	0.8658787	0.83975035	0.89434606	0.85131806	0.90525186	0.9421711	0.862616	0.93621284	0.9002866	0.9053517	0.86918414	0.82095516	0.92168075	0.94296485	0.9149572	0.91121656	0.9128226	0.8848639	0.845483	0.902457	0.8475513	0.89831394	0.90810984	0.9216928	0.83777195	0.8700821	0.9526871	0.8600726	0.876864	0.88558304	0.8860067	0.8956284	0.84874094	0.915541	0.90844285	0.9165127	0.9277667	0.8463534	0.9193133	0.92104876	0.8896987	0.9332105	0.8878327	0.88611186	0.9285738	0.85589814	0.88370055	0.91028845	0.9347523	0.8191653	0.92273784	0.9322507	0.9370412	0.9051842	0.87566984	0.90558976	0.92435306	0.90109354	0.88501376	0.8935672	0.915429	0.8828977	0.90098447	0.8999162	0.9470756	0.9292022	0.8922457	0.86857975	0.8981317	0.9321062	0.8743915	0.90434545	0.8863537	0.8604309	0.8861071	0.9011233	0.9039692	0.922375	0.91930383	0.9277356	0.9248526	0.8738886	0.84686583	0.8327844	0.97131956	0.8979745	0.89567167	0.9523677	0.91777617	0.91489387	0.9024185	0.9469157	0.92565584	0.91805226	0.95296997	0.87068564	0.88860637	0.9188848	0.92390174	0.84566677	0.8352976	0.92377555	0.96273935	0.89564675	0.80314213	0.90148175	0.9477003	0.93126357	0.8856012	0.8592787	0.8905104	0.92563516	0.9772485	0.87383443	0.88046986	0.87626827	0.90474343	0.92324704	0.8058164	0.9329386	0.8384341	0.9297869	0.8993586	0.87266135	0.9227128	0.91865283	0.86328787	0.8780261	0.84079844	0.84662247	0.9053714	0.87728536	0.89476454	0.8958871	0.9089431
aan/prep	0.9845048	0.96162474	0.86925876	0.85852957	0.95462966	0.8728926	0.9318606	0.8708215	0.9502811	0.914182	0.0	0.8993286	0.86481625	0.85870945	0.80426717	0.86075413	0.8523751	0.935892	0.8587934	0.80641675	0.85731953	0.8125171	0.7539466	0.8244554	0.8663174	0.8528898	0.8687326	0.86770964	0.85474724	0.874699	0.8281431	0.86547107	0.5737312	0.7631105	0.7952068	0.88330626	0.87891614	0.8658158	0.83679575	0.8053169	0.7612478	0.80383927	0.9090804	0.82863903	0.88539153	0.84336567	0.84502983	0.816767	0.8679879	0.8392975	0.8234745	0.83788264	0.84748244	0.86031127	0.794769	0.79824936	0.92459786	0.86294615	0.8499929	0.83381	0.91957766	0.8242689	0.80290526	0.8153271	0.9487815	0.80524	0.85727584	0.93321997	0.8188552	0.7980677	0.8435184	0.8707282	0.9212298	0.85554767	0.8892489	0.82635003	0.81281555	0.90558857	0.83884376	0.88297087	0.8629148	0.9072757	0.8790784	0.79525423	0.866853	0.8061089	0.8042645	0.8839924	0.85580224	0.86062706	0.85210115	0.868079	0.8842069	0.86558914	0.865639	0.8686737	0.75797796	0.78927165	0.8526314	0.85597444	0.9238615	0.81377935	0.87214965	0.92807406	0.8399083	0.8909047	0.85079926	0.8207371	0.8992258	0.84840727	0.93610364	0.869542	0.8187363	0.8949536	0.8518393	0.81321025	0.8467408	0.8093859	0.87505543	0.7995783	0.88104266	0.830549	0.94566756	0.84831285	0.85877997	0.8698424	0.82999766	0.8879284	0.9750429	0.78356934	0.8574674	0.896964	0.85497844	0.8479864	0.8729496	0.8635117	0.8818626	0.8633732	0.77086884	0.874705	0.8941505	0.87804097	0.86076367	0.8169075	0.8236905	0.84688884	0.85683125	0.77647185	0.904093	0.85112035	0.8654075
aanschaf/noun	0.9870307	0.9660977	0.9258548	0.91771096	0.9774053	0.88240576	0.9128509	0.93347836	0.9662187	0.94621474	0.8993286	0.0	0.9255843	0.92071396	0.8288118	0.9253785	0.8732849	0.9471463	0.95682836	0.8813165	0.8973836	0.8171434	0.8092705	0.85733455	0.9589583	0.93427944	0.93743485	0.9520425	0.88709587	0.7552672	0.9180407	0.9210069	0.90587234	0.84792596	0.8662393	0.9288548	0.8929624	0.90365607	0.92283475	0.92219526	0.83353186	0.88645834	0.9357241	0.8190853	0.9288229	0.94296974	0.89621854	0.93094474	0.9278307	0.9344035	0.92298955	0.8559447	0.9200795	0.92512625	0.85070115	0.8795638	0.9380795	0.94708574	0.92695343	0.9144297	0.92570573	0.92549574	0.9052246	0.9004055	0.95880795	0.9327027	0.891055	0.89283705	0.8724058	0.9124169	0.93141943	0.92476004	0.92878246	0.8837689	0.9295662	0.88852113	0.8156397	0.9396433	0.88773084	0.8935955	0.8696817	0.9305156	0.94279444	0.8862797	0.8721881	0.9081462	0.82090306	0.9492821	0.9183052	0.92220175	0.9055259	0.9459486	0.90334356	0.9548012	0.941038	0.886346	0.8037027	0.79685605	0.9200895	0.9293585	0.9428893	0.839084	0.8962811	0.9117984	0.9088225	0.92083967	0.8942617	0.89383876	0.9567063	0.9085863	0.9820451	0.8877385	0.91529346	0.9438769	0.8162936	0.84712666	0.9302434	0.8739388	0.91387606	0.9000196	0.9147496	0.90768677	0.91638976	0.85593075	0.8891347	0.9109649	0.9410392	0.8875276	0.94128734	0.8964408	0.9300828	0.9246737	0.9435195	0.9440498	0.91104615	0.9273596	0.9256958	0.93193483	0.89429134	0.9037118	0.88706285	0.9108093	0.9001881	0.8989974	0.9489629	0.84904104	0.93817616	0.8807091	0.92231995	0.8881038	0.9502296
af/adv	0.97361064	0.9779551	0.84923154	0.8469307	0.9800764	0.90013194	0.954175	0.9226806	0.94591284	0.88097423	0.86481625	0.9255843	0.0	0.72148997	0.7951101	0.88874054	0.6980032	0.9615277	0.6283971	0.8589788	0.83473104	0.91377854	0.78756654	0.8239516	0.82906294	0.86875594	0.7869375	0.86375725	0.824567	0.86404264	0.87758416	0.87976086	0.8646202	0.7803264	0.8755676	0.68667114	0.6745517	0.82692236	0.8977549	0.8283298	0.7430841	0.752704	0.9405798	0.81149215	0.75659454	0.771719	0.6298168	0.82368356	0.5624122	0.86894095	0.8719315	0.82509214	0.8706667	0.7733845	0.92610145	0.9062153	0.8809029	0.8373289	0.6935518	0.72028565	0.8497251	0.7534613	0.81526357	0.8140193	0.86487967	0.68723	0.894831	0.9743023	0.8800451	0.7173023	0.7117938	0.82573915	0.91557026	0.64979035	0.7598741	0.7999334	0.8652108	0.8929849	0.7628189	0.71048594	0.9318037	0.9526769	0.74866676	0.85331446	0.73906493	0.80827546	0.70817465	0.7846651	0.76672816	0.70619583	0.748733	0.824463	0.86476415	0.85810804	0.79433036	0.83789694	0.6734173	0.788933	0.77129143	0.78284526	0.9462143	0.77463096	0.8060962	0.9502285	0.8300871	0.83717525	0.8813387	0.85264724	0.9424578	0.9039941	0.96520305	0.79784465	0.5110407	0.92705214	0.8827683	0.77053225	0.8982004	0.9055875	0.898542	0.85052156	0.71238136	0.8014121	0.974765	0.7935262	0.80432665	0.79660887	0.8151209	0.88778865	0.9467209	0.75536585	0.83887607	0.8286077	0.7993476	0.8133044	0.7947798	0.8858344	0.69686425	0.81237674	0.8470288	0.7546295	0.82578754	0.90540975	0.75773835	0.6503605	0.85100317	0.6476481	0.8062147	0.8119613	0.7442013	0.90125024	0.8396302
al/comp	0.91135764	0.97437316	0.80708474	0.7945568	0.96374196	0.83845943	0.9298279	0.8866489	0.9619137	0.8272727	0.85870945	0.92071396	0.72148997	0.0	0.7119977	0.8608051	0.64639485	0.94969517	0.6774525	0.87508214	0.85955566	0.9195661	0.65095496	0.87969214	0.8494195	0.85716337	0.83337915	0.8414912	0.88859373	0.8786327	0.8216629	0.88146067	0.81409645	0.77420765	0.74524677	0.8037437	0.6392569	0.61915237	0.80913687	0.83104014	0.7394666	0.8149846	0.9515404	0.62903047	0.674696	0.8335757	0.5621384	0.7765056	0.7185869	0.8643551	0.8676284	0.88347274	0.881463	0.69325864	0.89757735	0.87730145	0.8705476	0.79167736	0.7766697	0.73980206	0.8927086	0.7231288	0.7540505	0.80444103	0.7293525	0.67561066	0.89207685	0.9483476	0.8903959	0.7255614	0.6345006	0.8087417	0.8960412	0.66085684	0.8047124	0.7497212	0.85692656	0.884216	0.7275475	0.6582304	0.8478122	0.9110376	0.6975123	0.80176103	0.81788015	0.77696234	0.8233199	0.72551024	0.65900445	0.6424265	0.637063	0.6941488	0.6455484	0.74409163	0.7444272	0.7677764	0.78221154	0.7718097	0.73413694	0.7033707	0.9560679	0.6319913	0.8516922	0.9423993	0.8277031	0.8715719	0.831283	0.8608056	0.89452046	0.8443868	0.9554424	0.7857002	0.6494889	0.9347088	0.8316807	0.70552266	0.8605145	0.8855418	0.90466	0.8566701	0.49928594	0.6989895	0.95450807	0.71911895	0.8793956	0.80093324	0.8402611	0.9032194	0.95493513	0.7180118	0.8118431	0.8543037	0.8446258	0.835742	0.67383957	0.89637434	0.7616836	0.8906492	0.74129057	0.55630505	0.81408054	0.91510355	0.7548011	0.6507112	0.7173787	0.65505904	0.76112455	0.69172156	0.6811154	0.88350815	0.85877705
