	A./name	Arafat/name	Bill/name	Blatter/name	Bush/name	Dierckxsens/name	EADS/name	Europees/name	Europese/name	Fortuyn/name	Groen/name	Hof/name	Hooggerechtshof/name	Lagos/name	Leterme/name	Lodewijk/name	NIOD/name	Ray/name	Roe/name	Volkscongres/name	Wahid/name	aankoop/noun	aantijging/noun	afgelopen/adj	afschaffing/noun	afspraak/noun	al/adv	al/comp	alles/noun	altijd/adv	amnestie_wet/noun	arrest/noun	bekentenis/noun	belofte/noun	benoeming/noun	beschuldiging/noun	beslissing/noun	besluit/noun	bestuur_accoord/noun	bevel/noun	bewering/noun	bezwaar/noun	bond/noun	boycot/noun	braaf/adj	brief/noun	bron/noun	capitulatie/noun	daarmee/pp	daarna/adv	daarna/pp	dag/noun	dan/adv	dat/det	decreet/noun	deels/adv	definitief/adj	desnoods/adv	die/det	dinsdag/noun	dit/det	doodvonnis/noun	door/prep	dus/adv	duur_voort/adj	echter/adv	eerste/num	eventueel/adj	fatwa/noun	federatie/noun	formeel/adj	geleden/adj	getuige/noun	getuigenis/noun	gisteren/adv	haastig/adj	half/adj	het/det	hij/pron	hoewel/comp	hof/noun	ijlings/adv	in_vrijheid_stelling/noun	inderdaad/adv	inmiddels/adv	intussen/adv	invoering/noun	jaar_cijfer/noun	kamer/noun	laat/adj	maal/noun	maandag/noun	maar/vg	maatregel/noun	mededeling/noun	mening/noun	min/adv	minister/noun	mogelijk/adj	na/prep	nadat/comp	niet/adv	nieuws/noun	noch/vg	nooit/adv	nu/adv	of/vg	om/comp	om/prep	omdat/comp	onder/adv	onmiddellijk/adj	ontslag/noun	ook/adv	oordeel/noun	overigens/adv	overname/noun	overtuiging/noun	passage/noun	patent/noun	plan/noun	plots/adj	probatie_uitstel/noun	publiekelijk/adj	rechtbank/noun	refs/noun	regel/noun	regeling/noun	regering/noun	richtlijn/noun	scheidsrechter/noun	schielijk/adj	schoon_vader/noun	schorsing/noun	snel/adj	staking/noun	standpunt/noun	stap/adv	steeds/adv	stelling/noun	stellingname/noun	stem/noun	toekenning/noun	toen/comp	uitdrukkelijk/adj	uitgeweken/adj	uitslag/noun	uitspraak/noun	vandaag/adv	veiligheidsmaatregel/noun	verbod/noun	verdachte/noun	vergissing/noun	verhaal/noun	verklaring/noun	veroordeling/noun	vervolgens/adv	vonnis/noun	waarschuwing/noun	week/noun	weekeinde/noun	weer/adv	wegens/prep	wet/noun	wetswijziging/noun	woensdag/noun	woord/noun	woordvoerder/noun	zaterdag/noun	ze/pron	zij/pron	zolang/comp	zondag_avond/noun
A./name	0.0	0.83334446	0.85946804	0.85636383	0.8368101	0.9171702	0.89750934	0.8901447	0.8784601	0.8980988	0.84939694	0.86330616	0.76827717	0.94205135	0.8202957	0.8124728	0.8952781	0.75903094	0.7733959	0.93899447	0.87124485	0.98058003	0.76617604	0.9439968	0.86703426	0.9709496	0.9254326	0.96637106	0.9932335	0.9592435	0.94953007	0.7330177	0.52823496	0.94310826	0.82278156	0.6294005	0.8022459	0.84611523	0.99614346	0.88487506	0.8014691	0.803637	0.89393234	0.9520384	0.96648335	0.8436285	0.83905286	0.9834395	0.876251	0.93601584	0.916059	0.93082833	0.99754524	0.95823914	0.9721992	0.9376193	0.8537476	0.8792425	0.8658453	0.8435792	0.9496656	0.8184491	0.7923087	0.9711121	0.948817	0.76655793	0.8726828	0.7681845	0.963708	0.920709	0.73392284	0.8906257	0.55696714	0.6327721	0.61407727	0.86011714	0.6937827	0.918505	0.8493997	0.86563736	0.65604246	0.9204179	0.6600808	0.8965167	0.77288526	0.85478246	0.904901	0.8913434	0.76911587	0.83742297	0.9483346	0.8686251	0.97083044	0.9161128	0.8129015	0.8566194	0.87056136	0.752128	0.8008677	0.78026366	0.74461305	0.97313666	0.92739576	0.85236305	0.8932017	0.9828513	0.9037305	0.95458233	0.92176354	0.8061863	0.85575116	0.73964506	0.87806785	0.9827779	0.8151175	0.779173	0.9257133	0.92021775	0.9071377	0.98449236	0.9540067	0.8748437	0.8371601	0.791336	0.6375203	0.9657615	0.9069056	0.89395833	0.8470977	0.9118365	0.98596096	0.90379137	0.69473994	0.94104564	0.92941195	0.95602643	0.90634274	0.9706781	0.95398766	0.85794365	0.9262078	0.9598205	0.96110547	0.90986407	0.8550993	0.96792483	0.94707775	0.7681073	0.8130342	0.81830716	0.9069086	0.47064435	0.9178873	0.8950863	0.6120608	0.694901	0.84762084	0.7036874	0.867725	0.9292296	0.9380698	0.9322557	0.73220634	0.8461702	0.8391254	0.8270767	0.9274868	0.6852935	0.97251195	0.9564031	0.82398903	0.84636563	0.8827761
Arafat/name	0.83334446	0.0	0.53691435	0.7329718	0.29532945	0.9574191	0.8134528	0.7929385	0.72924423	0.7795048	0.7789277	0.7531278	0.56092066	0.8596225	0.7481004	0.901397	0.73091996	0.902764	0.954774	0.765617	0.5942091	0.861544	0.57782686	0.823124	0.7374484	0.84600127	0.8134697	0.87160844	0.8610718	0.8791694	0.8402982	0.8033845	0.73596585	0.6565204	0.5278816	0.60202944	0.7144659	0.575356	0.83718514	0.5220804	0.49804455	0.6361575	0.72747266	0.5579532	0.8458331	0.7099929	0.6874231	0.80129266	0.61564535	0.86325985	0.8804418	0.87118614	0.9332926	0.72513974	0.68114376	0.79343516	0.69640315	0.6859093	0.7005642	0.80764246	0.75882465	0.59720486	0.7161162	0.9004152	0.791106	0.5301455	0.8365068	0.65922	0.6720552	0.62909544	0.45043314	0.8637742	0.7670281	0.7800335	0.5868496	0.68916833	0.94515014	0.7751033	0.6241724	0.6358919	0.6649025	0.79237247	0.8433857	0.7645894	0.8174084	0.7692265	0.82686603	0.81867015	0.96433854	0.8675879	0.72970706	0.840035	0.8478626	0.6221251	0.61941075	0.79742205	0.6953609	0.4799291	0.7582651	0.765213	0.57913125	0.74148583	0.7843275	0.55744857	0.7201381	0.9214972	0.8033741	0.62021077	0.8381111	0.6539906	0.9053463	0.64735526	0.5365615	0.9318117	0.7776327	0.60973555	0.7956949	0.74676406	0.7641505	0.8864337	0.7562513	0.8306304	0.8549944	0.5581124	0.69154525	0.7797955	0.8537332	0.7969676	0.37858695	0.81866986	0.8138027	0.78731585	0.85370845	0.80514693	0.83986074	0.699039	0.614162	0.9847396	0.7418804	0.8028217	0.8134907	0.81488425	0.7810999	0.7609666	0.53962326	0.88207686	0.79448605	0.71465033	0.7668166	0.7529113	0.6699933	0.69409513	0.6013165	0.88815033	0.58387524	0.661215	0.81449044	0.7430965	0.57780707	0.81108993	0.72323513	0.87737775	0.6581707	0.7693259	0.6554884	0.8478989	0.8071848	0.65414757	0.9048676	0.77292037	0.6098356	0.63582516	0.8202933
Bill/name	0.85946804	0.53691435	0.0	0.7914745	0.50907975	0.94192463	0.93118995	0.8879143	0.8809437	0.8558673	0.891251	0.9195423	0.82814467	0.9116854	0.8014167	0.88891673	0.8458612	0.34227616	0.9993955	0.8493365	0.8179622	0.95345587	0.6797437	0.84381443	0.91837513	0.9270109	0.93707234	0.9732734	0.992283	0.9011726	0.918002	0.9270022	0.8288071	0.801679	0.74781096	0.7271329	0.8901398	0.7912024	0.9406601	0.74355364	0.73192036	0.85575587	0.8631756	0.8093971	0.8193765	0.74878025	0.82782716	0.879991	0.874599	0.9530101	0.9561542	0.93814147	0.9895154	0.96003795	0.8721223	0.9370047	0.91878	0.86667913	0.88224536	0.8500777	0.9329324	0.87990093	0.78670615	0.9698623	0.89874756	0.8148614	0.8966105	0.8644881	0.9697432	0.9004335	0.74400336	0.87300014	0.8333834	0.7164931	0.72702193	0.880343	0.9550437	0.96361685	0.78333366	0.7230102	0.8652763	0.7570226	0.9103495	0.8866502	0.8488978	0.8806492	0.9242406	0.88885474	0.9142637	0.92555314	0.9061865	0.86499727	0.93942624	0.8644882	0.70787746	0.85237926	0.89437544	0.73855925	0.86885226	0.8709686	0.737443	0.94024813	0.84668994	0.6976574	0.8995077	0.97759247	0.8203393	0.89063853	0.84521407	0.8673694	0.7333026	0.88491607	0.8193995	0.9793007	0.905	0.76975447	0.92633533	0.93173605	0.91578645	0.8918844	0.8599283	0.86480534	0.9824104	0.7142076	0.86554426	0.9772749	0.95913494	0.95035875	0.73621976	0.85828507	0.8752897	0.90579	0.7458583	0.9382629	0.98563313	0.8485871	0.82582945	0.9976171	0.8719826	0.9299397	0.91919076	0.82759535	0.8035753	0.76989347	0.788199	0.9461548	0.877466	0.8588245	0.82791346	0.8131271	0.8645444	0.83063173	0.82306826	0.7960059	0.73010474	0.90119386	0.9188458	0.91081804	0.7309768	0.85906404	0.82814926	0.9355944	0.8393209	0.9177609	0.8600868	0.84898645	0.8459461	0.6599077	0.85372806	0.9088178	0.8195634	0.8074305	0.8354778
Blatter/name	0.85636383	0.7329718	0.7914745	0.0	0.62505364	0.8932407	0.86580515	0.85474306	0.8006149	0.75889516	0.7627952	0.8264342	0.72050095	0.85562265	0.7771535	0.93720055	0.7496711	0.9338091	0.98024845	0.8009889	0.7404221	0.95255506	0.46727973	0.7745091	0.8898784	0.9120228	0.8713265	0.8556726	0.8808437	0.8012598	0.8751682	0.84089124	0.7525709	0.9176867	0.7468221	0.4801268	0.66036844	0.83613706	0.92774445	0.7894651	0.7053341	0.6981836	0.43951464	0.8159549	0.971969	0.5500368	0.781724	0.934739	0.7283248	0.95369595	0.96814066	0.89431703	0.9309254	0.90530956	0.9192181	0.8626192	0.77703846	0.85898304	0.67912656	0.79685926	0.83571136	0.8638785	0.72000855	0.95131165	0.7982348	0.586481	0.85341686	0.8389851	0.9289507	0.7111623	0.63145006	0.85101473	0.7886063	0.6437253	0.65475714	0.77046806	0.92509604	0.88000965	0.7222794	0.72241914	0.71214557	0.69805634	0.89062124	0.86045974	0.7506679	0.7572386	0.9051185	0.8425511	0.9631776	0.91294795	0.75979465	0.7713314	0.8477932	0.8848507	0.68685305	0.6444895	0.80073905	0.68066347	0.86563915	0.83019096	0.664895	0.7977287	0.8825424	0.7267345	0.7621687	0.90931463	0.95395225	0.78932786	0.8881509	0.7611649	0.84756815	0.8289145	0.70129883	0.9143196	0.6973319	0.66016567	0.89346284	0.8876245	0.84383655	0.93054444	0.73345745	0.8038092	0.96206903	0.48779076	0.69026124	0.48926497	0.8831452	0.9056837	0.74151766	0.8198597	0.45255452	0.8362269	0.84055305	0.7504045	0.92495537	0.6067157	0.76823485	0.9654993	0.81238574	0.7462944	0.8593974	0.69037074	0.7635741	0.7925341	0.70458835	0.8445966	0.76071775	0.7211987	0.831581	0.86672455	0.82965875	0.7259027	0.62958175	0.9282684	0.58332336	0.81787634	0.8711313	0.82657856	0.7860647	0.7679469	0.7848067	0.8818487	0.695054	0.9124649	0.7521672	0.74718606	0.6404196	0.6475014	0.8214789	0.8827298	0.69121647	0.82899725	0.85338813
Bush/name	0.8368101	0.29532945	0.50907975	0.62505364	0.0	0.94482887	0.83029777	0.7488191	0.6659774	0.5900397	0.6058058	0.6903684	0.48320115	0.7990128	0.64221394	0.8976817	0.70777106	0.84563005	0.7923158	0.6732204	0.5182945	0.8842732	0.5096549	0.77133644	0.72828764	0.87559634	0.84520555	0.9168659	0.92924666	0.8313345	0.67322594	0.7584923	0.8163412	0.7123455	0.54892063	0.6200902	0.6780133	0.5771899	0.87546915	0.6176579	0.53650135	0.5703171	0.6138989	0.7710531	0.91519576	0.59063655	0.70650125	0.8053369	0.69161046	0.7803302	0.8523785	0.7884413	0.98019594	0.7713757	0.6243978	0.83944595	0.6034179	0.65079045	0.61649823	0.7201062	0.71254086	0.61635315	0.7158595	0.81943923	0.7822026	0.5419781	0.8405191	0.73469627	0.6853281	0.6797805	0.44240987	0.8175682	0.7839784	0.77658314	0.47823596	0.70198536	0.9309077	0.67490697	0.6516011	0.6221978	0.5994052	0.64522594	0.8638046	0.8476201	0.7597946	0.71678054	0.7789562	0.79053015	0.8737123	0.8105603	0.79799825	0.7172862	0.85627663	0.712863	0.5184977	0.77210265	0.80798817	0.36325932	0.8235106	0.70592785	0.53199244	0.8365164	0.7405046	0.54855835	0.75770956	0.90154934	0.92081356	0.5499793	0.8351335	0.7162437	0.88481367	0.62420183	0.66977954	0.9327221	0.76119316	0.60268664	0.8690556	0.7921661	0.8125729	0.8937142	0.739728	0.82093394	0.97331274	0.5519248	0.66914076	0.8573284	0.8661331	0.82509077	0.33607244	0.78583723	0.8301578	0.7489667	0.8883508	0.8471483	0.8871591	0.7311827	0.6314455	0.9553442	0.7508824	0.7325449	0.64365196	0.6613051	0.76122546	0.6912307	0.48719662	0.82601064	0.70610774	0.6298845	0.6493193	0.75684404	0.6756799	0.7575383	0.6983379	0.96686876	0.6534941	0.7349255	0.7829416	0.69506854	0.6358062	0.7419939	0.6929639	0.85652375	0.7303008	0.7311672	0.7188015	0.71929264	0.7690057	0.6330246	0.81314313	0.8420848	0.6326635	0.6449463	0.7174045
Dierckxsens/name	0.9171702	0.9574191	0.94192463	0.8932407	0.94482887	0.0	0.9696486	0.9482256	0.917162	0.970433	0.98267543	0.9405252	0.8885887	0.9250046	0.84091574	0.97978824	0.9065908	0.89500296	0.99940896	0.9301852	0.9140189	0.96181023	0.9727595	0.9356862	0.94856906	0.8215909	0.9471486	0.9717847	0.99789405	0.99725914	0.9654212	0.9209528	0.64340556	0.9172925	0.91899735	0.9029185	0.91286916	0.8838809	0.95011264	0.9509205	0.95077133	0.98931146	0.7985142	0.91725165	0.9778776	0.8920404	0.9747089	0.94613457	0.9358417	0.93560517	0.8948858	0.92746365	0.97681606	0.9592769	0.9504056	0.97691613	0.82231927	0.94634885	0.8898623	0.8612684	0.9681532	0.8625486	0.85975003	0.9928115	0.98853415	0.89490277	0.9281502	0.8685161	0.9839439	0.635242	0.8429761	0.9733872	0.8851812	0.8403772	0.8574364	0.8785081	0.8803323	0.96512437	0.85789835	0.9341377	0.8680018	0.9085325	0.872487	0.9670548	0.8316636	0.87423384	0.96730894	0.8572374	0.9940715	0.82719886	0.97606987	0.88862276	0.9126178	0.95127547	0.91169935	0.94135433	0.9463002	0.9514969	0.9491612	0.7210487	0.8141948	0.9818387	0.91687024	0.96021014	0.9391111	0.9157342	0.9289197	0.94161236	0.87201333	0.92780477	0.91803485	0.8201014	0.84726423	0.98840666	0.8393981	0.9359124	0.96103406	0.96221334	0.9882963	0.9781653	0.94572353	0.8982299	0.98104155	0.8580682	0.81857216	0.9574185	0.9654448	0.9546163	0.9437399	0.9659023	0.8814721	0.9367299	0.9640355	0.5164727	0.9196844	0.9088911	0.9217554	0.98866594	0.9905232	0.86752665	0.95733356	0.9789837	0.97750974	0.87593985	0.9459618	0.91526484	0.7552128	0.9325989	0.9361638	0.9336851	0.9752686	0.7950509	0.9460302	0.93444407	0.8648051	0.9314062	0.89992374	0.9329351	0.90714145	0.83574283	0.960798	0.8391702	0.83094805	0.99466246	0.9408158	0.87783694	0.98903835	0.93453604	0.9068014	0.9419125	0.8887592	0.92810583	0.82930374
EADS/name	0.89750934	0.8134528	0.93118995	0.86580515	0.83029777	0.9696486	0.0	0.6439929	0.5473494	0.96955204	0.83104646	0.74857855	0.82854545	0.9401579	0.875498	0.9719912	0.91341865	0.9595835	0.9900377	0.8414497	0.8157359	0.5685828	0.93571967	0.9288782	0.876913	0.9470451	0.8937229	0.95356894	0.9367998	0.9940319	0.93460774	0.8225399	0.90593916	0.9581789	0.60054874	0.90585357	0.8010086	0.72675675	0.9463854	0.9707452	0.9298173	0.73607945	0.8417208	0.8666559	0.99454993	0.84455633	0.92853725	0.96988136	0.8321302	0.9723644	0.9785496	0.9226003	0.98648244	0.9345313	0.9312227	0.8650459	0.7786898	0.8601458	0.92279977	0.84095085	0.8769546	0.9249843	0.76001406	0.97915226	0.9816658	0.8753685	0.88841397	0.8174086	0.96038574	0.9095757	0.75579005	0.9240725	0.87502307	0.8810529	0.6948617	0.83469605	0.97472286	0.82940686	0.9120086	0.9434861	0.87258685	0.94255924	0.93599313	0.8412178	0.9257062	0.7753035	0.9336487	0.8436884	0.97409225	0.94578755	0.9572355	0.812884	0.9434678	0.8806306	0.87431574	0.9876988	0.93825555	0.7290153	0.7980576	0.83878404	0.82131284	0.97001266	0.8262176	0.9426152	0.98227686	0.9921264	0.93399006	0.8984999	0.90925944	0.8920558	0.67012763	0.8972932	0.6844419	0.94558024	0.9033268	0.9186844	0.6913085	0.9853085	0.9361972	0.79347384	0.8167468	0.90512866	0.9379721	0.8816391	0.8261757	0.91394967	0.92558056	0.9174051	0.7999226	0.7903459	0.96121603	0.8976681	0.9591787	0.86443156	0.91573036	0.8538195	0.87370694	0.99003	0.95548016	0.9554947	0.87155724	0.9140297	0.9307243	0.9660537	0.8774729	0.85611385	0.9457207	0.8677004	0.7029527	0.8933439	0.86896026	0.9068683	0.90938586	0.9703524	0.77134746	0.85601974	0.9337102	0.89939	0.91081065	0.83704174	0.9189325	0.92896044	0.8672818	0.955126	0.8214934	0.86166525	0.98342955	0.7934058	0.9305943	0.9696047	0.91481733	0.95137405	0.94428205
Europees/name	0.8901447	0.7929385	0.8879143	0.85474306	0.7488191	0.9482256	0.6439929	0.0	0.15559298	0.838228	0.7939824	0.25418365	0.44805145	0.93912715	0.6680568	0.97346056	0.8648983	0.96604365	0.73083687	0.76016897	0.8318421	0.8317754	0.86572206	0.91541445	0.72997534	0.8348676	0.88114065	0.94401395	0.9754414	0.9431367	0.7357819	0.38092119	0.9328874	0.8910617	0.615769	0.8305428	0.67252195	0.5508286	0.9001966	0.74281216	0.845582	0.61968684	0.75914377	0.7453277	0.9084594	0.8719895	0.84180397	0.93745327	0.63845336	0.91679555	0.94107413	0.8998922	0.9611108	0.82884914	0.80077076	0.8170756	0.60508895	0.535481	0.8077786	0.74570346	0.7457885	0.75061995	0.66365707	0.8735056	0.89919436	0.63404655	0.88512933	0.6633087	0.77725	0.79411006	0.63666475	0.9445926	0.86574495	0.8365611	0.601356	0.7619457	0.9643037	0.5730927	0.8979302	0.7453535	0.49126303	0.91476566	0.7904632	0.8614121	0.789309	0.7725109	0.69901633	0.8288048	0.79436743	0.92976856	0.95343536	0.7736082	0.92956305	0.75618744	0.81368065	0.89146477	0.95684123	0.6719134	0.74204314	0.76793396	0.7526594	0.9461272	0.84462917	0.83762836	0.9302425	0.93817204	0.8739319	0.765118	0.8183919	0.7029873	0.733659	0.84114885	0.72223914	0.9530713	0.6019716	0.7300056	0.7356693	0.8154353	0.8068431	0.63219285	0.79571664	0.94185996	0.819007	0.7707377	0.57360876	0.9601471	0.75871766	0.73664165	0.6637688	0.5049666	0.8864824	0.9001255	0.9523696	0.83507997	0.9051589	0.83076173	0.56646276	0.98404473	0.9127629	0.8055292	0.6307486	0.87764144	0.7336099	0.9444486	0.6622868	0.9538612	0.87625027	0.4977492	0.68656194	0.8529657	0.50683135	0.8311339	0.9349204	0.9520261	0.80393004	0.5391474	0.9187138	0.49641073	0.7107294	0.8418658	0.8995368	0.9572261	0.65931594	0.68061614	0.60879195	0.77760386	0.9555128	0.8183304	0.9056801	0.94381493	0.80916286	0.6320431	0.9260119
Europese/name	0.8784601	0.72924423	0.8809437	0.8006149	0.6659774	0.917162	0.5473494	0.15559298	0.0	0.83133674	0.7464009	0.32007676	0.48949182	0.9339677	0.666963	0.9454049	0.808328	0.9678647	0.8592303	0.7019919	0.71331894	0.79537857	0.8275062	0.90938073	0.6747851	0.78452116	0.8829944	0.9387836	0.96348953	0.93438774	0.76954114	0.5134212	0.9364673	0.89558244	0.58456606	0.8148577	0.6802502	0.550686	0.9232137	0.8288876	0.8244581	0.56944275	0.61471987	0.6932979	0.88123846	0.7760285	0.8516282	0.91000783	0.693753	0.89797175	0.96552926	0.90929896	0.9618291	0.8265228	0.7622425	0.8299982	0.5627123	0.53856266	0.74773586	0.7366854	0.74226975	0.757732	0.6790031	0.9258442	0.8513923	0.61001295	0.88278836	0.5968053	0.79065526	0.718546	0.50202817	0.9748679	0.8595626	0.8829989	0.5931071	0.71534705	0.956685	0.580449	0.91438067	0.7601052	0.6003567	0.8939791	0.78121305	0.87515867	0.85818183	0.8182733	0.64196944	0.7942276	0.8659233	0.9292953	0.96034175	0.7773033	0.9156007	0.72115076	0.7382761	0.92289376	0.92978597	0.58694255	0.73071253	0.77551144	0.7189586	0.94359994	0.8556435	0.7571709	0.9289706	0.95455503	0.86669403	0.7038443	0.8325189	0.7072251	0.70643693	0.8132588	0.674167	0.9459839	0.6828432	0.7272959	0.68660986	0.87789667	0.846234	0.6345606	0.7794348	0.9442496	0.9334427	0.77979577	0.63520616	0.9226867	0.6821177	0.7090706	0.568148	0.48540115	0.8151695	0.8748138	0.93919075	0.8025886	0.9008153	0.82315946	0.5764463	0.973561	0.89565325	0.8535531	0.6687435	0.92143214	0.76120317	0.96472573	0.6258415	0.8846862	0.8974702	0.6014799	0.68374515	0.77324235	0.54698557	0.85754657	0.88973564	0.970654	0.78023016	0.59904975	0.8884175	0.6116501	0.73017454	0.8299064	0.914364	0.9483722	0.7031107	0.66977346	0.57516277	0.795972	0.97140026	0.7634381	0.89463794	0.95554435	0.8051371	0.6379578	0.91655546
Fortuyn/name	0.8980988	0.7795048	0.8558673	0.75889516	0.5900397	0.970433	0.96955204	0.838228	0.83133674	0.0	0.7514703	0.8281473	0.7562652	0.9091134	0.7760776	0.91638315	0.77390605	0.93784755	1.0	0.8151053	0.83180815	0.92918736	0.76064116	0.89899856	0.86798996	0.77226996	0.8789999	0.8369107	0.9403599	0.7783161	0.8414963	0.8710578	0.88434577	0.67640066	0.8446457	0.8048262	0.8729112	0.8940542	0.5735318	0.82210934	0.6466299	0.8104808	0.7517667	0.8470701	0.98432785	0.7934498	0.8437629	0.8150519	0.66589975	0.86642015	0.78848195	0.85303843	0.93209875	0.8247978	0.9027998	0.8621262	0.741525	0.86623716	0.60667235	0.89248204	0.82013035	0.8548135	0.8056989	0.8806135	0.7785302	0.72331107	0.9089507	0.797956	0.8428362	0.84111834	0.7357137	0.8047649	0.8294667	0.8624021	0.80521035	0.8747664	0.85592574	0.8557279	0.67646307	0.7074243	0.77778393	0.7999676	0.8497029	0.8280749	0.7971841	0.84899664	0.89323103	0.86126673	0.930532	0.8581553	0.8875334	0.83903825	0.78219205	0.8610249	0.74871373	0.5921421	0.73746896	0.7256385	0.9009505	0.7255842	0.72367144	0.82769656	0.8112541	0.70223135	0.76511794	0.93820703	0.91242087	0.8150974	0.8189541	0.8420802	0.83505595	0.8404426	0.7995753	0.86996144	0.84691703	0.5644294	0.8819172	0.663718	0.82915527	0.9193034	0.8623713	0.85656595	0.9942949	0.6156099	0.8362372	0.92440504	0.92715347	0.8564335	0.69446784	0.9208593	0.89943707	0.6632285	0.90895414	0.91273487	0.9656391	0.84135854	0.61141145	0.97063035	0.8046623	0.5954573	0.6628909	0.74508137	0.8447859	0.78580284	0.66148865	0.8535721	0.82798475	0.71838963	0.8893056	0.8412601	0.85292864	0.8772912	0.7992982	0.8387117	0.7862954	0.8560889	0.7814561	0.8239592	0.7872074	0.8107928	0.8748117	0.8319655	0.81287897	0.9046382	0.8366623	0.86744666	0.6568644	0.73487204	0.9395717	0.8256093	0.6694565	0.717951	0.8550887
Groen/name	0.84939694	0.7789277	0.891251	0.7627952	0.6058058	0.98267543	0.83104646	0.7939824	0.7464009	0.7514703	0.0	0.8354137	0.8209132	0.91662574	0.72822446	0.9666901	0.81868297	0.96536803	0.9886156	0.81814355	0.78953487	0.8235245	0.57270896	0.89640033	0.852463	0.92929745	0.92896974	0.927402	0.92346	0.8987971	0.9384562	0.8913353	0.8922192	0.9175229	0.69876945	0.7903997	0.7758912	0.7640597	0.9776367	0.9331707	0.778172	0.7024258	0.6928521	0.87036836	0.97522974	0.66408694	0.8789309	0.8869397	0.85149586	0.7158133	0.8448106	0.9375548	0.969029	0.8961495	0.7436854	0.8389735	0.8096088	0.85657763	0.7966907	0.9251285	0.82721174	0.9114159	0.8096424	0.82804847	0.8931593	0.8025716	0.92012286	0.7555103	0.9188533	0.87277114	0.7041352	0.94663155	0.88851446	0.88522017	0.6806197	0.85933095	0.9831776	0.85949	0.77658373	0.84732884	0.80900216	0.6039777	0.9318559	0.8732879	0.78182197	0.7398629	0.87840027	0.89014286	0.8900664	0.95908797	0.888465	0.9123597	0.8814014	0.8151471	0.481089	0.8432696	0.8886763	0.51604986	0.8687229	0.80540806	0.80577743	0.90498304	0.7773959	0.72748625	0.8508887	0.9336011	0.91191465	0.7977227	0.9054717	0.8219093	0.9024142	0.824694	0.69887936	0.9250685	0.86389804	0.7062806	0.7948866	0.7790139	0.9140134	0.7931058	0.7570123	0.8356959	0.9851045	0.74758184	0.9193641	0.9735217	0.9068777	0.7852161	0.66989744	0.85759187	0.9515948	0.8820759	0.928197	0.92093086	0.9440156	0.86253715	0.72628474	0.77761483	0.88260436	0.69702727	0.6462425	0.7162738	0.7116767	0.8243543	0.7707013	0.8503594	0.8880972	0.75135064	0.85646427	0.8999845	0.86353177	0.8711487	0.8302517	0.97201926	0.7823988	0.89842886	0.6866232	0.8805992	0.8522958	0.9146007	0.7904104	0.83986235	0.8580264	0.84545857	0.82336533	0.91797805	0.8589064	0.74763405	0.9862816	0.88718516	0.74761915	0.8815657	0.7275373
Hof/name	0.86330616	0.7531278	0.9195423	0.8264342	0.6903684	0.9405252	0.74857855	0.25418365	0.32007676	0.8281473	0.8354137	0.0	0.28667283	0.87789613	0.6743798	0.9393219	0.81856537	0.96694344	0.54825705	0.7785894	0.8177131	0.8682238	0.84071046	0.92137384	0.6659572	0.8664658	0.89632463	0.9566336	0.96774966	0.95076495	0.6995928	0.32151538	0.85359395	0.9192242	0.65995383	0.77411985	0.65475786	0.6131568	0.9040514	0.68717384	0.7789858	0.59340656	0.7700056	0.7279817	0.9177221	0.90468967	0.90165347	0.9348476	0.6380274	0.87798035	0.94212174	0.8995201	0.9536216	0.7659187	0.76210403	0.8044239	0.47085446	0.52235883	0.78737366	0.6737503	0.69642293	0.617588	0.64606583	0.906901	0.91184455	0.6182109	0.8814212	0.6439751	0.6578882	0.7182731	0.57007885	0.93569505	0.83330804	0.83259517	0.50300384	0.73665094	0.9388885	0.46665007	0.85521775	0.7615223	0.3186744	0.8847343	0.7351254	0.86935127	0.92219865	0.85182106	0.7388811	0.86324143	0.6684917	0.90849	0.9255741	0.74052763	0.9484127	0.75765383	0.8345868	0.7661639	0.93720573	0.696499	0.8130168	0.73664045	0.6742241	0.9184103	0.9163254	0.78866076	0.9182409	0.9127855	0.84353065	0.74057543	0.83171487	0.6961731	0.7926144	0.6698179	0.780512	0.959466	0.56086165	0.75551206	0.8001087	0.8503211	0.71925056	0.674605	0.86066276	0.93643564	0.7328419	0.75517356	0.4034443	0.8836826	0.7437649	0.75342953	0.6150813	0.58721244	0.8443341	0.85412705	0.9431446	0.8159058	0.915911	0.8376781	0.6076596	0.98607916	0.9437004	0.821354	0.5792484	0.8207104	0.84878623	0.87704337	0.5801911	0.94905543	0.867792	0.40006793	0.63171077	0.765262	0.50771284	0.7253952	0.91229117	0.95934683	0.83352876	0.41853374	0.87905383	0.3972972	0.7092442	0.7815521	0.88690174	0.9686811	0.6353253	0.63058627	0.6088787	0.6964128	0.931316	0.84541917	0.9091924	0.9142027	0.79211175	0.6233183	0.92017496
