	Chantal/name	Esther/name	Hitler/name	Jim/name	Kim/name	Madonna/name	Mulisch/name	Nottingham/name	Unilever/name	Victor/name	Waal/noun	Wauters/name	aanmerkelijk/adj	agressief/adj	ambtenaar/noun	bas_lijn/noun	bedrieger/noun	been/noun	beetje/noun	bespreking/noun	bijzonder/adj	blessure/noun	blok/noun	bluesy/noun	broodje/noun	brutaal/adj	buitenlander/noun	campagne/noun	cd-rom/noun	chagrijnig/adj	charmant/adj	chef/noun	collega/noun	complot/noun	criticus/noun	daad/noun	dat/comp	dat/det	deler/noun	dijk/noun	ding/noun	ding_DIM/noun	door/adv	doortrapt/adj	drempel/noun	duel/noun	echt/adj	egoïstisch/adj	elleboog/noun	elleboog_stoot/noun	ernstig/adj	fantasie/noun	fel/adj	fout/noun	gedurfd/adj	genoeg/adv	gevoel/noun	glimlach/noun	god/noun	goedkoop/adj	grimas/noun	grond/noun	groot/adj	gruwelijk/adj	guitig/adj	haai/noun	hard/adj	heel/adj	heel/adv	helling/noun	hem/pron	hij/pron	hoe/adj	hoofdpersoon/noun	humor/noun	iets/adv	ik/pron	in_borst/noun	inslag/noun	inzicht/noun	jaloers/adj	jood/noun	kanker/noun	kindervriend/noun	klank/noun	kop/noun	kop_stoot/noun	kwasi/adj	laag/adj	lek/noun	lief/noun	loer/noun	lot/noun	machine/noun	man/noun	manier/noun	me/pron	mens/noun	met/prep	min/adj	monarchie/noun	naar/adj	nicht_DIM/noun	nogal/adv	of/vg	on_gefundeerd/adj	onbetrouwbaar/adj	ondertoon/noun	ondoorzichtig/adj	onjuist/adj	ontzettend/adj	onwaar/adj	oog_DIM/noun	ook/adv	opmerking/noun	overtreding/noun	overval/noun	overvloed/noun	paal_DIM/noun	partner/noun	pleeg_ouder/noun	portret/noun	producent/noun	racist/noun	rap/adj	rauw/adj	reactie/noun	recht/noun	reis_bureau/noun	respect_loos/adj	rivale/noun	ronduit/adv	rotzooi/noun	schilderij/noun	schrijnend/adj	schuiver/noun	schurk/noun	senior/noun	sheriff/noun	slecht/adj	slinks/adj	sluw/adj	smaak/noun	smerig/adj	soort/noun	spectaculair/adj	spel/noun	spel_DIM/noun	sport_wagen/noun	sprookje/noun	spul/noun	stad_genoot/noun	stekelig/adj	stem/noun	stier/noun	streek/noun	stroper/noun	syfilis/noun	tackle/noun	tand_DIM/noun	tand_arts/noun	tante/noun	tegenstander/noun	tovenaar/noun	trap/noun	uiterst/adj	vaak/adj	val/noun	val_partij/noun	veel/adj	veelvoud/noun	vernedering/noun	vijandig/adj	virus/noun	voetballer/noun	volk/noun	volwassene/noun	vraag/noun	waarin/pp	wantrouwend/adj	wat/adv	wat/pron	weide/noun	wel/adv	windstoot/noun	woestijn/noun	zaak/noun	ze/pron	ziektekiem/noun	zielig/adj	zo/adv
Chantal/name	0.0	0.48136497	0.9325919	0.93737775	0.6663544	0.72353494	0.88580906	0.9970622	0.91178876	0.82619953	0.9911833	0.6844195	0.9703839	0.8727044	0.95912796	0.9253262	0.9390926	0.96142334	0.8237993	0.798002	0.89896554	0.8998498	0.993531	0.9560664	0.94371945	0.8021132	0.9508067	0.9350859	0.9690777	0.8704221	0.86115235	0.84202504	0.64342964	0.9197627	0.8800597	0.8671095	0.9308573	0.90129286	0.99269915	0.981087	0.7936139	0.63227105	0.94082594	0.9145234	0.96654445	0.9551172	0.91127706	0.930648	0.9417926	0.9661895	0.9559398	0.7257977	0.9438776	0.93644583	0.69556445	0.9378503	0.9256355	0.88073623	0.8955403	0.8892281	0.9267221	0.9952029	0.97553337	0.74555314	0.9289338	0.91318375	0.9289938	0.8508193	0.90619946	0.98201245	0.9075473	0.8651084	0.879806	0.7571373	0.8071283	0.88214225	0.84741676	0.9593958	0.9202947	0.83730066	0.6710577	0.8917508	0.84060234	0.928857	0.93079853	0.9592077	0.97826946	0.94465363	0.9899879	0.999984	0.83885014	0.9513539	0.8104687	0.93658656	0.8099226	0.87732756	0.85778654	0.8337433	0.8322716	0.9188274	0.915769	0.81288683	0.7287574	0.8717342	0.86470973	0.9759637	0.9250761	0.9265336	0.92960745	0.9890258	0.84541976	0.84577304	0.8840138	0.9340096	0.8579421	0.9875832	0.76509875	0.92687994	0.99176323	0.8064063	0.9340457	0.7863549	0.983808	0.95391077	0.966579	0.81784225	0.8958389	0.9757556	0.9436337	0.9624589	0.8589266	0.90743005	0.9437003	0.76814085	0.8234494	0.966459	0.8917467	0.8441491	0.9940677	0.97874045	0.97327363	0.93593043	0.9283828	0.9204071	0.8313751	0.8907927	0.8666422	0.9543867	0.9009859	0.74232674	0.73636484	0.9207814	0.85486996	0.8917696	0.99551576	0.9844555	0.9610934	0.91544366	0.99335474	0.9700273	0.9428322	0.73840296	0.98922706	0.9270461	0.970826	0.8966696	0.8287224	0.96290964	0.9128354	0.88096434	0.94155186	0.8981392	0.88824266	0.96689475	0.9416952	0.9066253	0.8584596	0.9761795	0.85091364	0.9565462	0.86970186	0.91841984	0.9740476	0.8374486	0.9823881	0.93578523	0.9560833	0.8332185	1.0	0.9118462	0.8725372
Esther/name	0.48136497	0.0	0.81343955	0.85274774	0.56952596	0.48766118	0.83356416	0.9970574	0.7981967	0.73934734	0.9776865	0.8696146	0.9756795	0.90726477	0.99109507	0.91186285	0.9539231	0.98164046	0.9217748	0.9298857	0.90590274	0.92988926	0.99018484	0.95773584	0.94346726	0.8763173	0.9816662	0.9533746	0.9652982	0.877066	0.8758003	0.94058967	0.7819007	0.91666126	0.8803503	0.9117071	0.9383004	0.9604795	0.95417386	0.99873424	0.9799132	0.8553752	0.93829745	0.84249747	0.98103505	0.94180167	0.9086054	0.919764	0.95643836	0.9969873	0.96702015	0.8497666	0.949777	0.986292	0.8304485	0.91760415	0.8864069	0.92342395	0.9418733	0.95530564	0.93520343	0.9936832	0.96771103	0.8420694	0.93997854	0.975214	0.93314147	0.9550908	0.96005565	0.9944061	0.9015094	0.93076336	0.90558296	0.7181058	0.89171094	0.9405276	0.9239925	0.7703339	0.9607552	0.84123373	0.6833304	0.91958445	0.8771418	0.9948784	0.96329916	0.9618739	0.9710798	0.9583379	0.9745298	0.94069916	0.8468685	0.98826575	0.8174481	0.994991	0.82129246	0.9053493	0.90995926	0.8969279	0.8533007	0.9312103	0.98954076	0.85190237	0.5565616	0.90090615	0.8354774	0.9850326	0.9260246	0.8275807	0.8870374	0.97027916	0.8689685	0.83029497	0.8877915	0.9171682	0.91320646	0.99855745	0.90111285	0.8493053	0.96372014	0.8967789	0.9792845	0.5999612	0.94482243	0.93780524	0.9534447	0.88676685	0.9011178	0.9885232	1.0	0.92390937	0.8578317	0.90890867	0.9621809	0.55097586	0.70266587	0.9976966	0.89562166	0.9183563	0.9974769	0.9757973	0.8752855	0.93696576	0.9563552	0.9510128	0.9564949	0.950568	0.9414184	0.9538173	0.95954907	0.8087046	0.79828006	0.90372837	0.928623	0.93148774	0.7986602	0.9714523	0.9793493	0.99420923	0.97803867	0.96726346	0.8710711	0.5265723	0.9840646	0.93416095	0.99940026	0.855527	0.8983815	0.9916279	0.9758958	0.9304507	0.95344025	0.9433343	0.9150674	0.9569417	0.92295724	0.9875972	0.9177343	0.99499995	0.8075081	0.8881853	0.94448876	0.9692243	0.9652174	0.9406947	0.978593	0.9716277	0.9529815	0.85771555	0.99557275	0.918764	0.94473034
Hitler/name	0.9325919	0.81343955	0.0	0.8777712	0.8912209	0.821638	0.5609325	0.9986342	0.9885627	0.70779836	0.8782288	0.9428887	0.90966874	0.79900885	0.904982	0.90338326	0.76364535	0.9633404	0.8722869	0.8452555	0.85716254	0.9736812	0.9392581	0.9382484	0.94624704	0.7792182	0.76060504	0.7833332	0.89091694	0.8789026	0.7676933	0.8346601	0.8027179	0.6182475	0.6743429	0.7784941	0.7535099	0.9296232	0.9284076	0.97895217	0.90290606	0.984037	0.8655959	0.75574857	0.9168865	0.9310879	0.71337914	0.8569002	0.93819636	0.9368068	0.93135244	0.7984351	0.8878772	0.95487916	0.8812039	0.90355825	0.90625215	0.77663225	0.71162504	0.93130887	0.88955885	0.9485207	0.762573	0.6999339	0.7503967	0.9411752	0.92162156	0.89203686	0.9100331	0.9644935	0.6857996	0.63409686	0.80450654	0.5487743	0.8737313	0.9107379	0.88186467	0.8647194	0.9359993	0.8877841	0.76424116	0.4240026	0.7998487	0.78464556	0.88001513	0.8409233	0.9261424	0.8456214	0.9500624	0.93335223	0.8775246	0.9060802	0.7291565	0.89678234	0.59155226	0.8925108	0.8920974	0.8237381	0.8184805	0.91412497	0.84626526	0.8952779	0.8792645	0.81384766	0.69258994	0.9922088	0.81314325	0.85161394	0.901006	0.8460169	0.89587486	0.9091027	0.7393158	0.834131	0.79516405	0.9417742	0.94523704	0.92318046	0.94024086	0.8228341	0.9464586	0.5942162	0.8743167	0.65678227	0.8958088	0.7487776	0.9008311	0.76817214	0.96363276	0.8250585	0.8784375	0.75176734	0.94217086	0.7430968	0.82312495	0.9927672	0.7823969	0.95275706	0.8638693	0.9327177	0.8980181	0.81627387	0.8860899	0.7185624	0.8572339	0.87905633	0.8733848	0.84711146	0.82675207	0.8557983	0.89501405	0.9734781	0.9233444	0.8247176	0.85348	0.7563238	0.9543417	0.7556504	0.9307009	0.97608835	0.8443868	0.8644732	0.8670863	0.7529937	0.94085336	0.74154174	0.8298843	0.91173255	0.96159166	0.9146992	0.7676059	0.7325389	0.8141423	0.9383828	0.8830207	0.65892625	0.81636524	0.921928	0.6187674	0.8301479	0.90769666	0.87908006	0.9699483	0.9188386	0.95093846	0.75509447	0.93128043	0.8224972	0.97430867	0.8569537	0.8605616
Jim/name	0.93737775	0.85274774	0.8777712	0.0	0.7896146	0.6525558	0.87761813	0.64079577	0.9167336	0.7767932	0.986231	0.944805	0.97675633	0.85403454	0.9793	0.95943713	0.8655111	0.96888536	0.93025476	0.9711204	0.8499144	0.98282194	0.9621533	0.95635986	0.9741402	0.87979174	0.9530879	0.96471107	0.9624327	0.95363516	0.7837516	0.95896953	0.83601224	0.9635021	0.939106	0.9335821	0.972941	0.9985689	0.99094933	0.93861055	0.9909458	0.9808751	0.84844065	0.62657624	0.97816896	0.88124245	0.80774283	0.95654476	0.99253446	0.9906499	0.92658657	0.89530474	0.9893575	0.8939872	0.93517613	0.98318815	0.91856885	0.89111185	0.91003954	0.9128836	0.9763494	0.9788768	0.8928352	0.9129644	0.90560824	0.7507235	0.9241487	0.92603564	0.9392832	0.999998	0.7932366	0.8200698	0.95715916	0.74247825	0.91102594	0.9150196	0.9968542	0.7374407	0.94884247	0.93672323	0.8941644	0.9424831	0.9149634	0.9758001	0.94062424	0.9161613	0.90050405	0.9541157	0.9795568	0.97739017	0.9340185	0.96695757	0.8374343	0.9139494	0.760587	0.9440529	0.98761344	0.9105336	0.825377	0.9420148	0.9899903	0.97186035	0.91138685	0.9155252	0.8924276	0.9841604	0.8500383	0.9225425	0.9372311	0.98682195	0.94673455	0.8866626	0.96518105	0.92189175	0.9519798	1.0	0.9768999	0.88888204	0.9723736	0.9730304	0.9911894	0.78178096	0.8202103	0.9647376	0.7592422	0.93581784	0.9347787	0.97074944	0.9998892	0.9576713	0.93084466	0.94679046	0.98974794	0.78241014	0.924674	0.8809588	0.5829824	0.84233606	0.5412862	0.85771847	0.98604393	0.88418126	0.9390991	0.96735555	0.8670917	0.8430426	0.85017735	0.9281352	0.93758476	0.87285924	0.99469656	0.9190337	0.90691394	0.8197913	0.64451206	0.90203136	0.9805039	0.8888183	0.9895903	0.9958495	0.91764855	0.95320594	0.8904381	0.8213362	0.94391507	0.8179237	0.9500572	0.9635368	0.9964032	0.96583545	0.97131497	0.93818367	0.98040843	0.97970325	0.96862006	0.85548216	0.8170291	0.9864582	0.65652484	0.9733549	0.90778357	0.9956409	0.8429424	0.9317233	0.985186	0.84868336	0.92789006	0.95314395	0.98320746	0.93789846	0.9223301
Kim/name	0.6663544	0.56952596	0.8912209	0.7896146	0.0	0.76703227	0.8992497	0.991884	0.8943831	0.6497949	0.89145064	0.76577795	0.9750815	0.89320076	0.9149331	0.8170613	0.87788385	0.9450688	0.9079154	0.9838597	0.8210013	0.75112444	0.95969945	0.9994959	0.9575763	0.8938722	0.8905593	0.8490236	0.9820759	0.98121196	0.70416343	0.9109998	0.7730506	0.88272	0.93781286	0.9231445	0.98150563	0.9789066	0.99999654	0.9667467	0.9755932	0.947718	0.9535429	0.7163305	0.9781375	0.74685144	0.89471066	0.8774768	0.8835008	0.88184077	0.9235525	0.9294365	0.86964256	0.9661535	0.9452516	0.7730044	0.9861832	0.83885413	0.9328624	0.9758917	0.97125655	0.99793077	0.8988104	0.82464826	0.88989735	0.9631232	0.90178907	0.8456415	0.8614073	0.9533236	0.7935282	0.8168732	0.8834555	0.7210586	0.9294457	0.9064014	0.91037947	0.90507007	0.9312698	0.8715317	0.79256487	0.96497375	0.9351669	0.9855227	0.98264736	0.9026067	0.8810632	0.7957077	0.97186244	0.9450183	0.70249146	0.77773494	0.85227096	0.96732473	0.7301345	0.86236894	0.9194658	0.975712	0.76073205	0.896945	0.94739753	0.8710339	0.70293224	0.8790083	0.84371	0.999932	0.86785287	0.98842955	0.938308	0.96206796	0.7765293	0.91931415	0.7693727	0.93268245	0.9159396	0.9605518	0.96833396	0.92374724	0.9767012	0.897381	0.9990297	0.71749544	0.9481296	0.99260384	0.65917665	0.9323442	0.9608599	0.9892351	0.9988117	0.97099644	0.7353151	0.9531917	0.96640795	0.832114	0.8931027	0.8057697	0.70445883	0.74209654	0.9139557	0.9582453	0.73129284	0.840697	0.939342	0.8751604	0.9113824	0.91195774	0.7968674	0.8218611	0.99944955	0.7851361	0.91114265	0.62704533	0.9360626	0.85186374	0.8152379	0.83807397	1.0	0.9992719	0.9166062	0.75446105	0.82536304	0.7160141	0.85413885	0.8411134	0.8662128	0.7272521	0.9146837	0.8999026	0.89773846	0.91561705	0.8950911	0.8558495	0.9476415	0.9570611	0.82262963	0.97068435	0.8580614	0.99312454	0.8534347	0.96555966	0.92149335	0.9929003	0.9704257	0.9451931	0.99890804	0.8857611	0.98593843	0.9024508	0.9995308	0.95001733	0.8655524
Madonna/name	0.72353494	0.48766118	0.821638	0.6525558	0.76703227	0.0	0.7635634	0.99819815	0.88392186	0.621009	0.92617524	0.96951514	0.92499006	0.8012177	0.82536596	0.9380933	0.93794906	0.9548553	0.82235396	0.9228712	0.82241195	0.961529	0.9660951	0.91248065	0.86088866	0.8256056	0.92593557	0.9268967	0.94188493	0.86512077	0.7887615	0.96478844	0.7534409	0.76125324	0.83646417	0.87601626	0.8593201	0.8829338	0.90522367	0.90188056	0.8743377	0.9357129	0.8604408	0.7170184	0.9598597	0.91822445	0.8415973	0.89020145	0.9461893	0.98748755	0.9391552	0.7329996	0.90625566	0.8995423	0.8506656	0.8440362	0.9058103	0.8838951	0.8287916	0.95963067	0.82872796	0.94872314	0.9522588	0.8491705	0.83388376	0.92509025	0.91246676	0.9248152	0.9377038	0.9547654	0.8929777	0.80889446	0.8589621	0.7771707	0.859814	0.85714316	0.88654894	0.6909672	0.943274	0.92773813	0.700484	0.87089366	0.85603815	0.92878395	0.90584177	0.8733256	0.9087212	0.954664	0.9755681	0.8704109	0.85551924	0.96682924	0.7625178	0.97452337	0.755791	0.8026929	0.9272652	0.84533066	0.8293115	0.8574489	0.979779	0.92689025	0.81278056	0.88337755	0.755875	0.9895222	0.7878962	0.85003394	0.9453732	0.8652611	0.8862263	0.76460123	0.8523441	0.88507104	0.8096583	0.92983955	0.77541935	0.8775524	0.97813165	0.82635945	0.988392	0.54362506	0.8144223	0.9112114	0.86130714	0.8433504	0.8000312	0.97107065	0.9660718	0.90891266	0.8310587	0.83259976	0.8802495	0.43069404	0.8221737	0.84759676	0.6661953	0.9473892	0.8267051	0.7893743	0.91254324	0.8110337	0.9485553	0.91779965	0.8885168	0.9237876	0.7804085	0.83781666	0.86528766	0.830957	0.87851965	0.9431104	0.90399987	0.83247596	0.709275	0.97604865	0.9761872	0.96445394	0.95443255	0.93995494	0.9810217	0.71695983	0.90031415	0.9287133	0.93381083	0.7090925	0.87492526	0.93462026	0.959626	0.89760244	0.87882125	0.93501884	0.8876657	0.94027203	0.9297621	0.86755425	0.8334293	0.94662166	0.76750576	0.9206981	0.8109932	0.8450465	0.83136624	0.8831276	0.9012656	0.92647684	0.9499992	0.78395003	0.977106	0.87381554	0.7930674
Mulisch/name	0.88580906	0.83356416	0.5609325	0.87761813	0.8992497	0.7635634	0.0	0.9644727	0.9887035	0.5802239	0.9655541	0.92471534	0.94395137	0.9076563	0.9093654	0.9809957	0.96135557	0.95551044	0.8065453	0.7671742	0.87772536	0.99301	0.85802096	0.93464476	0.9062202	0.8603665	0.9261718	0.97643787	0.932933	0.83560497	0.81197464	0.8361399	0.807737	0.8465525	0.7247349	0.8421874	0.8141748	0.94127434	0.9690024	0.95507777	0.95810175	0.9421956	0.86851937	0.9054252	0.91836447	0.9728557	0.75702107	0.94547087	0.93111926	0.98526067	0.95054907	0.5849433	0.902666	0.9719903	0.7344586	0.96524924	0.7780909	0.88614064	0.76378596	0.9089401	0.9625412	0.96107924	0.9057748	0.8292612	0.8632699	0.9678761	0.9340598	0.9414407	0.9571331	0.9822261	0.81584257	0.80601823	0.8697536	0.52262115	0.80362886	0.9115636	0.91792536	0.9463572	0.9316541	0.9091891	0.76016885	0.703972	0.9717041	0.873581	0.8364886	0.93016225	0.98279417	0.96615946	0.9304303	0.945282	0.8805027	0.9862226	0.8205748	0.9694524	0.83603954	0.9518874	0.9182	0.8945851	0.77620214	0.93977195	0.9612892	0.87657493	0.95350575	0.83643013	0.73557067	0.86771274	0.8377986	0.8247287	0.8804151	0.8467911	0.9154157	0.72125095	0.93403774	0.9033188	0.8049382	0.98833233	0.9745829	0.8700054	0.9440814	0.92370063	0.97442406	0.67343557	0.8938732	0.8379128	0.9705039	0.86303085	0.89277744	0.9714922	0.96633154	0.9051135	0.90068823	0.9091203	0.9676155	0.75605106	0.7812721	0.9237791	0.76164436	0.9753763	0.98394483	0.8984603	0.95478874	0.9804393	0.92059636	0.89530194	0.83103603	0.96059716	0.8553416	0.91040695	0.53734803	0.77309763	0.93123007	0.968424	0.86906123	0.9416312	0.9480301	0.9211688	0.9930341	0.8529185	0.9927098	0.97827315	0.95254004	0.9267758	0.95326275	0.56314087	0.9165955	0.85967183	0.89166534	0.8333248	0.9741453	0.88914794	0.8738342	0.78173554	0.8804619	0.97160167	0.8967098	0.8482558	0.9007228	0.8831225	0.6705975	0.91145927	0.9291116	0.8468018	0.9500521	0.9076517	0.99867207	0.6021911	0.9567755	0.9140389	0.9814518	0.8218491	0.93126786
Nottingham/name	0.9970622	0.9970574	0.9986342	0.64079577	0.991884	0.99819815	0.9644727	0.0	0.9926938	0.98578936	0.99745613	0.99924195	0.9751479	0.97902495	0.9307192	0.9990518	0.997504	0.9745674	0.99938846	0.9872724	0.9801352	0.98305154	0.99873763	0.9984922	0.9819008	0.99278075	0.99832255	0.9990113	0.9985662	0.9865815	0.98375195	0.99136806	0.9363277	0.99901223	0.9951382	0.98499256	0.9360413	0.9241279	0.994988	0.9677338	0.98439413	0.9921255	0.8492726	0.7909835	0.9762675	0.81887627	0.96800023	0.9939949	0.97246885	0.94429886	0.96182585	0.997813	0.97745425	0.8456141	0.9796047	0.998399	0.99552286	0.9966099	0.9831352	0.9342381	0.996632	0.9325958	0.9968199	0.9973728	0.99692607	0.7930908	0.8858575	0.93838716	0.9947461	0.951501	0.870561	0.9339926	0.9960837	0.9985492	0.99779004	0.97832435	0.9996042	0.9916417	0.99586904	0.99692196	0.98952883	0.97022307	0.9894336	0.99232167	0.99720955	0.9558929	0.94956493	0.99111205	0.9813307	0.94179046	0.9985812	0.995201	0.9988802	0.9992152	0.9674625	0.9935875	0.9962232	0.99550396	0.95331764	0.9486853	0.9986399	0.98449135	0.9975705	0.95718455	0.9382022	0.85936624	0.8020474	0.9934782	0.94295454	0.71913147	0.9986746	0.90907085	0.9990211	0.96726644	0.9399719	0.96794295	0.9950749	0.99686205	0.9991187	0.9978928	0.9995099	0.9789555	1.0	0.9971662	0.9754483	0.99664754	0.9714325	0.9994702	0.9419987	0.9942337	0.9828655	0.977337	0.9998042	0.99818563	0.9706209	0.99717027	0.8299269	0.9958888	0.37120026	0.98841107	0.976446	0.98587084	0.99307644	0.99323744	0.998882	0.85014606	0.99342966	0.9985824	0.99705166	0.9999566	0.99698186	0.9571545	0.9908295	0.97109646	0.9775264	0.9983563	0.99999386	0.991222	0.9776338	0.9896041	0.964666	0.9997699	0.8769385	0.9953002	0.80188483	0.99433905	0.96792525	0.93951774	0.9775662	0.97886705	1.0	0.9970497	0.9768426	0.9993498	0.9911122	0.9992672	0.87318754	0.99578065	0.8243199	0.9951433	0.98559123	0.9766943	1.0	0.99524254	0.9903299	1.0	0.80912614	0.99827456	0.99670047	0.9883051	0.9812467
Unilever/name	0.91178876	0.7981967	0.9885627	0.9167336	0.8943831	0.88392186	0.9887035	0.9926938	0.0	1.0	0.83719194	0.99126	0.76809275	0.87971103	0.95627826	0.9936917	0.971468	0.98463756	0.9631546	0.9048028	0.9115764	0.97795	0.8537706	0.98401177	0.9329735	0.9561868	0.7788886	0.93104947	0.94309574	0.95137167	0.9687525	0.9740964	0.85118216	0.9377558	0.85090905	0.8420311	0.93513477	0.9424669	0.83690643	0.97846824	0.9675321	0.9766723	0.86760306	0.92788947	0.9067824	0.88945	0.9515071	0.89659375	0.99279594	0.95628554	0.97617817	0.9437091	0.92043537	0.950752	0.87285876	0.927528	0.9082352	0.931806	0.93163407	0.78506106	0.9982871	0.94470793	0.70154554	0.9542358	0.9867594	0.94273126	0.9001878	0.95538616	0.95360297	0.86869746	0.9417088	0.9634225	0.95038635	0.94454235	0.95929664	0.7968367	0.94639224	0.9704628	0.93082374	0.9314095	0.8192011	0.9424921	0.9622883	0.9432028	0.9835655	0.9795479	0.93297166	0.9976884	0.8295435	0.92313266	0.97602993	0.87564707	0.98971796	0.74084413	0.97647744	0.95381355	0.9738245	0.941303	0.9485942	0.75739384	0.9837877	0.95953006	0.94290185	0.9320731	0.9263794	0.9696314	0.91983294	0.97851783	0.9087393	0.9508442	0.940919	0.96308887	0.8893951	0.87819517	0.9290502	0.9565368	0.89701164	0.88061106	0.98944896	0.94319695	0.98989207	0.9669273	0.60790575	0.9941194	0.97937214	0.95399106	0.8192139	0.9361182	0.83716077	0.9919697	0.731972	0.8181047	0.9257417	0.92488515	0.9074325	0.890633	0.95602685	0.97927666	0.9806189	0.9266436	0.9279866	0.92983884	0.93576205	0.96595156	0.9863257	0.82902163	0.9468258	0.8770788	0.89778435	0.9777245	0.90871483	0.69881904	0.95904815	0.9149873	0.9463002	0.96634686	0.9870158	0.86072654	0.93897307	0.70371974	0.93169194	0.9504357	0.90680987	0.9840209	0.9640483	0.8633747	0.89126074	0.92756873	0.95808434	0.87887394	0.9999981	0.82859427	0.6965201	0.93799585	0.92763555	0.95425725	0.97910273	0.9760406	0.9528777	0.8128657	0.8984833	0.9598133	0.9577035	0.90644026	0.9507941	0.8968531	0.9729498	0.93876106	0.9627541	0.9734072	0.8932291
Victor/name	0.82619953	0.73934734	0.70779836	0.7767932	0.6497949	0.621009	0.5802239	0.98578936	1.0	0.0	0.9864243	0.93975323	0.9958758	0.92118007	0.7107346	0.9336874	0.84277546	0.9771881	0.9591029	0.88291043	0.9765213	0.9591254	0.97208196	0.9847887	0.83266497	0.8676835	0.824749	0.9558671	0.95791763	0.92765605	0.7442286	0.8343655	0.80214375	0.81695795	0.8191018	0.8983694	0.8947078	0.9271643	0.9968519	0.9502069	0.99765533	0.9617108	0.86283803	0.5356977	0.98800814	0.95767903	0.8879553	0.9159937	0.9733294	0.97650313	0.93862844	0.8499528	0.9674	0.86887026	0.89941674	0.9048153	0.9693746	0.93473434	0.899951	0.9767898	0.95075256	0.8899779	0.9391121	0.8758788	0.9124334	0.96888345	0.8514046	0.993415	0.9792634	0.9619768	0.91141295	0.8652162	0.88275826	0.59282625	0.9303962	0.85699505	0.98103267	0.89406866	0.9757531	0.9116081	0.8235422	0.84607494	0.9797117	0.99566185	0.96299917	0.9243766	0.952922	0.979669	0.8487756	0.89278686	0.9180731	0.9588385	0.83571637	0.9990623	0.9150726	0.87202466	0.98886794	0.94993794	0.83491874	0.91832894	0.9808884	0.9623838	0.96311855	0.89220923	0.84853995	0.93019104	0.72597736	0.9121282	0.879539	0.848401	0.96265125	0.8494974	0.8564043	0.9640883	0.87199664	0.92864865	0.953802	0.93878657	0.94099903	0.724416	0.9956428	0.5973036	0.86178833	0.89223546	0.8868207	0.94742227	0.9619893	0.9864718	0.99938244	0.868014	0.9365579	0.90108454	0.9890305	0.8381386	0.8846956	0.8537789	0.59601194	0.9299874	0.7016355	0.9151667	0.97808814	0.60814214	0.92950964	0.90070355	0.8936225	0.7972725	0.8176193	0.8578416	0.8957992	0.87509906	0.9649365	0.8920009	0.9251442	0.8946451	0.73926526	0.8929241	0.98896474	1.0	0.9832407	0.95690006	0.8632925	0.76470095	0.93203235	0.731294	0.8900706	0.78731954	0.87832195	0.9402568	0.98571354	0.96556777	0.6803319	0.9137584	0.9259255	0.9715801	0.94284326	0.9707696	0.8411066	0.9233028	0.74683166	0.9500506	0.93693656	0.9071456	0.9375243	0.9678291	1.0	0.9142282	0.9858576	0.90327835	0.9918182	0.91797286	0.89489514
Waal/noun	0.9911833	0.9776865	0.8782288	0.986231	0.89145064	0.92617524	0.9655541	0.99745613	0.83719194	0.9864243	0.0	0.99980646	0.8308568	0.64003277	0.97260547	0.92118096	0.8724488	0.88736504	0.85675555	0.91087073	0.7723695	0.8714999	0.6827001	0.8299763	0.94801474	0.75956094	0.6978803	0.74583995	0.8686736	0.8746972	0.8365989	0.9159881	0.91620183	0.8743289	0.7501941	0.84093374	0.85026866	0.90298045	0.9692967	0.6336679	0.9271519	0.90418184	0.85175735	0.95832723	0.95999527	0.8013956	0.80426407	0.7562401	0.89028895	0.92732394	0.92757225	0.9064872	0.7614456	0.89212537	0.7871129	0.8179784	0.87513	0.8627456	0.9026849	0.8928084	0.8144087	0.9145774	0.8764632	0.8514375	0.8076465	0.9062935	0.8150574	0.8008215	0.83497065	0.7925197	0.8829186	0.84206694	0.8897371	0.9193777	0.8088759	0.8763713	0.8296082	0.8750721	0.6686493	0.8734782	0.8598181	0.8344049	0.8666457	0.94768333	0.7923577	0.9000662	0.9369485	0.6593001	0.8810349	0.7986125	0.6624932	0.8770767	0.9386603	0.8277634	0.8436664	0.8176222	0.88901013	0.9285805	0.8374913	0.8284209	0.6857366	0.92966926	0.9943519	0.8078376	0.74043953	0.98132825	0.88145155	0.816745	0.8373892	0.9475928	0.8524004	0.9443977	0.73027664	0.84539884	0.8665223	0.8998597	0.74296445	0.9332462	0.8946051	0.9179995	0.9812692	0.93689144	0.96994555	0.5566869	0.89242804	0.7774833	0.76918936	0.9481691	0.88317394	0.84997094	0.804639	0.7571046	0.86409867	0.94498414	0.8931945	0.9938373	0.93095315	0.9011333	0.9895483	0.88888377	0.8558308	0.8860616	0.88731825	0.88121	0.8971278	0.8747616	0.75660944	0.7849763	0.8611193	0.8542944	0.8308344	0.7651739	0.90615743	0.8439645	0.9207149	0.9050994	0.9457764	0.94680005	0.8644309	0.71365225	0.92615014	0.92789185	0.6902858	0.95798475	0.9506325	0.8250183	0.78164965	0.8492168	0.89016527	0.754828	0.9708232	0.81769246	0.6990861	0.9065209	0.91515076	0.7661936	0.8864205	0.9216287	0.8725803	0.79833424	0.81854343	0.96245825	0.80920666	0.8885872	0.7728678	0.81148547	0.9698066	0.85349196	0.94534045	0.8609028	0.8682077
