	1-1_gelijkspel/noun	Amerikaan/noun	Republikeins/adj	aanpak/noun	af/adv	alleen/adj	alleen/adv	allemaal/adv	alvast/adv	amateur_club/noun	ander/adj	arm/adj	baan/noun	bedwing/verb	begrijp/verb	bestuur_crisis/noun	bevrijd/verb	boel/noun	boer/noun	bouw/noun	bouw_op/verb	bovendien/adv	broer/noun	bruid/noun	buur/noun	carrière/noun	chauffeur/noun	club/noun	creativiteit/noun	daar/noun	dan/adv	designer/noun	dosis/noun	droog_leg/verb	drugsverslaafd/adj	duizenden/noun	dus/adv	en/adv	er/noun	even/adj	extra/adj	familie/noun	familie_lid/noun	fiets/noun	financier/verb	gang/noun	gedicht_DIM/noun	geld/noun	gelukkig/adj	gemeente_bestuur/noun	gestrand/adj	getroffen/adj	gezond/adj	gezondheidszorg/noun	ginds/adj	god/noun	goed/adj	graag/adj	handjevol/noun	heb/verb	het/noun	hier/adv	huis_bezitter/noun	humanitair/adj	iemand/noun	imago/noun	index/noun	job/noun	jongen/noun	jood/noun	juist/adj	kan/verb	kind/noun	klant/noun	kloof/noun	kom_voor/verb	lamentabele/adj	leer_aan/verb	lezer/noun	maaltijd/noun	maar/adv	maatregel/noun	mag/verb	man/noun	manier/noun	meen/verb	meer/adv	meisje/noun	meneer/noun	mens/noun	mentaliteit/noun	misschien/adv	moet/verb	natuurlijk/adj	niet/adv	niets/noun	niks/noun	nodig/adj	om/adj	ondersteun/verb	onmiddellijk/adj	ons/noun	oog_arts/noun	ook/adv	op/adj	opbouw/noun	organiseer/verb	ouder/noun	overkill/noun	overwinning/noun	partner/noun	passend/adj	persoon/noun	president/noun	probeer/verb	probleem/noun	proces/noun	professional/noun	red/verb	slachtoffer/noun	snel/adj	sociaal/adj	soms/adv	specialist/noun	spoor_op/verb	stap/noun	steun/verb	straf/noun	strijd/noun	structureer/verb	systeem/noun	taal/noun	taal_grens/noun	tekort/noun	therapeut/noun	tijdelijk/adj	toch/adv	toe/adv	tracht/verb	treed_in/verb	trouwens/adv	tussenstap/noun	uitstekend/adj	vader/noun	vaderland/noun	vakantieganger/noun	valk/noun	vang_op/verb	veel/adj	veiligheid/noun	ver/adj	verblijfsvergunning/noun	verstoot/verb	vertaal/verb	verzet/noun	vlot/adj	vooruit/adj	vooruit/adv	vrouw/noun	vul_in/verb	want/noun	weduwe/noun	weer/adv	weer/verb	weg/adj	weg/noun	wel/adv	wereld/noun	werk/noun	werknemer/noun	wijze/noun	wil/noun	wil/verb	word/verb	zaak/noun	zadel/noun	zal/verb	zeep/noun	zeker/adj	zelf/adv	zelfs/adv	zet_op/verb	zo/adv	zoek/verb	zogezegd/adj
1-1_gelijkspel/noun	0.0	0.9687563	0.96037817	0.8725012	0.9808289	0.9225721	0.932179	0.8126736	0.7809905	0.80111724	0.943671	0.8902359	0.95591235	0.8952407	0.94580126	0.9990369	0.98026997	0.8747847	0.96630716	0.9906267	0.9369051	0.9251696	0.93401307	0.8646055	0.6124804	0.9499179	0.97874826	0.80782276	0.95486283	0.7769307	0.87555903	0.9672808	0.8819606	0.99684024	0.99994487	0.9868958	0.81745464	0.9914253	0.89767367	0.9052097	0.9687877	0.91941035	0.83229595	0.8781868	0.95465595	0.9455549	0.93827903	0.91552424	0.7326169	0.8957682	0.97128314	0.9716282	0.9292302	0.98893476	0.6530074	0.9541874	0.85593444	0.9208558	0.93424773	0.8674865	0.89949894	0.8101849	0.99053323	0.9942418	0.88891035	0.9672585	0.9682207	0.8883709	0.8814506	0.9749264	0.83451664	0.8006741	0.97180223	0.9460771	0.5556174	0.9407735	0.9349659	0.96089774	0.86034054	0.9940608	0.9097705	0.9431675	0.7930087	0.94994503	0.9004115	0.809634	0.87395936	0.95858103	0.9464741	0.85927385	0.7928342	0.866426	0.8032849	0.9070338	0.7216469	0.79989	0.80072933	0.88850355	0.945896	0.9359901	0.84447014	0.8558266	0.9788268	0.8766251	0.98135495	0.96670544	0.8924236	0.9371696	0.96436924	0.8983679	0.92817587	0.9447721	0.93832684	0.984398	0.90186435	0.84097075	0.9874233	0.9805964	0.93086886	0.95973307	0.8503808	0.94314325	0.9556891	0.90900314	0.9717102	0.855419	0.9314234	0.9939168	0.83840555	0.92333996	0.98485565	0.97951	0.8228153	0.94373506	0.9699822	0.9697046	0.83930296	0.99577814	0.84737855	0.92967784	0.83399636	0.93905216	0.8576058	0.97719616	0.9733494	0.98301744	0.9322729	0.93003905	0.8434931	0.99015707	0.63380563	0.9558572	0.7678672	0.9585314	0.95983416	0.82277715	0.7094512	0.758519	0.98287565	0.6448347	0.8906902	0.9863156	0.9547077	0.9911843	0.891414	0.91165715	0.89878654	0.95691025	0.9971647	0.97045934	0.9229217	0.984199	0.85967666	0.918995	0.8723362	0.9757199	0.8233968	0.9581927	0.7363254	0.85896266	0.8852856	0.95403194	0.8328859	0.8376007	0.82844156
Amerikaan/noun	0.9687563	0.0	0.47772306	0.8729265	0.9689111	0.76646966	0.7987181	0.88924944	0.8253836	0.92368037	0.91287166	0.7108811	0.78750825	0.936375	0.841706	0.95566165	0.609228	0.83517784	0.51918983	0.8191824	0.92262155	0.8512156	0.91053116	0.9603542	0.88459086	0.8026087	0.63449883	0.8447555	0.85456306	0.90583545	0.9278162	0.95668846	0.9685525	0.754439	0.8936521	0.7088599	0.9116308	0.9810183	0.8353687	0.91934645	0.9188669	0.8318466	0.7966065	0.91550165	0.8401749	0.97403705	0.871679	0.849669	0.8796206	0.79229087	0.78184927	0.7895923	0.9391372	0.9111916	0.9629222	0.79317975	0.88310766	0.87402064	0.8389404	0.811376	0.9461095	0.855395	0.8548457	0.831217	0.8537427	0.8164319	0.8923526	0.8509871	0.80967474	0.41465294	0.91135734	0.7997774	0.8167168	0.7815151	0.8762122	0.8208763	0.94434524	0.930049	0.763365	0.88276887	0.7418934	0.81251454	0.8908804	0.7210932	0.89069885	0.81433153	0.9168742	0.81951386	0.8130417	0.5830067	0.94093245	0.8313152	0.78526306	0.8905206	0.86892825	0.8797183	0.9069846	0.88582575	0.95240104	0.79745895	0.8071178	0.5917667	0.93500525	0.88032824	0.8975193	0.9536196	0.86924744	0.8530189	0.92325014	0.87979025	0.94468975	0.9632417	0.71508294	0.58865595	0.70699775	0.8879117	0.8204525	0.7418151	0.7099682	0.6546581	0.8239904	0.90235186	0.9047289	0.8306973	0.8458627	0.9571436	0.537171	0.9059175	0.6651075	0.8915404	0.86731005	0.8523362	0.91893655	0.94783366	0.9334742	0.83550084	0.83738685	0.97898924	0.67253405	0.9170867	0.7727315	0.8885308	0.9282545	0.88257235	0.8157307	0.5756237	0.91859996	0.8564342	0.83200014	0.8424775	0.9300213	0.8657805	0.93984026	0.96498865	0.44394487	0.80474865	0.9506438	0.8536288	0.7503273	0.90991753	0.93100584	0.82574207	0.90722644	0.83335364	0.822431	0.78440833	0.8839893	0.7253193	0.91032684	0.8634087	0.7801485	0.88477373	0.6974918	0.6609926	0.924078	0.81374866	0.7222291	0.9095944	0.92656857	0.8306545	0.90112686	0.8523159	0.8307215	0.9668596	0.79306763
Republikeins/adj	0.96037817	0.47772306	0.0	0.8872078	0.9638568	0.8850015	0.9121827	0.9824751	0.86171037	0.9328295	0.92587364	0.83549386	0.95533323	0.96830237	0.9684459	0.9093803	0.863238	0.9113387	0.75409174	0.88035405	0.92481494	0.8859655	0.7842244	0.87207216	0.89748	0.8983043	0.89782786	0.8604163	0.9167428	0.9906022	0.9714038	0.9738898	0.99348974	0.815901	0.91373736	0.8970505	0.96986663	0.9784445	0.9611036	0.91971666	0.92701566	0.835369	0.78142345	0.83996576	0.7898336	0.95619196	0.97961247	0.91202605	0.9373611	0.75530803	0.93553543	0.83320284	0.949494	0.93157715	0.97437155	0.92552483	0.940023	0.96776104	0.8279697	0.8883852	0.9605303	0.9755282	0.9050122	0.8485957	0.97411114	0.8563348	0.8968211	0.9626552	0.9649089	0.7862879	0.9212527	0.9272833	0.923344	0.92301226	0.97302204	0.9361795	0.920082	0.96074337	0.9362853	0.97989845	0.88854486	0.8419422	0.9798107	0.9129378	0.9082114	0.8018685	0.95114076	0.9438384	0.8516299	0.84637696	0.96726036	0.9442837	0.89462787	0.9579945	0.9664354	0.9903207	0.98185	0.93743014	0.8735528	0.6462347	0.9213129	0.8766547	0.89121115	0.95346147	0.9514767	0.8017789	0.8402862	0.8587512	0.97961396	0.7152056	0.92227876	0.8899472	0.92859703	0.24188691	0.8436824	0.97794086	0.76028734	0.8283315	0.9355868	0.8663098	0.96622527	0.8733918	0.94771487	0.8859326	0.9387553	0.9289241	0.41601133	0.90214497	0.4389572	0.8594234	0.9034092	0.9191417	0.9696454	0.93764216	0.94816285	0.93212014	0.94314134	0.9702903	0.8232393	0.95350736	0.94896436	0.9482272	0.87046766	0.8819666	0.79027176	0.8237381	0.8522257	0.94388443	0.97503644	0.9818676	0.92151815	0.94911075	0.91527045	0.9784061	0.5065696	0.9162061	0.93364453	0.92908543	0.88504463	0.96280235	0.93608075	0.7222352	0.88745385	0.77183324	0.9096807	0.95081633	0.97421753	0.9730834	0.9869537	0.9007599	0.89416414	0.9154491	0.8526818	0.8142308	0.9575804	0.51662683	0.82199734	0.8392092	0.9290524	0.86562574	0.85876274	0.9286651	0.933648	0.9750094	0.92838275
aanpak/noun	0.8725012	0.8729265	0.8872078	0.0	0.88716644	0.76003456	0.8294294	0.79193985	0.80645466	0.9148514	0.8617554	0.87734735	0.8500262	0.90600556	0.9179276	0.94586253	0.9590269	0.89065456	0.8810599	0.8434432	0.8288739	0.739259	0.9776561	0.9165454	0.7654435	0.8501425	0.8161168	0.70056206	0.73637986	0.8598381	0.8880086	0.86626655	0.6432285	0.91017663	0.6016287	0.9590102	0.8078796	0.93618655	0.89830816	0.9139569	0.81056523	0.95723796	0.80156803	0.92299116	0.75863683	0.93803775	0.9403737	0.77227163	0.90725446	0.7729563	0.9112541	0.8902847	0.82342076	0.6011379	0.80343837	0.94241524	0.79741716	0.90450466	0.9603998	0.7656987	0.79691094	0.8146007	0.90163285	0.7118288	0.86894184	0.8249825	0.9633891	0.8156565	0.91785717	0.86349404	0.67291963	0.85278296	0.915725	0.8653742	0.94114035	0.7564992	0.79334277	0.7866943	0.810039	0.73945606	0.92690665	0.6512636	0.897045	0.9278132	0.5652169	0.81871223	0.88006526	0.96687895	0.8354442	0.78826433	0.4810726	0.8259615	0.79593295	0.84405696	0.85488987	0.88175535	0.84751594	0.6898987	0.91076773	0.6447607	0.8852075	0.8401051	0.91628224	0.7733153	0.8379787	0.6011567	0.7420409	0.79122734	0.8215991	0.88774633	0.65679204	0.8706222	0.7941026	0.89617205	0.88219696	0.60377645	0.78726614	0.8741922	0.93840915	0.94272083	0.8904085	0.69176406	0.731923	0.8699925	0.79636043	0.8251828	0.6663827	0.853045	0.80751157	0.8212539	0.76197445	0.7332566	0.86249924	0.85724735	0.6822037	0.890639	0.89106315	0.90103364	0.8989309	0.94344735	0.73202217	0.9063952	0.7653322	0.9948611	0.9498582	0.9217659	0.93604696	0.7702372	0.6990129	0.66825163	0.8901838	0.8675122	0.8967734	0.81665075	0.7832391	0.7749325	0.786791	0.84863895	0.9720059	0.8582308	0.88279593	0.9766904	0.91348237	0.76981175	0.9649732	0.7672954	0.8344744	0.8651337	0.75852305	0.8942688	0.62373567	0.72563165	0.8144151	0.8539737	0.76080817	0.8731707	0.77170086	0.9405643	0.8545637	0.91671234	0.8723833	0.8760909	0.8466703	0.7435945	0.7030942
af/adv	0.9808289	0.9689111	0.9638568	0.88716644	0.0	0.8697516	0.83681774	0.8265094	0.8856891	0.80706733	0.954556	0.9378015	0.99012977	0.951465	0.8871912	0.99576557	0.9797736	0.84132373	0.9757158	0.99101555	0.9704464	0.90650624	0.99200374	0.97324395	0.8563869	0.9405622	0.9225675	0.930203	0.9287716	0.872725	0.6423083	0.93445253	0.938233	0.968183	0.8770027	0.973778	0.8503127	0.42713636	0.70749533	0.568673	0.9610578	0.9325983	0.92236835	0.82337886	0.9712583	0.9605885	0.74108815	0.92423415	0.8127235	0.9554124	0.9335454	0.96541774	0.8754484	0.91705215	0.90253747	0.9493732	0.8722035	0.7938146	0.9469892	0.8917342	0.81968796	0.8346819	0.95309514	0.9502715	0.5397037	0.94409305	0.95697176	0.9043944	0.91151375	0.9674594	0.91527236	0.8134682	0.90086573	0.946813	0.96766984	0.6822963	0.7855059	0.9095847	0.7002866	0.81828606	0.73161197	0.9764126	0.72981226	0.9715148	0.8554917	0.8933668	0.87480414	0.9529411	0.8428397	0.8880001	0.856292	0.74712455	0.79403603	0.81854564	0.83371496	0.9366977	0.9179698	0.8449762	0.77144754	0.92901796	0.9394609	0.90023744	0.9804548	0.70600474	0.95175457	0.85168546	0.8851316	0.92011595	0.92960125	0.95828235	0.96130204	0.959145	0.9354244	0.9733703	0.8123162	0.92489916	0.9437911	0.7725727	0.9414227	0.97243774	0.8928035	0.94689155	0.7837043	0.97758	0.9527348	0.89382917	0.9415247	0.96408725	0.9754754	0.8838494	0.9321094	0.8994252	0.96264154	0.95764077	0.9034209	0.93733054	0.68838036	0.46468002	0.9253424	0.9757472	0.8425596	0.96053404	0.93221486	0.9860206	0.98727804	0.9299462	0.9204067	0.7977321	0.8777166	0.9821622	0.8962869	0.9653983	0.8808716	0.8588893	0.9804174	0.89926934	0.9225688	0.87079823	0.9626712	0.9431901	0.8717885	0.98743504	0.5820459	0.93853587	0.9821846	0.9246098	0.6100757	0.96148	0.9587846	0.98166776	0.8864877	0.91786563	0.85943794	0.9000804	0.926618	0.92393255	0.86376536	0.9043775	0.90880626	0.827413	0.59091157	0.7786677	0.6212467	0.9372364	0.92204773
alleen/adj	0.9225721	0.76646966	0.8850015	0.76003456	0.8697516	0.0	0.37404317	0.623952	0.7136798	0.81307995	0.7791517	0.7042315	0.82260656	0.75209486	0.60890794	0.92954177	0.80628777	0.7483432	0.77197826	0.8320394	0.8593606	0.6008737	0.85892636	0.8355262	0.8730235	0.8375224	0.90339583	0.7420804	0.816625	0.6648928	0.65167856	0.9207808	0.85201085	0.78968847	0.70843744	0.6970277	0.5312244	0.8687936	0.652466	0.763211	0.74076027	0.7732326	0.7684442	0.89459175	0.7728238	0.8923011	0.7470271	0.6880101	0.5785357	0.8141289	0.8795496	0.81299376	0.80114216	0.73513466	0.8049307	0.7164906	0.71905893	0.6505446	0.7000545	0.69442415	0.61203057	0.67227507	0.6705313	0.6737175	0.61637294	0.8867426	0.8424755	0.81915843	0.8176418	0.6891227	0.825203	0.5744604	0.6994623	0.7883622	0.9170325	0.5336057	0.9441793	0.70582306	0.7480962	0.8371452	0.5998049	0.75322115	0.619099	0.80481124	0.74960375	0.7736014	0.34300685	0.8464014	0.8044299	0.6052883	0.822695	0.64414084	0.67561597	0.634312	0.5813715	0.742257	0.7405678	0.64147663	0.7874714	0.7428401	0.7508422	0.6943536	0.8938217	0.5418656	0.83991826	0.8986483	0.8478678	0.7111188	0.8840857	0.9507165	0.8402524	0.876304	0.8816678	0.8956327	0.72138214	0.6234469	0.81778204	0.69857204	0.7145101	0.84363806	0.7617056	0.7363924	0.6577623	0.8101981	0.7395881	0.8776481	0.7581105	0.7778686	0.8427204	0.80860853	0.7195418	0.7621826	0.8843901	0.8056433	0.7558278	0.761434	0.5643346	0.86549586	0.7779473	0.88136595	0.66812086	0.86789155	0.8258786	0.8561418	0.80673677	0.8675159	0.8952033	0.7191818	0.54945993	0.790569	0.8288848	0.7375348	0.78162295	0.7768756	0.864454	0.8415736	0.9120533	0.79674125	0.7439796	0.79313624	0.89007914	0.83188474	0.8192334	0.7146609	0.92520297	0.8580749	0.58027434	0.61978036	0.8183509	0.85188985	0.8742418	0.735143	0.64454544	0.7437407	0.7813579	0.94550294	0.632416	0.9273249	0.72344935	0.5919813	0.61214876	0.784183	0.6950807	0.79022104	0.7287535
alleen/adv	0.932179	0.7987181	0.9121827	0.8294294	0.83681774	0.37404317	0.0	0.66931236	0.76831913	0.77086836	0.7970828	0.76434994	0.87268317	0.80654854	0.6542115	0.93315184	0.8432372	0.742217	0.76046175	0.95131356	0.84295547	0.69184685	0.9131937	0.88319254	0.8469838	0.87767863	0.90370506	0.68015474	0.8075329	0.68096435	0.6357458	0.9241876	0.85596883	0.838754	0.87101436	0.80529094	0.554736	0.7797155	0.65687096	0.64549536	0.80401206	0.8111208	0.89838016	0.8705495	0.7537597	0.8436475	0.78217775	0.7316679	0.5989152	0.9085256	0.87647414	0.88638866	0.74594396	0.7457645	0.7851389	0.7366862	0.65912616	0.66151386	0.6348078	0.7661402	0.6744014	0.726074	0.8044004	0.76034313	0.63081956	0.8306364	0.9322456	0.895056	0.87195855	0.7603894	0.8068652	0.6238769	0.8253226	0.79921883	0.86152595	0.6495042	0.88300216	0.78576326	0.6949638	0.8071992	0.6755337	0.8811361	0.65341353	0.84188014	0.74877405	0.8064694	0.5024624	0.8652892	0.8070758	0.67696834	0.78372574	0.6503345	0.65766037	0.70765144	0.6866801	0.80475974	0.7127049	0.73228663	0.7021353	0.77131504	0.8576648	0.64591146	0.88460356	0.55220073	0.9135538	0.8785304	0.8007725	0.81319237	0.84366345	0.963508	0.89315057	0.92545116	0.8750668	0.9302255	0.66413885	0.774246	0.84275275	0.7239286	0.7697891	0.8795674	0.7960278	0.8712164	0.7129491	0.8326297	0.8397666	0.8335285	0.79153836	0.8493787	0.8556563	0.8796512	0.8590673	0.8362919	0.888038	0.87577623	0.9043808	0.7759879	0.53380454	0.81157225	0.81978166	0.94996834	0.75060153	0.83557093	0.77819663	0.8620393	0.86659247	0.88460255	0.87868434	0.83887607	0.6401534	0.8199928	0.8447546	0.85901326	0.8990465	0.8599504	0.8092383	0.84758323	0.87955314	0.75460505	0.8241098	0.7634292	0.81137544	0.8842788	0.79156595	0.80999315	0.9422325	0.89550406	0.68192923	0.6509223	0.8463459	0.910561	0.82207847	0.7649019	0.6772096	0.7670664	0.8619907	0.89575374	0.7312093	0.8363756	0.7715265	0.6484114	0.64555633	0.89206433	0.6833458	0.8639696	0.76073885
allemaal/adv	0.8126736	0.88924944	0.9824751	0.79193985	0.8265094	0.623952	0.66931236	0.0	0.7254973	0.856978	0.7570703	0.8052621	0.89000654	0.74670887	0.47551078	0.96868145	0.8109579	0.631768	0.8654393	0.96597624	0.7282669	0.65230215	0.9322714	0.84375083	0.75495356	0.88952774	0.8581879	0.7324278	0.77927303	0.49201763	0.43594766	0.8637789	0.80092734	0.8105655	0.8633991	0.88291705	0.4255619	0.83645034	0.4709602	0.5176014	0.901193	0.89704144	0.8465586	0.8241875	0.83948565	0.83550227	0.6392065	0.71237355	0.44262642	0.90642947	0.8218522	0.9488336	0.68525624	0.8064246	0.63980436	0.6997798	0.47627378	0.5405468	0.8430227	0.5028144	0.54494727	0.45331097	0.93390375	0.9615212	0.488257	0.7440164	0.95660615	0.8079394	0.65924025	0.8665383	0.7494086	0.5223712	0.83285886	0.72992265	0.8208197	0.64495057	0.90881044	0.7097565	0.57787025	0.8665103	0.55069447	0.9371199	0.5261848	0.8806112	0.69098496	0.80352545	0.72103584	0.7868747	0.65676534	0.59410405	0.61799455	0.4634443	0.5939853	0.4784317	0.50925094	0.5171819	0.4423712	0.70807046	0.6302484	0.8248111	0.84122914	0.660127	0.9412024	0.47819066	0.8828944	0.8982899	0.7990018	0.76749367	0.7100935	0.8049545	0.8560948	0.92031187	0.8665105	0.9569805	0.70581794	0.74034977	0.8092147	0.7987166	0.772006	0.8667663	0.6371219	0.9093979	0.60715497	0.92836696	0.87591153	0.88064826	0.8797859	0.89529717	0.9292235	0.7587453	0.83170915	0.7318779	0.7523596	0.9254488	0.9037586	0.9190328	0.3668158	0.8889705	0.83344567	0.8313849	0.56057197	0.8212842	0.7078693	0.8680809	0.90914786	0.90288335	0.9383882	0.80523574	0.42131716	0.9251108	0.7923377	0.8894944	0.763026	0.80648226	0.9154884	0.6450309	0.75727296	0.7000742	0.8813191	0.8181305	0.70034033	0.95069194	0.69124484	0.82057816	0.88637197	0.7666508	0.4561116	0.6879902	0.8052783	0.93765765	0.7831977	0.7250476	0.5878881	0.8198474	0.79545057	0.8953698	0.5340719	0.79881	0.5463433	0.62722224	0.67915654	0.83866316	0.49666137	0.78161	0.6514121
alvast/adv	0.7809905	0.8253836	0.86171037	0.80645466	0.8856891	0.7136798	0.76831913	0.7254973	0.0	0.7755424	0.80175084	0.87721694	0.81999725	0.86689794	0.69631803	0.9024087	0.916998	0.77647024	0.8091171	0.7606835	0.83407605	0.6854912	0.94119185	0.91824883	0.8063642	0.58492255	0.86472327	0.6954326	0.8092525	0.7159537	0.7166881	0.75504935	0.8409772	0.9455839	0.9189862	0.8452878	0.6129981	0.96775395	0.7855108	0.7815847	0.8439467	0.8602318	0.87143075	0.8189763	0.8195047	0.8044907	0.93897724	0.8044734	0.6470541	0.6674425	0.833277	0.8386138	0.89477587	0.9099977	0.5660709	0.8642481	0.7728741	0.76418304	0.94536066	0.74730337	0.8726744	0.74504495	0.8980262	0.8292328	0.80953133	0.7623385	0.94365305	0.76869226	0.8329956	0.90609026	0.7528399	0.72379625	0.87120473	0.77043086	0.7804003	0.7831801	0.9020862	0.8426072	0.78665	0.83754516	0.6624743	0.7493489	0.8420691	0.938656	0.8020117	0.67917156	0.750915	0.88657594	0.9143483	0.85217434	0.7941978	0.6358413	0.7537263	0.6634437	0.7324412	0.8125072	0.79179865	0.7010329	0.78561044	0.8004215	0.7123474	0.7327517	0.86415476	0.7473464	0.7177726	0.8733986	0.80113137	0.8863292	0.9681935	0.81878984	0.9092854	0.78914076	0.94359004	0.86878043	0.78404456	0.8559203	0.7774644	0.89331925	0.83850205	0.9572216	0.7703994	0.86096907	0.8106513	0.9413677	0.91952574	0.50613296	0.8328137	0.8879023	0.76331866	0.79996794	0.8523025	0.8530833	0.88576293	0.92706406	0.90621525	0.81936395	0.665893	0.9141001	0.8505628	0.86113006	0.6077727	0.8231607	0.82451296	0.9160305	0.9403976	0.8138844	0.9078041	0.7480998	0.7624489	0.83102596	0.45846522	0.8688666	0.93255717	0.8267177	0.86058563	0.6073935	0.60153115	0.62126744	0.93470883	0.7412435	0.7884381	0.93500066	0.6986265	0.7027823	0.698337	0.645326	0.7979467	0.7539765	0.74583745	0.862813	0.8376148	0.80568904	0.679286	0.87637293	0.77159	0.81037444	0.7341437	0.8246661	0.71585584	0.70652103	0.75460637	0.8353141	0.72755337	0.8050096	0.7868463
amateur_club/noun	0.80111724	0.92368037	0.9328295	0.9148514	0.80706733	0.81307995	0.77086836	0.856978	0.7755424	0.0	0.8774712	0.7071657	0.92007583	0.85167956	0.8949268	0.95180273	0.9225901	0.88816786	0.78581846	0.9629436	0.88772494	0.8268917	0.9979155	0.97494745	0.9273298	0.83974284	0.96940047	0.6764803	0.91471136	0.804208	0.80505145	0.92102647	0.8255123	0.9542712	0.92414653	0.9366206	0.75710726	0.8406563	0.78183323	0.84264123	0.89727944	0.9233782	0.91015816	0.952801	0.847994	0.92869204	0.8972064	0.7963966	0.8014532	0.842891	0.98949355	0.96021295	0.7692857	0.8272556	0.870638	0.92332387	0.8423707	0.84524643	0.8995068	0.81282264	0.87758225	0.90263087	0.8523983	0.9405431	0.7989867	0.8333404	0.97687596	0.9491004	0.83932674	0.90081745	0.92643154	0.7819849	0.8295789	0.8762725	0.7261829	0.8349794	0.9526102	0.8087864	0.8516702	0.7990866	0.7770916	0.94304496	0.79203147	0.91194475	0.8334356	0.8940181	0.80412984	0.9048729	0.8689025	0.7430271	0.85158056	0.8187263	0.84216094	0.79347897	0.7917046	0.8653319	0.87653804	0.81414646	0.9258669	0.78339434	0.8695599	0.8905178	0.96190995	0.772395	0.84514165	0.8027335	0.8407161	0.8794443	0.90030414	0.842377	0.94202995	0.9609295	0.8983017	0.9675065	0.8197583	0.88640106	0.80100656	0.88614154	0.86247957	0.9293558	0.8551848	0.89535856	0.8804558	0.96608335	0.95475584	0.8394349	0.8924574	0.95276797	0.9366378	0.706823	0.9644884	0.95777225	0.8047285	0.95541114	0.90031886	0.9485698	0.7561223	0.9555857	0.8378534	0.8872425	0.81424046	0.8801995	0.93969554	0.97219217	0.9379949	0.96543896	0.96406853	0.91500163	0.7922239	0.95614266	0.78451556	0.9368045	0.93576825	0.9223875	0.95161253	0.8930736	0.63759315	0.64823854	0.9108987	0.89205676	0.910618	0.86730886	0.8295184	0.92672145	0.7963459	0.856677	0.77272385	0.7519249	0.9522968	0.91784495	0.9427958	0.88806874	0.80670255	0.9092955	0.89603686	0.97071517	0.77091753	0.9536022	0.8734699	0.85723263	0.7901389	0.9019518	0.80000436	0.85358304	0.8696292
ander/adj	0.943671	0.91287166	0.92587364	0.8617554	0.954556	0.7791517	0.7970828	0.7570703	0.80175084	0.8774712	0.0	0.7832607	0.74282557	0.80191565	0.6004423	0.8444862	0.76449	0.87810165	0.83541703	0.90324074	0.8333857	0.7675517	0.8168085	0.8258337	0.7363715	0.96939766	0.8115484	0.82022387	0.7790735	0.7250985	0.7881645	0.8075567	0.88892585	0.86151963	0.70874214	0.6603553	0.6767107	0.92257005	0.7658295	0.85492957	0.7564211	0.75776005	0.68747175	0.8567965	0.8465553	0.8402159	0.7834238	0.8254921	0.75218385	0.8104181	0.7883723	0.742959	0.6712942	0.8381986	0.69605964	0.8517637	0.6711359	0.7609194	0.71323836	0.66633904	0.87244	0.6538752	0.8628433	0.8352906	0.74643254	0.86416346	0.9376621	0.68444645	0.7615179	0.8176845	0.5712031	0.71743643	0.7047827	0.70989	0.8521227	0.79368216	0.66155666	0.6463296	0.7936838	0.93333924	0.8506085	0.8645468	0.7264457	0.82736266	0.78606516	0.766352	0.8876345	0.7722708	0.9327653	0.7192451	0.73230875	0.8476553	0.6845163	0.6648002	0.92815405	0.85310453	0.8157033	0.7975584	0.79970145	0.69661057	0.8167229	0.7735251	0.8548183	0.74886835	0.7924819	0.8630239	0.85144484	0.6857593	0.8320818	0.9539296	0.7272022	0.63010466	0.8003761	0.9658355	0.67752314	0.7292522	0.86470324	0.79442215	0.6998312	0.73711133	0.76940054	0.668669	0.68486035	0.7697755	0.7101611	0.90598375	0.79926306	0.88122654	0.8344172	0.6136621	0.85412204	0.7530271	0.64655685	0.80575526	0.71490467	0.7295544	0.80352485	0.96077424	0.70203954	0.878851	0.8209786	0.78414714	0.6288874	0.8293078	0.8049786	0.76318324	0.8620994	0.7332437	0.743052	0.76728	0.776493	0.83233845	0.90271384	0.5924902	0.8821025	0.75368714	0.8695557	0.83437335	0.7626882	0.6502477	0.9235108	0.8313134	0.91308457	0.7690021	0.8791264	0.76042336	0.87691617	0.8118571	0.7107168	0.7196388	0.8944794	0.7402291	0.72343755	0.7171895	0.9187871	0.92083776	0.7707118	0.8982004	0.78571075	0.68890417	0.7450566	0.8527111	0.91258323	0.517379	0.74976003
